mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,run_number,experiment_name
0.44033007621765136,0.17183823538340715,0.005226993560791015,0.0003669578601787771,0.901293608033132,0.8080727183023271,0.19454044149613714,4,9,0.8339656368907993,"{'alpha': 0.901293608033132, 'colsample_bytree': 0.8080727183023271, 'lambda': 0.19454044149613714, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8339656368907993}",0.7109066455022393,0.6504493893528989,0.5638909310014564,0.6748604477209308,0.6755947697059788,0.6551404366567009,0.04952899521088903,70,9,random search
0.8440015316009521,0.028830604959120713,0.005454301834106445,0.00010858085722838079,0.17537124887420263,0.5316461165613195,0.43342994832472526,9,6,0.6517588304113051,"{'alpha': 0.17537124887420263, 'colsample_bytree': 0.5316461165613195, 'lambda': 0.43342994832472526, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.6517588304113051}",0.6839780687939836,0.6204600743576751,0.6019045099364067,0.6431754991192952,0.6186127432213065,0.6336261790857334,0.02839547912636792,494,9,random search
0.3035402297973633,0.009981903147803433,0.004862642288208008,0.00035057911665540263,0.06555871696769056,0.7270282566672819,0.18717275735824912,2,9,0.5421318541368024,"{'alpha': 0.06555871696769056, 'colsample_bytree': 0.7270282566672819, 'lambda': 0.18717275735824912, 'max_depth': 2, 'min_child_weight': 9, 'subsample': 0.5421318541368024}",0.692704570803103,0.6211197517943595,0.5074306973501186,0.637745194597368,0.6210168977538272,0.6160034224597553,0.06032432214453676,584,9,random search
0.41289510726928713,0.007304966691264824,0.005063152313232422,0.00023065311779356653,0.40736386596474017,0.7567704327182122,0.42417281719892275,5,4,0.5714446247339062,"{'alpha': 0.40736386596474017, 'colsample_bytree': 0.7567704327182122, 'lambda': 0.42417281719892275, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5714446247339062}",0.709128517327788,0.6395673031839232,0.5775952475565056,0.6593878261459435,0.6599752113421731,0.6491308211112667,0.042500187439602655,203,9,random search
0.6970657348632813,0.020327847702000752,0.005366325378417969,0.00021114137221169157,0.33515128360643764,0.7495404186664925,0.7137993885315912,7,1,0.5958624503877373,"{'alpha': 0.33515128360643764, 'colsample_bytree': 0.7495404186664925, 'lambda': 0.7137993885315912, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5958624503877373}",0.6666630394378437,0.6375259639693853,0.6114699310905021,0.6311344190970996,0.6312711309589818,0.6356128969107625,0.017830096299395685,471,9,random search
0.47925848960876466,0.011838721687204597,0.005048990249633789,0.00010388584488536187,0.7877684719952337,0.5915472190184183,0.7964326858277945,6,6,0.6484505142702786,"{'alpha': 0.7877684719952337, 'colsample_bytree': 0.5915472190184183, 'lambda': 0.7964326858277945, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.6484505142702786}",0.6834039351133672,0.6515317372308405,0.5917016448709213,0.6594138783607009,0.6360226297528948,0.6444147650657449,0.03047911104090533,323,9,random search
0.9479122638702393,0.04428746445031962,0.005698633193969726,0.00013600900414304212,0.7119028508414847,0.8030475325065496,0.5709940668370047,9,5,0.8526062260232794,"{'alpha': 0.7119028508414847, 'colsample_bytree': 0.8030475325065496, 'lambda': 0.5709940668370047, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.8526062260232794}",0.6808307519970217,0.6297725620435758,0.6145753667509346,0.625334139413187,0.6268041217822073,0.6354633883973853,0.023257158967380502,473,9,random search
0.36458578109741213,0.008317806562636858,0.004927206039428711,0.0001296116200213432,0.5174172483717668,0.520125017987284,0.3694061806643525,4,2,0.6881251458313822,"{'alpha': 0.5174172483717668, 'colsample_bytree': 0.520125017987284, 'lambda': 0.3694061806643525, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6881251458313822}",0.7163483182907934,0.6418441794036737,0.5940970277202668,0.6408156603546444,0.6654165394035974,0.6517043450345951,0.039752375730875956,141,9,random search
0.3271952629089355,0.008056279230715955,0.004714250564575195,9.317805594646249e-05,0.3913593551285839,0.7860828713977313,0.39751197186020293,3,7,0.6578584316978501,"{'alpha': 0.3913593551285839, 'colsample_bytree': 0.7860828713977313, 'lambda': 0.39751197186020293, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.6578584316978501}",0.7209600689215614,0.6373689316997153,0.5633977007431398,0.6840171133660761,0.6684857738779506,0.6548459177216885,0.05305903645776897,79,9,random search
0.27914748191833494,0.00900035255190205,0.004542732238769531,6.490077796148826e-05,0.6683098287084295,0.8394570775378418,0.25688114036015586,1,6,0.7907576343216031,"{'alpha': 0.6683098287084295, 'colsample_bytree': 0.8394570775378418, 'lambda': 0.25688114036015586, 'max_depth': 1, 'min_child_weight': 6, 'subsample': 0.7907576343216031}",0.4036945074938294,0.39501451336166604,0.3077395543999495,0.41052802387418386,0.40037945008157105,0.38347120984224,0.03819809689926008,681,9,random search
0.7315915107727051,0.024775916404254306,0.005175018310546875,5.4039473587444694e-05,0.8604553691410027,0.5155556182928345,0.3100206632746235,9,9,0.58665245932378,"{'alpha': 0.8604553691410027, 'colsample_bytree': 0.5155556182928345, 'lambda': 0.3100206632746235, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.58665245932378}",0.6983580509951216,0.6324079800986275,0.5831490407399162,0.6783466529585813,0.6601596106493419,0.6504842670883176,0.040056482281115934,166,9,random search
