mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number,param_colsample_bytree,param_subsample
0.2558144569396973,0.00343125606132895,0.0011804580688476562,0.0001545536113480963,0.848941314595464,0.6224295349919594,"{'alpha': 0.848941314595464, 'lambda': 0.6224295349919594}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,164,random search for 2 group,1,,
0.2608400821685791,0.005747207560462437,0.0011791706085205079,9.081931696078248e-05,0.6898047542305054,0.6281330980896553,"{'alpha': 0.6898047542305054, 'lambda': 0.6281330980896553}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,165,random search for 2 group,1,,
0.2577103614807129,0.002141335077581889,0.0011177539825439453,5.0661877982539944e-05,0.6154320184089646,0.7832798434317597,"{'alpha': 0.6154320184089646, 'lambda': 0.7832798434317597}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,166,random search for 2 group,1,,
0.2567889213562012,0.0030688067738951167,0.0011508941650390625,0.0002012853510176018,0.18557078156969364,0.5422838076521003,"{'alpha': 0.18557078156969364, 'lambda': 0.5422838076521003}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,167,random search for 2 group,1,,
0.256821870803833,0.003523532325396914,0.0010964393615722657,3.2821987018300814e-05,0.9901905022979005,0.35798586476709837,"{'alpha': 0.9901905022979005, 'lambda': 0.35798586476709837}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,168,random search for 2 group,1,,
0.2593250751495361,0.0027306733926700157,0.0011950492858886718,0.0001474294283667124,0.15632704088019533,0.8643480888071408,"{'alpha': 0.15632704088019533, 'lambda': 0.8643480888071408}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,169,random search for 2 group,1,,
0.26162447929382326,0.005499796445099341,0.0011838436126708984,0.00011251483777503985,0.020705962260683997,0.9586703093692107,"{'alpha': 0.020705962260683997, 'lambda': 0.9586703093692107}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,170,random search for 2 group,1,,
0.2560511589050293,0.0018153410154457513,0.001090097427368164,2.5051610258382244e-05,0.8607901461274866,0.7160821141937279,"{'alpha': 0.8607901461274866, 'lambda': 0.7160821141937279}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,171,random search for 2 group,1,,
0.25651254653930666,0.0016169478751810057,0.0011581897735595704,0.0001823408957731426,0.499465782750401,0.21613247060370577,"{'alpha': 0.499465782750401, 'lambda': 0.21613247060370577}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,172,random search for 2 group,1,,
0.2562288761138916,0.002058716178505813,0.001185464859008789,0.00014402277310378425,0.07860091532915137,0.1549942246249365,"{'alpha': 0.07860091532915137, 'lambda': 0.1549942246249365}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,173,random search for 2 group,1,,
0.25773024559020996,0.002224930830880233,0.0010747909545898438,1.71906243625288e-05,0.9157886883524833,0.05976018710015629,"{'alpha': 0.9157886883524833, 'lambda': 0.05976018710015629}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,378,random search for 2 group,1,,
0.2570056438446045,0.0006106395786939944,0.001202392578125,0.00013858715627301866,0.27333585113282555,0.8700973955463424,"{'alpha': 0.27333585113282555, 'lambda': 0.8700973955463424}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,379,random search for 2 group,1,,
0.25633764266967773,0.0015795998788556125,0.0010767936706542968,3.560942509550446e-05,0.29977758184215586,0.42826809452153425,"{'alpha': 0.29977758184215586, 'lambda': 0.42826809452153425}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,380,random search for 2 group,1,,
0.25804834365844725,0.0038079002216786927,0.0011909961700439452,0.0001355294685724445,0.6376917893604169,0.4188984064750829,"{'alpha': 0.6376917893604169, 'lambda': 0.4188984064750829}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,381,random search for 2 group,1,,
0.2572444438934326,0.002738189286227712,0.0011909008026123047,0.0001454593294702776,0.22592729906710451,0.7257523797858323,"{'alpha': 0.22592729906710451, 'lambda': 0.7257523797858323}",0.794567294319998,0.8630570358717669,0.7912142569546354,0.5107579983920101,0.5096272295489097,0.693844763017464,0.15212856599885777,1,382,random search for 2 group,1,,
