mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number,param_alpha,param_lambda,param_colsample_bytree,param_subsample
0.9947421550750732,0.011860513172497865,0.0016564369201660155,1.79993237426311e-05,6.0,3.0,"{'max_depth': 6, 'min_child_weight': 3}",0.7757891822154627,0.8854677612283102,0.8071534934176682,0.5143630170072703,0.3868312297755143,0.6739209367288451,0.19013644686939726,4,random search for 1 group,7,,,,
0.8072276115417479,0.005852153739286589,0.0014920711517333984,4.0303996167235774e-05,4.0,4.0,"{'max_depth': 4, 'min_child_weight': 4}",0.7449494516400486,0.8766334230571221,0.7698012311166589,0.4950387218663648,0.4197831552392845,0.6612411965838957,0.17384557090682626,35,random search for 1 group,7,,,,
0.914978551864624,0.010309637528795056,0.0015688419342041015,3.584642167608023e-05,5.0,1.0,"{'max_depth': 5, 'min_child_weight': 1}",0.7540864604259074,0.7664777324796367,0.8072809728926496,0.5143772056640139,0.4030429810025521,0.649053070492952,0.16032166793032102,56,random search for 1 group,7,,,,
1.054731512069702,0.0052604168469509655,0.0018733978271484376,5.231940219790846e-05,13.0,15.0,"{'max_depth': 13, 'min_child_weight': 15}",0.7227981519667327,0.8372828899806959,0.7796921866094918,0.4884379685602068,0.20303059309698654,0.6062483580428227,0.23388348591436864,188,random search for 1 group,7,,,,
0.6903425216674804,0.0043814929306168334,0.0013753414154052735,7.618846157749798e-05,2.0,11.0,"{'max_depth': 2, 'min_child_weight': 11}",0.7908304538750216,0.8446467009758747,0.7466340797900816,0.4471608344196421,0.3803698120793048,0.6419283762279849,0.1900405799276631,72,random search for 1 group,7,,,,
0.8128485202789306,0.0045245407332748224,0.0014940261840820312,4.479315981971175e-05,4.0,3.0,"{'max_depth': 4, 'min_child_weight': 3}",0.7614993386476265,0.8789070737897524,0.7780579288801964,0.5088911853850702,0.4172320710162597,0.6689175195437811,0.17523277529953935,11,random search for 1 group,7,,,,
1.507654857635498,0.02214019207469997,0.002297306060791016,0.00024350587651238056,17.0,6.0,"{'max_depth': 17, 'min_child_weight': 6}",0.7278533704462817,0.8760354235054773,0.7758396359081621,0.5155132630619232,0.2891293321536258,0.6368742050150941,0.20997221853800369,82,random search for 1 group,7,,,,
1.2172472476959229,0.006157639861433745,0.0019351482391357425,6.247505816281079e-05,18.0,16.0,"{'max_depth': 18, 'min_child_weight': 16}",0.7123184468486397,0.8017854494130475,0.7996633560070561,0.4829945028120674,0.05267685803372313,0.5698877226229067,0.28351981189651426,206,random search for 1 group,7,,,,
1.0084505558013916,0.00836908255420613,0.0018122673034667968,2.6888457946744786e-05,10.0,15.0,"{'max_depth': 10, 'min_child_weight': 15}",0.7218538084365143,0.8335228965859874,0.7764988529826815,0.5019271163989509,0.1741050259863779,0.6015815400781024,0.24146447026732126,193,random search for 1 group,7,,,,
0.7455274581909179,0.007944066838383624,0.001422739028930664,4.666810894661927e-05,3.0,12.0,"{'max_depth': 3, 'min_child_weight': 12}",0.7621786588464442,0.8203336794541902,0.7504945157397331,0.4885999173368277,0.3779711540896009,0.6399155850933592,0.17391835102813574,76,random search for 1 group,7,,,,
1.0713822841644287,0.00491861378501659,0.001904296875,3.272312152101897e-05,16.0,17.0,"{'max_depth': 16, 'min_child_weight': 17}",0.7041370868494758,0.8155871608114139,0.7910390054778558,0.5034138678185747,-0.1115953955000395,0.5405163450914561,0.3440417475244601,232,random search for 1 group,7,,,,
1.0693098068237306,0.007133099178724239,0.0018735408782958984,4.96910078463935e-05,14.0,15.0,"{'max_depth': 14, 'min_child_weight': 15}",0.707090355235513,0.8427711228331092,0.7827595037339472,0.4967577697792844,0.20497159009985774,0.6068700683363424,0.2324984352659809,186,random search for 1 group,7,,,,
0.885870885848999,0.00965252493130895,0.001635599136352539,3.940919924411069e-05,6.0,16.0,"{'max_depth': 6, 'min_child_weight': 16}",0.7414183983856444,0.8145718176248472,0.7954204619163666,0.5076249845822038,0.03589144431580349,0.5789854213649732,0.292838839210207,203,random search for 1 group,7,,,,
0.9202109813690186,0.009455163570024962,0.0016791820526123047,5.021505076466516e-05,7.0,15.0,"{'max_depth': 7, 'min_child_weight': 15}",0.7161094874932101,0.8234103059988642,0.7778851791604191,0.500294064328,0.2366759859762855,0.6108750045913558,0.21743550723265034,180,random search for 1 group,7,,,,
0.8378098487854004,0.0029162383102129823,0.0015514850616455075,2.163317224120833e-05,5.0,18.0,"{'max_depth': 5, 'min_child_weight': 18}",0.6897791307410763,0.820252044109752,0.7722196448419184,0.4864726091200196,-0.003724573950948829,0.5529997709723634,0.3008513198740012,217,random search for 1 group,7,,,,
1.178486156463623,0.02096340436990317,0.001943349838256836,5.557454741500955e-05,11.0,7.0,"{'max_depth': 11, 'min_child_weight': 7}",0.7326593659647864,0.8634307443660296,0.7706227324703288,0.5450462683574631,0.4244051110758525,0.667232844446892,0.1595986103114214,19,random search for 1 group,7,,,,
1.1734957218170166,0.018094948084116824,0.002004528045654297,3.077598779644374e-05,14.0,10.0,"{'max_depth': 14, 'min_child_weight': 10}",0.7389437146110052,0.8537581592064596,0.7780362851147276,0.5259136361322981,0.21604165281328136,0.6225386895755542,0.2305507827172947,134,random search for 1 group,7,,,,
1.1544989109039308,0.012145013762928135,0.0019865512847900392,3.889991828255261e-05,13.0,10.0,"{'max_depth': 13, 'min_child_weight': 10}",0.7402304852381048,0.8554949691722114,0.7669490336876323,0.5225313964210101,0.22820758561900126,0.6226826940275919,0.2255981866069149,131,random search for 1 group,7,,,,
1.0008603096008302,0.014706265159760869,0.00179290771484375,4.067283999249105e-05,9.0,13.0,"{'max_depth': 9, 'min_child_weight': 13}",0.7188051582344288,0.8475388494702456,0.7462654670341367,0.5014711006330238,0.2453855906310778,0.6118932332005824,0.21519099090324148,177,random search for 1 group,7,,,,
