mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,run_number,experiment_name
0.24998927116394043,0.00428322670870494,0.001348590850830078,0.00031629197106422915,0.7750652045179288,0.5326798961204107,0.9402660060630456,2,9,0.6753139447534526,"{'alpha': 0.7750652045179288, 'colsample_bytree': 0.5326798961204107, 'lambda': 0.9402660060630456, 'max_depth': 2, 'min_child_weight': 9, 'subsample': 0.6753139447534526}",0.8054073791868643,0.85244013614899,0.7269611081539125,0.49780788959817246,0.4643278805533304,0.6693888787282539,0.15925665180124524,38,4,random_search
0.3033393383026123,0.004570326301423515,0.0014064788818359375,9.954875345746435e-05,0.42963449512149854,0.8178958568849051,0.9222111813097938,5,17,0.5492392619427295,"{'alpha': 0.42963449512149854, 'colsample_bytree': 0.8178958568849051, 'lambda': 0.9222111813097938, 'max_depth': 5, 'min_child_weight': 17, 'subsample': 0.5492392619427295}",0.7797723085305805,0.8641356117976444,0.8051693922735895,0.5382050978238168,0.37690758558612614,0.6728379992023514,0.18506331269325701,22,4,random_search
0.3494269371032715,0.011762019142383891,0.0013815402984619141,0.00010786090247036573,0.0849747254164831,0.7758036727470086,0.4474384862518588,5,3,0.775728405241874,"{'alpha': 0.0849747254164831, 'colsample_bytree': 0.7758036727470086, 'lambda': 0.4474384862518588, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.775728405241874}",0.7479708078450098,0.83853885743585,0.7815204342051403,0.5027029180007578,0.4583950947593052,0.6658256224492126,0.15466054636835488,53,4,random_search
0.44935126304626466,0.0069817454920143894,0.0014750003814697266,0.0001783918867758246,0.582099512489237,0.6533762009641572,0.32838122613724285,18,18,0.5165161220528476,"{'alpha': 0.582099512489237, 'colsample_bytree': 0.6533762009641572, 'lambda': 0.32838122613724285, 'max_depth': 18, 'min_child_weight': 18, 'subsample': 0.5165161220528476}",0.7857490946304474,0.854223340703256,0.7778562936149405,0.5147474294244678,0.41788174802139866,0.670091581278902,0.17125186361344588,31,4,random_search
0.45423092842102053,0.01208168258600394,0.001611328125,5.618987241716876e-05,0.7632252137948213,0.6161913124101293,0.0982081013315681,16,12,0.7590138891452383,"{'alpha': 0.7632252137948213, 'colsample_bytree': 0.6161913124101293, 'lambda': 0.0982081013315681, 'max_depth': 16, 'min_child_weight': 12, 'subsample': 0.7590138891452383}",0.7540532913979011,0.8736147379536161,0.7654113884160711,0.5113061605971584,0.2563614377237079,0.632149403217691,0.22214612615517326,394,4,random_search
0.45049457550048827,0.010397504156359101,0.0016435623168945313,3.57775975394624e-05,0.7553238192223117,0.8267234232468055,0.30891611767185945,10,7,0.6671317672866367,"{'alpha': 0.7553238192223117, 'colsample_bytree': 0.8267234232468055, 'lambda': 0.30891611767185945, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.6671317672866367}",0.7738150410011365,0.849276592002671,0.7874311153993006,0.5242756354592452,0.2602573332903342,0.6390111434305374,0.21955902314768352,307,4,random_search
0.3781293392181396,0.003096136368802531,0.001650094985961914,0.00027111549387666346,0.02083308730141331,0.5313699016671656,0.11208814141277856,12,16,0.7966645429139234,"{'alpha': 0.02083308730141331, 'colsample_bytree': 0.5313699016671656, 'lambda': 0.11208814141277856, 'max_depth': 12, 'min_child_weight': 16, 'subsample': 0.7966645429139234}",0.7399639483087515,0.8558689061941744,0.7569949692354839,0.5228803328634168,0.09690568817566836,0.594522768955499,0.27151705423347156,675,4,random_search
0.2226274013519287,0.001734718147836221,0.0011346817016601562,7.795877766704238e-05,0.4111978203506135,0.5709179159781624,0.7794638674735128,1,11,0.828963555923732,"{'alpha': 0.4111978203506135, 'colsample_bytree': 0.5709179159781624, 'lambda': 0.7794638674735128, 'max_depth': 1, 'min_child_weight': 11, 'subsample': 0.828963555923732}",0.7855956251388063,0.8272818336916041,0.6653292071452416,0.44338184957826754,0.4829080256482208,0.640899308240428,0.15507848447125255,279,4,random_search
0.3679600715637207,0.00924509716152139,0.0016694068908691406,0.00019144005351132764,0.08126662174045485,0.6153003756025647,0.38442234158591415,9,18,0.8882755939085394,"{'alpha': 0.08126662174045485, 'colsample_bytree': 0.6153003756025647, 'lambda': 0.38442234158591415, 'max_depth': 9, 'min_child_weight': 18, 'subsample': 0.8882755939085394}",0.7428627928290309,0.8740043236645219,0.7448607312413585,0.5166318654139749,0.023287765165704077,0.580329495662918,0.3013587172739789,704,4,random_search
0.36926827430725095,0.006027919078947262,0.0014993667602539063,6.178959593776325e-05,0.5067917893971957,0.5400985688189814,0.5271526261361615,6,8,0.8717806772005675,"{'alpha': 0.5067917893971957, 'colsample_bytree': 0.5400985688189814, 'lambda': 0.5271526261361615, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.8717806772005675}",0.7604244857316635,0.8676150202036123,0.7684989294150725,0.522528455962624,0.2662355946741922,0.6370604971974329,0.2173839092528675,334,4,random_search
0.3557599067687988,0.007011020606127677,0.0015226364135742187,0.00010044997747601728,0.5794153646140696,0.8987407572992463,0.4189215311083748,8,15,0.7498065332948094,"{'alpha': 0.5794153646140696, 'colsample_bytree': 0.8987407572992463, 'lambda': 0.4189215311083748, 'max_depth': 8, 'min_child_weight': 15, 'subsample': 0.7498065332948094}",0.7538131787412617,0.8609785051951928,0.7703461705837212,0.4856714272218773,0.1487908726628111,0.6039200308809729,0.2597575630838409,632,4,random_search
