mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name
7.666892131169637,2.639279146775449,1.2114466031392415,0.39776378526835887,0.25,0.625,0.25,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.9212821279826964,0.923502611656964,0.9219025046883809,0.9222290814426805,0.0009354593236333687,282,grid_search
5.2871748606363935,0.8509698238375496,1.2499067783355713,0.41845887285524214,0.25,0.625,0.25,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.9220989898525047,0.9237097033986056,0.922408734769953,0.9227391426736876,0.0006978426608895039,145,grid_search
4.781977732976277,0.2886375080399859,1.2836097081502278,0.42256795736816066,0.25,0.625,0.25,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.9220759796589889,0.9235601371407534,0.9221901354165468,0.922608750738763,0.0006743441004240007,192,grid_search
5.35700003306071,1.0424896172801776,1.7975428104400635,0.2720948242444603,0.25,0.625,0.25,2,10,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.625}",0.9224786580455142,0.9238707747532157,0.9228804491641451,0.9230766273209583,0.0005850137513331639,39,grid_search
5.198166290918986,0.9541683452286878,1.2891453107198079,0.46335962802306513,0.25,0.625,0.25,2,10,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.75}",0.9223981223682091,0.9236981983018477,0.9215343373563285,0.9225435526754618,0.0008893578314666385,208,grid_search
4.736625671386719,0.3220733807746271,1.5062553882598877,0.06348893796797532,0.25,0.625,0.25,2,10,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.875}",0.9226052141098506,0.9231229434639545,0.921453800752442,0.922393986108749,0.0006976017484620091,251,grid_search
5.213407119115193,0.690614985340323,0.9651749928792318,0.44853737818322653,0.25,0.625,0.25,2,18,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.625}",0.9223405968844198,0.9237212084953634,0.9230875432884246,0.9230497828894025,0.0005642644125282623,46,grid_search
5.531209071477254,0.8073233561818502,0.9775508244832357,0.4142082308386218,0.25,0.625,0.25,2,18,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.75}",0.9216042706919165,0.9238822798499735,0.9215113268980751,0.9223326258133216,0.0010964276422961946,265,grid_search
5.959038654963176,0.6939983755159486,1.3100674152374268,0.4252652589249092,0.25,0.625,0.25,2,18,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.875}",0.9223751121746934,0.9236406728180584,0.9218104628553677,0.9226087492827064,0.0007652262630811032,194,grid_search
10.96077307065328,2.1890869567519897,0.4936209519704183,0.020043077097335535,0.25,0.625,0.25,10,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.625}",0.9183943486964725,0.9188430474700292,0.919705005925193,0.9189808006972315,0.0005438673591375091,680,grid_search
12.978591998418173,0.17199284381102406,0.5348857243855795,0.022372507020607342,0.25,0.625,0.25,10,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.75}",0.9206953680480453,0.9201316183069099,0.9206024137970708,0.920476466717342,0.00024677985172578786,533,grid_search
12.512325604756674,0.0034925041833122846,0.5132691860198975,0.0183953479172096,0.25,0.625,0.25,10,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.875}",0.9217538369497688,0.9221680204330518,0.9228574387058919,0.9222597653629041,0.00045519011276953775,277,grid_search
11.140353123346964,0.42078864519888226,1.59408966700236,0.023561292463111644,0.25,0.625,0.25,10,10,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.625}",0.9200510826296049,0.9199475367587842,0.920372309214538,0.9201236428676424,0.00018084367263807458,587,grid_search
11.623087882995605,0.4838477153677141,1.571370045344035,0.026262233445620887,0.25,0.625,0.25,10,10,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.75}",0.9205918221772245,0.9202466692744886,0.92094757067087,0.920595354040861,0.0002861526951447325,519,grid_search
