mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
4.130585829416911,0.9661675839220463,0.8043387730916342,0.02427097152733965,0.520447267039013,0.24409737235149398,"{'alpha': 0.520447267039013, 'lambda': 0.24409737235149398}",0.9259647023631469,0.9267010285556502,0.9264700806516561,0.9263786038568177,0.00030748449113956295,56,random search for 2 group,1
3.239018519719442,0.5242730304332269,0.5967729886372884,0.13478012908639692,0.6700687326797143,0.9677985835836647,"{'alpha': 0.6700687326797143, 'lambda': 0.9677985835836647}",0.9263213603626407,0.9266665132653765,0.9261479342361103,0.926378602621376,0.00021554359116352106,57,random search for 2 group,1
3.0395379861195884,0.4863201893388689,0.5900404453277588,0.29233117763889077,0.46981449832974553,0.6927011570626744,"{'alpha': 0.46981449832974553, 'lambda': 0.6927011570626744}",0.9266665132653765,0.9261717941047884,0.926918784587595,0.9265856973192533,0.000310265593980104,12,random search for 2 group,1
5.100369532903035,1.0546370956999398,0.6568261782328287,0.15796812030864715,0.01255456218307005,0.14098264942640804,"{'alpha': 0.01255456218307005, 'lambda': 0.14098264942640804}",0.9259877125566626,0.9255390137831059,0.9263550283603897,0.9259605849000527,0.00033368835750322137,233,random search for 2 group,1
5.409948348999023,1.0551354181847514,0.974301258722941,0.2581449278077243,0.2129932737344754,0.711568122218565,"{'alpha': 0.2129932737344754, 'lambda': 0.711568122218565}",0.9260222278469362,0.9264939368140086,0.9258372930496911,0.9261178192368787,0.00027646403464418306,171,random search for 2 group,1
3.036551078160604,0.6959308042529344,0.6912891070048014,0.19446010281050188,0.41806658764424254,0.13782122575522582,"{'alpha': 0.41806658764424254, 'lambda': 0.13782122575522582}",0.925953197266389,0.9264134011367036,0.9258603035079443,0.9260756339703456,0.0002418295633865399,193,random search for 2 group,1
3.327325423558553,0.5857812614925207,0.7484579086303711,0.08965904816695879,0.8140687316861418,0.6090588736111812,"{'alpha': 0.8140687316861418, 'lambda': 0.6090588736111812}",0.9263443705561564,0.9262408246853356,0.9257682616749312,0.926117818972141,0.000250763055313852,172,random search for 2 group,1
3.178518215815226,0.23956481539015434,0.5808499654134115,0.153118103169816,0.07708894502891495,0.5340719468736983,"{'alpha': 0.07708894502891495, 'lambda': 0.5340719468736983}",0.9260912584274834,0.926125773717757,0.9259178296535776,0.9260449539329393,9.098814251719241e-05,201,random search for 2 group,1
2.441047191619873,0.012772653873582961,0.49453576405843097,0.15539210746028465,0.24016208793234828,0.5106756392630803,"{'alpha': 0.24016208793234828, 'lambda': 0.5106756392630803}",0.9264364113302193,0.9264709266204929,0.9258487982788177,0.9262520454098433,0.00028548673387268094,104,random search for 2 group,1
3.3806960582733154,0.12301125992065069,0.6751675605773926,0.18880137837244573,0.20024832035093976,0.9832977701939373,"{'alpha': 0.20024832035093976, 'lambda': 0.9832977701939373}",0.9264249062334614,0.9268390897167446,0.9266886800050623,0.9266508919850894,0.00017118788955656182,6,random search for 2 group,1
3.3109261194864907,0.6036613265432937,0.7832942008972168,0.2768666136449304,0.7990790927952235,0.10625538246920285,"{'alpha': 0.7990790927952235, 'lambda': 0.10625538246920285}",0.9261832992015463,0.9263213603626407,0.9256762198419182,0.9260602931353684,0.00027736791704275113,197,random search for 2 group,1
2.8437578678131104,0.2530688577836746,0.563880205154419,0.25842314597794597,0.4729233790045896,0.916856459497395,"{'alpha': 0.4729233790045896, 'lambda': 0.916856459497395}",0.9260912584274834,0.9261832992015463,0.9261479342361103,0.9261408306217133,3.7909735123046826e-05,166,random search for 2 group,1
