split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,iter_num,experiment_name,run_number
0.7206427590325385,0.6647304681220911,0.5415591062118675,0.6423107777888325,0.07480962755723385,357,0.4863303502400716,0.027863864986259045,0.04811755816141764,0.0023055518448645822,0.5557912436866204,0.6589201045986223,"OrderedDict([('colsample_bytree', 0.5557912436866204), ('subsample', 0.6589201045986223)])",353,random search for 3 group,3
0.7181097616887548,0.6755319528317768,0.5516025816724652,0.6484147653976656,0.07062892061092635,331,0.4977826277414958,0.06571276630952784,0.050430615743001304,0.006776192112068922,0.8167999120197025,0.8312533188777095,"OrderedDict([('colsample_bytree', 0.8167999120197025), ('subsample', 0.8312533188777095)])",354,random search for 3 group,3
0.7191964867111238,0.6707578465305072,0.5863570651849048,0.6587704661421786,0.05488989551387387,244,0.4924825032552083,0.04021519125275541,0.047727108001708984,0.004010820014922938,0.6314792712009273,0.6199100999425021,"OrderedDict([('colsample_bytree', 0.6314792712009273), ('subsample', 0.6199100999425021)])",355,random search for 3 group,3
0.7362831786320456,0.6647038545064812,0.6055826403464715,0.6688565578283328,0.053439008135095445,157,0.5086218516031901,0.046531333186698484,0.04817080497741699,0.002308354326482083,0.8243105462761295,0.6447675076539237,"OrderedDict([('colsample_bytree', 0.8243105462761295), ('subsample', 0.6447675076539237)])",356,random search for 3 group,3
0.716718062306065,0.669791079839262,0.5632720460182856,0.6499270627212043,0.06419945150698841,319,0.47682809829711914,0.04371243326475014,0.04822786649068197,0.0023883207174670773,0.7491520559875284,0.6310181917780262,"OrderedDict([('colsample_bytree', 0.7491520559875284), ('subsample', 0.6310181917780262)])",357,random search for 3 group,3
0.7095464243927699,0.683678851506468,0.5813843103001397,0.6582031953997926,0.055336176610015775,254,0.4015830357869466,0.055568207244848136,0.04883535703023275,0.005754200988929452,0.899909885533978,0.8023096200540036,"OrderedDict([('colsample_bytree', 0.899909885533978), ('subsample', 0.8023096200540036)])",358,random search for 3 group,3
0.7113875301291223,0.6749053589498251,0.5168057944894997,0.634366227856149,0.08445148044293314,372,0.3901692231496175,0.14123152468477435,0.05446664492289225,0.004460951250286356,0.6159819939053675,0.6666772081146317,"OrderedDict([('colsample_bytree', 0.6159819939053675), ('subsample', 0.6666772081146317)])",359,random search for 3 group,3
0.7127670060056361,0.6614138067115691,0.638001876622365,0.6707275631131902,0.03122515744989256,134,0.5179328918457031,0.0429417659490916,0.05557767550150553,0.008112549503763614,0.5198663079085986,0.8965872359758382,"OrderedDict([('colsample_bytree', 0.5198663079085986), ('subsample', 0.8965872359758382)])",360,random search for 3 group,3
0.7145230072267919,0.6581805939505878,0.5837055621313566,0.6521363877695787,0.05357673815250555,306,0.5038771629333496,0.04137684149205987,0.04854027430216471,0.002529980654109317,0.6088154362485079,0.6691879787129996,"OrderedDict([('colsample_bytree', 0.6088154362485079), ('subsample', 0.6691879787129996)])",361,random search for 3 group,3
0.7085218383846296,0.677404323564173,0.5841965663412421,0.6567075760966815,0.05282335237351887,269,0.517052173614502,0.036649601248320805,0.04610530535380045,0.0015217980105503646,0.8660996310106568,0.7455955610152827,"OrderedDict([('colsample_bytree', 0.8660996310106568), ('subsample', 0.7455955610152827)])",362,random search for 3 group,3
0.7141971516901342,0.6739277688634344,0.5607193086373539,0.6496147430636409,0.06497283788727687,323,0.49524354934692383,0.03863226028705337,0.04625415802001953,0.0026343963197346604,0.5925749242857036,0.8922251273463064,"OrderedDict([('colsample_bytree', 0.5925749242857036), ('subsample', 0.8922251273463064)])",363,random search for 3 group,3
0.727148654909064,0.6760409081331433,0.6391501328205853,0.6807798986209308,0.036081190811572204,32,0.4814746379852295,0.03231313302032924,0.04338645935058594,0.00265091021966592,0.874582889214527,0.6497505597038453,"OrderedDict([('colsample_bytree', 0.874582889214527), ('subsample', 0.6497505597038453)])",364,random search for 3 group,3
0.7144002834661876,0.6729233754978576,0.633222606795175,0.6735154219197401,0.0331432917963813,107,0.5044365723927816,0.04801018334665091,0.04936138788859049,0.0017316823267638066,0.8912813443110319,0.6578173501521892,"OrderedDict([('colsample_bytree', 0.8912813443110319), ('subsample', 0.6578173501521892)])",365,random search for 3 group,3
0.7148217725688755,0.6859988126454711,0.6189152854788103,0.6732452902310523,0.04017879056559173,110,0.3980775674184163,0.08535126659191704,0.04719169934590658,0.0019409518960597698,0.8946303488321345,0.6311148523760249,"OrderedDict([('colsample_bytree', 0.8946303488321345), ('subsample', 0.6311148523760249)])",366,random search for 3 group,3
0.7116754690558429,0.6797885637790406,0.5989110381759586,0.663458357003614,0.04746199151540239,206,0.41328978538513184,0.15365465438519366,0.05394911766052246,0.00375282946512214,0.896755048175166,0.584314462372054,"OrderedDict([('colsample_bytree', 0.896755048175166), ('subsample', 0.584314462372054)])",367,random search for 3 group,3
0.7250389643023631,0.6548980903045653,0.5648156442620376,0.6482508996229887,0.06557955438068624,332,0.4906605879465739,0.03382621733482722,0.044527133305867515,0.0007117641935626787,0.5017376413260016,0.8222730348583662,"OrderedDict([('colsample_bytree', 0.5017376413260016), ('subsample', 0.8222730348583662)])",368,random search for 3 group,3
0.7065388253006051,0.6607344727956914,0.5835782750236909,0.6502838577066624,0.05073943731066705,315,0.46886595090230304,0.02762144779133305,0.05258655548095703,0.0007381373238001769,0.8959157062362781,0.6873409120058334,"OrderedDict([('colsample_bytree', 0.8959157062362781), ('subsample', 0.6873409120058334)])",369,random search for 3 group,3
