split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_subsample,params,run_number,experiment_name
0.736043640891882,0.6987139827262936,0.6592258043883448,0.6979944760021736,0.03136487705184028,118,0.3566014766693115,0.06049288742053093,0.056859731674194336,0.005809995007036091,0.7126448922379435,3,4,0.9555986866579222,0.2356877164675359,0.865847628892672,"OrderedDict([('colsample_bytree', 0.7126448922379435), ('max_depth', 3), ('min_child_weight', 4), ('reg_alpha', 0.9555986866579222), ('reg_lambda', 0.2356877164675359), ('subsample', 0.865847628892672)])",6,bayes_opt
0.726883001145916,0.7016665357823124,0.6562905744134895,0.6949467037805727,0.029208329686260793,290,0.31644996007283527,0.006690600368147703,0.04853558540344238,0.0023556620228687335,0.6070724476750265,3,18,0.8727274904258678,0.9749271463044212,0.8355803923316748,"OrderedDict([('colsample_bytree', 0.6070724476750265), ('max_depth', 3), ('min_child_weight', 18), ('reg_alpha', 0.8727274904258678), ('reg_lambda', 0.9749271463044212), ('subsample', 0.8355803923316748)])",6,bayes_opt
0.7254982994813635,0.6903169276148515,0.6562966206320102,0.6907039492427417,0.028252792525077317,397,0.29969175656636554,0.04958442705479807,0.0738225777943929,0.012208886282405866,0.8400994848910897,4,17,0.8324623417743809,0.34296310985417894,0.6072175046310536,"OrderedDict([('colsample_bytree', 0.8400994848910897), ('max_depth', 4), ('min_child_weight', 17), ('reg_alpha', 0.8324623417743809), ('reg_lambda', 0.34296310985417894), ('subsample', 0.6072175046310536)])",6,bayes_opt
0.6452116246279813,0.607236767750439,0.5934929667948736,0.6153137863910979,0.021872868499668446,725,8.351560990015665,2.4675430759623187,0.2640189329783122,0.022269918396006606,0.8898205883094988,13,12,0.5755001443583005,0.36872072132955075,0.8611863325234236,"OrderedDict([('colsample_bytree', 0.8898205883094988), ('max_depth', 13), ('min_child_weight', 12), ('reg_alpha', 0.5755001443583005), ('reg_lambda', 0.36872072132955075), ('subsample', 0.8611863325234236)])",6,bayes_opt
0.6982916902395446,0.6031031538456514,0.6135551887545,0.638316677613232,0.04262286446715907,653,11.971251885096232,3.174260746384927,0.28321115175882977,0.026301110595184973,0.5226379275900557,14,3,0.7172005262946836,0.9365427826618591,0.5095893338172834,"OrderedDict([('colsample_bytree', 0.5226379275900557), ('max_depth', 14), ('min_child_weight', 3), ('reg_alpha', 0.7172005262946836), ('reg_lambda', 0.9365427826618591), ('subsample', 0.5095893338172834)])",6,bayes_opt
0.6595146370070795,0.6054939114279922,0.5948190873835076,0.6199425452728597,0.028319025410034858,717,16.004530668258667,3.0320138387006854,0.3348945776621501,0.010828800692671281,0.675105631584356,14,2,0.5817483405495025,0.37179174270711274,0.5581992115944611,"OrderedDict([('colsample_bytree', 0.675105631584356), ('max_depth', 14), ('min_child_weight', 2), ('reg_alpha', 0.5817483405495025), ('reg_lambda', 0.37179174270711274), ('subsample', 0.5581992115944611)])",6,bayes_opt
0.6633124570669553,0.6173292874539763,0.6002948338867369,0.6269788594692228,0.026616296860871688,695,11.26021695137024,2.9648564297754456,0.30741365750630695,0.0561156719642446,0.6641878310208149,13,7,0.1867710367800998,0.029795615315977193,0.6801654888087397,"OrderedDict([('colsample_bytree', 0.6641878310208149), ('max_depth', 13), ('min_child_weight', 7), ('reg_alpha', 0.1867710367800998), ('reg_lambda', 0.029795615315977193), ('subsample', 0.6801654888087397)])",6,bayes_opt
0.7022441325132438,0.6217416836264289,0.6321108472952346,0.6520322211449691,0.035756648996974214,585,1.8088738918304443,0.1302079961221412,0.13205663363138834,0.016689616234760448,0.5172880232773782,9,15,0.2287987693967493,0.01190552608974738,0.5819993980823971,"OrderedDict([('colsample_bytree', 0.5172880232773782), ('max_depth', 9), ('min_child_weight', 15), ('reg_alpha', 0.2287987693967493), ('reg_lambda', 0.01190552608974738), ('subsample', 0.5819993980823971)])",6,bayes_opt
0.7319375049028286,0.6930963801983964,0.6642762748768951,0.6964367199927066,0.027723382605202428,221,0.2483234405517578,0.030918892330230346,0.05466922124226888,0.009049906964911822,0.8213122395439391,4,3,0.9454541215883225,0.7225749368862042,0.7761798836565115,"OrderedDict([('colsample_bytree', 0.8213122395439391), ('max_depth', 4), ('min_child_weight', 3), ('reg_alpha', 0.9454541215883225), ('reg_lambda', 0.7225749368862042), ('subsample', 0.7761798836565115)])",6,bayes_opt
0.6648013641285534,0.6044043196131796,0.6045910485262656,0.6245989107559995,0.028427529612461006,702,9.772770722707113,3.477063525581635,0.31044991811116535,0.04363060558486397,0.8352278117827976,14,12,0.2456219518069464,0.8318498652635252,0.7023219344122607,"OrderedDict([('colsample_bytree', 0.8352278117827976), ('max_depth', 14), ('min_child_weight', 12), ('reg_alpha', 0.2456219518069464), ('reg_lambda', 0.8318498652635252), ('subsample', 0.7023219344122607)])",6,bayes_opt
0.5534787154623029,0.5225847644554006,0.46282012475828105,0.5129612015586614,0.03763158902863797,729,0.2573893864949544,0.06099769029305647,0.048820813496907554,0.03554630386061327,0.607408982943409,1,6,0.19119582900997595,0.8744598032382515,0.8417634021228768,"OrderedDict([('colsample_bytree', 0.607408982943409), ('max_depth', 1), ('min_child_weight', 6), ('reg_alpha', 0.19119582900997595), ('reg_lambda', 0.8744598032382515), ('subsample', 0.8417634021228768)])",6,bayes_opt
