split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,experiment_name,run_number
0.811350857591757,0.6254490669885981,0.3582101278657426,0.5983366841486992,0.18598466103704922,157,0.8221275011698405,0.37204889248645223,0.001245419184366862,6.966728865028471e-05,8,7,"OrderedDict([('max_depth', 8), ('min_child_weight', 7)])",BO for 1 group,10.0
0.8233806751106825,0.6675928629766865,0.3343543811974007,0.60844263976159,0.2039783333501162,103,0.5860796769460043,0.00039156869137085354,0.0012378692626953125,4.90806520380824e-05,12,10,"OrderedDict([('max_depth', 12), ('min_child_weight', 10)])",BO for 1 group,10.0
0.8076077203264,0.626664503630308,0.30631883634481294,0.580197020100507,0.20727124992799575,202,0.46855886777242023,0.006377921339151364,0.0011076927185058594,0.00014280098658260028,4,19,"OrderedDict([('max_depth', 4), ('min_child_weight', 19)])",BO for 1 group,10.0
0.7809898466453571,0.6575575075922431,0.28333421807740233,0.5739605241050009,0.21159178134238615,218,0.5720825990041097,0.00436797097692616,0.0011824766794840496,2.5770047470181173e-05,15,15,"OrderedDict([('max_depth', 15), ('min_child_weight', 15)])",BO for 1 group,10.0
0.7878530906291966,0.6973764491746177,0.2845939811866981,0.5899411736635042,0.21904974568550378,186,0.4701293309529622,0.00605840598344282,0.0010622342427571614,6.328874460827461e-05,4,13,"OrderedDict([('max_depth', 4), ('min_child_weight', 13)])",BO for 1 group,10.0
0.8024117875011094,0.6473428905824252,0.3421926956920699,0.5973157912585348,0.19118479039305766,163,0.5419431527455648,0.006992309354234574,0.001134634017944336,3.5241352285113966e-05,7,7,"OrderedDict([('max_depth', 7), ('min_child_weight', 7)])",BO for 1 group,10.0
0.8424745663016394,0.5851013231528011,0.204416602655775,0.5439974973700717,0.26210256848984337,233,0.378931204477946,0.005237014005629983,0.0009275277455647787,3.2980183504130666e-05,1,20,"OrderedDict([('max_depth', 1), ('min_child_weight', 20)])",BO for 1 group,10.0
0.8265792144825115,0.6127380967249112,0.34821159164335036,0.5958429676169243,0.19565783004329973,174,0.8719435532887777,0.016545405662195083,0.001350084940592448,1.8627529642903005e-05,15,3,"OrderedDict([('max_depth', 15), ('min_child_weight', 3)])",BO for 1 group,10.0
0.7954780522222742,0.6739346153270764,0.2957258781650628,0.5883795152381378,0.212803219324252,192,0.4860849380493164,0.004666690019302044,0.0010562737782796223,1.8118069102024567e-05,5,17,"OrderedDict([('max_depth', 5), ('min_child_weight', 17)])",BO for 1 group,10.0
0.7933757923246006,0.6474086330514336,0.2915012632545847,0.5774285628768729,0.21078016731267657,211,0.5286011695861816,0.0030854544298802252,0.0011156400044759114,4.659699185466191e-05,11,19,"OrderedDict([('max_depth', 11), ('min_child_weight', 19)])",BO for 1 group,10.0
0.8536047212697302,0.5365652311914293,0.22225752251537434,0.5374758249921779,0.25774721883988777,239,0.38182266553243,0.004568647311425758,0.0009113947550455729,3.7655713610917365e-05,1,1,"OrderedDict([('max_depth', 1), ('min_child_weight', 1)])",BO for 1 group,10.0
0.612817980831015,0.6464522549453467,0.24391368434125738,0.5010613067058731,0.18234855061051028,243,1.0473110675811768,0.0439876318187359,0.0014088948567708333,2.5087506163381888e-05,12,1,"OrderedDict([('max_depth', 12), ('min_child_weight', 1)])",BO for 1 group,10.0
0.8472479320674869,0.5404826592040388,0.2136104104893174,0.533780333920281,0.25872484491068665,240,0.38151876131693524,0.0035807987329650346,0.0008846918741861979,1.4253806890770824e-05,1,4,"OrderedDict([('max_depth', 1), ('min_child_weight', 4)])",BO for 1 group,10.0
0.796953227612116,0.6985046685089439,0.33691657941464903,0.6107914918452363,0.19778545689967378,87,1.4122640291849773,0.009831307913466024,0.0012517770131429036,7.202249559830321e-05,20,11,"OrderedDict([('max_depth', 20), ('min_child_weight', 11)])",BO for 1 group,10.0
0.8430552282161391,0.6107700104530065,0.33413639598588396,0.5959872115516766,0.20802803145597074,173,1.6363983949025471,0.02101654729832877,0.0015152295430501301,9.031089608939714e-05,20,4,"OrderedDict([('max_depth', 20), ('min_child_weight', 4)])",BO for 1 group,10.0
0.797469611536291,0.6498610975180271,0.290505865568081,0.5792788582074664,0.21289974058399713,203,1.3465295632680256,0.005503148756566663,0.0011370182037353516,2.328541227264316e-05,20,20,"OrderedDict([('max_depth', 20), ('min_child_weight', 20)])",BO for 1 group,10.0
0.8076229193740346,0.6469389212140991,0.3432138254827297,0.5992585553569545,0.19256862774681843,151,1.4499109586079915,0.006835180229975173,0.0012300809224446614,3.4361145749558674e-05,20,9,"OrderedDict([('max_depth', 20), ('min_child_weight', 9)])",BO for 1 group,10.0
0.8254286076302569,0.6717987168207746,0.3451582004589874,0.6141285083033395,0.2002653335185558,68,1.430558204650879,0.016228317563638427,0.0012466112772623699,5.036949471732881e-05,20,10,"OrderedDict([('max_depth', 20), ('min_child_weight', 10)])",BO for 1 group,10.0
0.8071389833408025,0.6631882523838526,0.336722025675378,0.602349753800011,0.1968062002703006,135,0.5376716454823812,0.002997448039215748,0.001153389612833659,2.4104525796071235e-05,8,12,"OrderedDict([('max_depth', 8), ('min_child_weight', 12)])",BO for 1 group,10.0
0.8357341183460594,0.5639546636364192,0.22354622789261802,0.5410783366250321,0.2504475967244879,237,0.3862849871317546,0.006182190459291758,0.0009101231892903646,3.9420300874994006e-05,1,8,"OrderedDict([('max_depth', 1), ('min_child_weight', 8)])",BO for 1 group,10.0
