split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,iter_num,experiment_name,run_number
0.7131623271677574,0.6800300024797836,0.6114843275783748,0.6682255524086386,0.042340781611713625,218,1.5376688639322917,0.451893913318659,0.526685873667399,0.08820853630386427,0.972522361666476,0.8935779608655313,"OrderedDict([('reg_alpha', 0.972522361666476), ('reg_lambda', 0.8935779608655313)])",48,random search for 2 group,4
0.7177097928485698,0.6719901493147472,0.580327816072703,0.6566759194120066,0.05712177701394742,289,1.025105079015096,0.03312459454227495,0.4649330774943034,0.09272361349977229,0.8846364260680792,0.6081881090872756,"OrderedDict([('reg_alpha', 0.8846364260680792), ('reg_lambda', 0.6081881090872756)])",49,random search for 2 group,4
0.7131531864229794,0.6800257462443244,0.611473089435878,0.6682173407010605,0.042342172530722665,222,1.2019709746042888,0.6394092626816817,0.4994381268819173,0.05687492296698289,0.8886318443037234,0.857609173713462,"OrderedDict([('reg_alpha', 0.8886318443037234), ('reg_lambda', 0.857609173713462)])",50,random search for 2 group,4
0.7198315684237531,0.6719644538615728,0.5824511314771613,0.6580823845874958,0.0569378608625627,274,0.8769689400990804,0.22756698399044858,0.46443740526835126,0.026690885825927702,0.5949315506606337,0.48196582537272303,"OrderedDict([('reg_alpha', 0.5949315506606337), ('reg_lambda', 0.48196582537272303)])",51,random search for 2 group,4
0.7076903372161056,0.6800168233552197,0.6114498676110267,0.666385676060784,0.04045502136013511,260,0.9490926265716553,0.18295150745071032,0.536770741144816,0.1328671210406671,0.40167450961705387,0.7868164181841729,"OrderedDict([('reg_alpha', 0.40167450961705387), ('reg_lambda', 0.7868164181841729)])",52,random search for 2 group,4
0.7207656403944522,0.6808556468923607,0.619434694230092,0.6736853271723017,0.04167773407393943,15,0.9965324401855469,0.39769649815524416,0.4715266227722168,0.10708337188928327,0.33345433281967424,0.09797964990673738,"OrderedDict([('reg_alpha', 0.33345433281967424), ('reg_lambda', 0.09797964990673738)])",53,random search for 2 group,4
0.7199770398875229,0.6715983548696782,0.5664255766273742,0.6526669904615251,0.06410049602563624,335,0.9022252559661865,0.22171633725145426,0.3825705051422119,0.04316181624199948,0.831398409879475,0.44438310131351,"OrderedDict([('reg_alpha', 0.831398409879475), ('reg_lambda', 0.44438310131351)])",54,random search for 2 group,4
0.7198223469005967,0.6721491795755837,0.5719123332312228,0.654627953235801,0.06164191250145747,321,1.0023950735727947,0.47505963207158525,0.4669804573059082,0.04975143595397784,0.06112712228806584,0.45689284336473257,"OrderedDict([('reg_alpha', 0.06112712228806584), ('reg_lambda', 0.45689284336473257)])",55,random search for 2 group,4
0.7176911245073727,0.6807448466214319,0.6194186525328151,0.6726182078872066,0.04052901331009683,105,1.0462581316630046,0.13343525483258076,0.45740548769632977,0.06159655834467852,0.8906437916143992,0.0313177798601817,"OrderedDict([('reg_alpha', 0.8906437916143992), ('reg_lambda', 0.0313177798601817)])",56,random search for 2 group,4
0.7215610627668319,0.6784102652508259,0.6194444730941249,0.6731386003705943,0.041855245067996774,37,1.0184973080952961,0.284347590761203,0.5894119739532471,0.08837496144293126,0.8061966730461452,0.1387216798175516,"OrderedDict([('reg_alpha', 0.8061966730461452), ('reg_lambda', 0.1387216798175516)])",57,random search for 2 group,4
0.7131883050768961,0.6800430243532416,0.6115175850035787,0.6682496381445722,0.042336326393589745,197,0.9191935857137045,0.18760446126253982,0.4142110347747803,0.11306712638511146,0.04459639782983764,1.0,"OrderedDict([('reg_alpha', 0.04459639782983764), ('reg_lambda', 1.0)])",58,random search for 2 group,4
0.7203314442466191,0.6784295588568239,0.5663517527212074,0.6550375852748834,0.06500166496128584,303,0.8918061256408691,0.2852452673512566,0.42168410619099933,0.059450687713254194,0.10077116984265946,0.24198343284894103,"OrderedDict([('reg_alpha', 0.10077116984265946), ('reg_lambda', 0.24198343284894103)])",59,random search for 2 group,4
0.717675645854848,0.680739920769942,0.6186401624923779,0.6723519097057227,0.040863804590530774,132,0.7754830519358317,0.07171685673254306,0.5256540775299072,0.04386270320352387,0.6923511005829456,6.307057256793593e-05,"OrderedDict([('reg_alpha', 0.6923511005829456), ('reg_lambda', 6.307057256793593e-05)])",60,random search for 2 group,4
0.723808494765406,0.6720858428128449,0.6114229708394238,0.6691057694725582,0.04592956291877449,162,0.7473440965016683,0.10067384126358993,0.41696778933207196,0.13683489904265164,0.9260628914336334,0.704246784742716,"OrderedDict([('reg_alpha', 0.9260628914336334), ('reg_lambda', 0.704246784742716)])",61,random search for 2 group,4
0.7197670508859872,0.6783667928075996,0.5663843728967595,0.6548394055301154,0.06479050825990551,320,1.033392111460368,0.36184260210118585,0.5100248654683431,0.040343509722735156,0.09596045246991938,0.3311540179249573,"OrderedDict([('reg_alpha', 0.09596045246991938), ('reg_lambda', 0.3311540179249573)])",62,random search for 2 group,4
0.7142708324635829,0.6800371194007797,0.6115024893071827,0.6686034803905151,0.04272687807099643,175,0.902005116144816,0.15408969448682422,0.5382249355316162,0.09098512148387225,0.06706164455921594,0.9514215015231572,"OrderedDict([('reg_alpha', 0.06706164455921594), ('reg_lambda', 0.9514215015231572)])",63,random search for 2 group,4
0.720291386670979,0.6784179951705864,0.5663290270578393,0.6550128029664682,0.06499720153460571,307,0.8927328586578369,0.07643641923494901,0.5109913349151611,0.11336583171339949,0.17127605115140934,0.1807517656966169,"OrderedDict([('reg_alpha', 0.17127605115140934), ('reg_lambda', 0.1807517656966169)])",64,random search for 2 group,4
