mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name
0.21395357449849448,0.06721209187580074,0.05830732981363932,0.0077639807550038175,0.25,0.625,0.25,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.6190263774369442,0.5760254418110063,0.6281452957995746,0.6077323716825084,0.02272716024838035,550,grid_search
0.14418315887451172,0.00038619487622653276,0.04214104016621908,0.0005734266481260303,0.25,0.625,0.25,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.6070315084296074,0.5649093697980516,0.6311225577110124,0.6010211453128905,0.02736347823889059,712,grid_search
0.146191676457723,0.0018555869659253401,0.04238176345825195,0.0003111614263388489,0.25,0.625,0.25,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.6009940812515353,0.579268260167306,0.6263105002780953,0.6021909472323123,0.019223552477663847,685,grid_search
0.14955496788024902,0.0006723835381175987,0.04203367233276367,0.0006852571648771799,0.25,0.625,0.25,2,10,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.625}",0.6210278079288515,0.5695037381737857,0.6323395877496689,0.6076237112841021,0.027347618459713473,577,grid_search
0.14873528480529785,0.0019166211500461743,0.04253204663594564,0.0011711074710018066,0.25,0.625,0.25,2,10,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.75}",0.6119919981172599,0.5723098134712123,0.6386197306020498,0.6076405140635074,0.02724521777703602,568,grid_search
0.15076891581217447,0.0006355191816412274,0.04378970464070638,0.0007112222252056241,0.25,0.625,0.25,2,10,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.875}",0.602616728691988,0.5754927193589324,0.6333791607746104,0.603829536275177,0.023647596095136336,676,grid_search
0.14894390106201172,0.002278695977295579,0.043089866638183594,6.810290836156428e-05,0.25,0.625,0.25,2,18,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.625}",0.6016209308793198,0.5654607879627674,0.6307492994773745,0.5992770061064873,0.02670540421529903,721,grid_search
0.14968228340148926,0.0006234138746530024,0.04257957140604655,0.0009140909522874644,0.25,0.625,0.25,2,18,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.75}",0.6030838679025673,0.5760713114187335,0.6332077531454814,0.6041209774889273,0.02333737975179312,667,grid_search
0.15077471733093262,0.0017452429660086088,0.0454712708791097,0.0019374274015834746,0.25,0.625,0.25,2,18,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.875}",0.6076227576715809,0.570996146799791,0.6337981981580846,0.6041390342098188,0.025756897594896248,658,grid_search
1.5788597265879314,0.12470777380757998,0.11637377738952637,0.0017797779413343245,0.25,0.625,0.25,10,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.625}",0.6123699185607496,0.6129964328917665,0.6855572652413333,0.6369745388979499,0.034354127401413345,379,grid_search
1.8211039702097576,0.12288363798435202,0.12222107251485188,0.001753371969497445,0.25,0.625,0.25,10,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.75}",0.6085193876572463,0.6492609073983084,0.6522608387700197,0.6366803779418582,0.019950454087000056,388,grid_search
2.003016233444214,0.0453266419256635,0.12560137112935385,0.002492455135229336,0.25,0.625,0.25,10,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.875}",0.6124792076788454,0.6290510248939734,0.6521862047101119,0.6312388124276436,0.01628396376868181,415,grid_search
0.8493163585662842,0.02709734291372945,0.11064712206522624,0.0007133531786309602,0.25,0.625,0.25,10,10,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.625}",0.6556296000265327,0.6186159843670136,0.699316057096852,0.6578538804967994,0.032983187660363254,19,grid_search
0.9016140302022299,0.01657224614648453,0.11170705159505208,0.003275552353827317,0.25,0.625,0.25,10,10,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.75}",0.6391825819055139,0.6403254824128597,0.6778108643709302,0.6524396428964346,0.01794622921810879,181,grid_search
