mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
0.3377978006998698,0.014004802070802801,0.0819389820098877,0.0011079735406108538,0.7142210312568775,0.5925694766270424,"{'colsample_bytree': 0.7142210312568775, 'subsample': 0.5925694766270424}",0.6630773655163605,0.6385477249551413,0.6914766323372851,0.6643672409362623,0.02162737683455913,10,random search for 3 group,3
0.3367040952046712,0.01459925695518675,0.08270597457885742,0.0014218500900576568,0.5806647652045618,0.5827148411964863,"{'colsample_bytree': 0.5806647652045618, 'subsample': 0.5827148411964863}",0.6454452538670764,0.6366603555927776,0.6845265866407975,0.6555440653668838,0.020805183872728894,176,random search for 3 group,3
0.3429529666900635,0.019394247373956706,0.08217072486877441,0.0018459900047711024,0.8560080287051588,0.7939008100124507,"{'colsample_bytree': 0.8560080287051588, 'subsample': 0.7939008100124507}",0.6431007519765242,0.633279457498646,0.697741882099105,0.6580406971914251,0.028357862150388404,118,random search for 3 group,3
0.33380405108133954,0.01616978521094041,0.08898862202962239,0.008257055939332427,0.5603768395031861,0.8547846300785829,"{'colsample_bytree': 0.5603768395031861, 'subsample': 0.8547846300785829}",0.6471579823989322,0.6374494847260992,0.694340953341414,0.6596494734888151,0.024848713079195953,68,random search for 3 group,3
0.3692959149678548,0.03751943138272153,0.09164675076802571,0.010847684269672562,0.8557588666026748,0.7008814695215007,"{'colsample_bytree': 0.8557588666026748, 'subsample': 0.7008814695215007}",0.6511004303539432,0.6358564307078478,0.6906008495756704,0.6591859035458204,0.023069012503736497,85,random search for 3 group,3
0.33495132128397626,0.012462379389169363,0.08483282725016277,0.0021118766604656127,0.5141367983943873,0.8385650392490325,"{'colsample_bytree': 0.5141367983943873, 'subsample': 0.8385650392490325}",0.649361272309384,0.6349263037133118,0.6886124880326585,0.6576333546851181,0.022684386801144596,128,random search for 3 group,3
0.3395230770111084,0.01416735662180899,0.08157841364542644,0.0020540626316616455,0.8325319170718471,0.694050876844293,"{'colsample_bytree': 0.8325319170718471, 'subsample': 0.694050876844293}",0.6390272819752982,0.6359821991243946,0.6889552595182389,0.6546549135393106,0.024285845439924535,193,random search for 3 group,3
0.35040871302286786,0.019130559275774606,0.08285999298095703,0.0017984460809883274,0.7502869154172931,0.782076444812186,"{'colsample_bytree': 0.7502869154172931, 'subsample': 0.782076444812186}",0.6482535598618279,0.6343566380875635,0.6931260223905797,0.6585787401133237,0.025078771145576665,108,random search for 3 group,3
0.35191845893859863,0.01880643171400701,0.08407862981160481,0.0005447106212386315,0.8778790250383077,0.8848119601155873,"{'colsample_bytree': 0.8778790250383077, 'subsample': 0.8848119601155873}",0.6500553008237151,0.6332679880376078,0.6985921893281276,0.6606384927298169,0.02769856532689159,44,random search for 3 group,3
0.33249855041503906,0.01233360191074793,0.08141978581746419,0.0019846228450557963,0.7415783227136036,0.5827349905462494,"{'colsample_bytree': 0.7415783227136036, 'subsample': 0.5827349905462494}",0.6440450586002449,0.6470507372679726,0.6946311339487045,0.6619089766056406,0.023170573463649646,27,random search for 3 group,3
0.33495545387268066,0.0077519821749547,0.08394630750020345,0.0007826730689887709,0.7285134050468178,0.554573311670532,"{'colsample_bytree': 0.7285134050468178, 'subsample': 0.554573311670532}",0.6396609424295843,0.6316731218490393,0.6897509928804832,0.6536950190530356,0.025703128939112134,204,random search for 3 group,3
0.3331432342529297,0.01055424638543008,0.08350245157877605,0.0012365146102793624,0.5147668540040247,0.7449113801982091,"{'colsample_bytree': 0.5147668540040247, 'subsample': 0.7449113801982091}",0.6407716578418422,0.6341909149834521,0.6823327170936313,0.6524317633063085,0.021313169984554483,222,random search for 3 group,3
0.3636299769083659,0.02391189612432362,0.0935656229654948,0.010414357548683282,0.6204850791516289,0.6266057947000926,"{'colsample_bytree': 0.6204850791516289, 'subsample': 0.6266057947000926}",0.6517857205383177,0.6369583243451031,0.6916263744975817,0.6601234731270008,0.023083724649502105,54,random search for 3 group,3
0.3917570908864339,0.008838063932426893,0.09861000378926595,0.007894748920473493,0.5638684410219718,0.7681514443944752,"{'colsample_bytree': 0.5638684410219718, 'subsample': 0.7681514443944752}",0.6495928984895217,0.6390606667533877,0.6900256187917727,0.6595597280115607,0.021967549584326458,70,random search for 3 group,3
0.35045671463012695,0.01819581383361353,0.08480294545491536,0.0030717713801548295,0.813395455766611,0.8905430344426482,"{'colsample_bytree': 0.813395455766611, 'subsample': 0.8905430344426482}",0.6499071422972413,0.6354710563872281,0.6950623229712465,0.6601468405519053,0.025382649303961058,53,random search for 3 group,3
0.3345828851064046,0.010426808800958325,0.08529019355773926,0.00176313337162421,0.5199907092037812,0.860164615164244,"{'colsample_bytree': 0.5199907092037812, 'subsample': 0.860164615164244}",0.652892672641759,0.6348375288127794,0.6861837205963355,0.6579713073502913,0.021267381135523972,120,random search for 3 group,3
0.35215989748636883,0.010710033699880796,0.08411518732706706,0.0010920661335528808,0.586821362680491,0.7982490347594513,"{'colsample_bytree': 0.586821362680491, 'subsample': 0.7982490347594513}",0.6488539935652738,0.640590968945564,0.699425741405549,0.6629569013054623,0.02600707105962727,17,random search for 3 group,3
0.3540182113647461,0.016087520398598888,0.08490721384684245,0.0017327261162297831,0.5777755151358945,0.8637074992596474,"{'colsample_bytree': 0.5777755151358945, 'subsample': 0.8637074992596474}",0.6584724492314682,0.6373497872247201,0.6960890547419285,0.6639704303993722,0.024293294476823758,11,random search for 3 group,3
