mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name
2.860701560974121,0.1669039349968255,0.016298484802246094,0.000623099563044635,0.25,0.625,0.25,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.6595178582260872,0.600335460671514,0.48624791476429874,0.6258000846990206,0.5963195342689096,0.5936441705259661,0.058239560839883346,721,grid search
2.6493297100067137,0.02958982655157146,0.0160672664642334,0.0006385890919927476,0.25,0.625,0.25,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.6599668122353393,0.6071331138953113,0.478364814347648,0.6268268421953043,0.6032824090347608,0.5951147983416727,0.06173029396856081,703,grid search
2.473457765579224,0.014214049198874127,0.01606922149658203,0.0007266156017622581,0.25,0.625,0.25,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.6654283281978559,0.602417306868416,0.48298764863665655,0.6323988629788913,0.5978641604885928,0.5962192614340825,0.06158145514205614,685,grid search
2.7491006374359133,0.012239592993964182,0.015865468978881837,0.0003370617683867869,0.25,0.625,0.25,2,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.625}",0.6630585263152204,0.6079389562119701,0.48441787321658036,0.617602810916158,0.6028306587430866,0.5951697650806032,0.0593293325982156,694,grid search
2.6136751651763914,0.01933991701978331,0.016070079803466798,0.0004822399049904751,0.25,0.625,0.25,2,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.75}",0.6657924088737441,0.6071300071894893,0.4899672469456454,0.6252998864115209,0.6009834417506337,0.5978345982342066,0.058488103745512075,649,grid search
2.474241542816162,0.016381594963298274,0.015944862365722658,0.0005170361511710275,0.25,0.625,0.25,2,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.875}",0.6770389603281993,0.595631502348536,0.4882092016485525,0.6248330596607587,0.5969529419674754,0.5965331331907044,0.06167193423857583,676,grid search
2.761002540588379,0.02434163193837196,0.015996742248535156,0.0002989225322933703,0.25,0.625,0.25,2,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.625}",0.6623450340868325,0.5998092557400762,0.4809538179005084,0.6280068907397905,0.6119009193102001,0.5966031835554816,0.061526025600027213,667,grid search
2.5860060691833495,0.011300739812065913,0.015956687927246093,0.000546489738629342,0.25,0.625,0.25,2,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.75}",0.663808058363611,0.6066906257055418,0.4729695570485767,0.6214609768936061,0.6092434893928915,0.5948345414808454,0.06428930243472754,712,grid search
2.454504108428955,0.00500774514445831,0.016251277923583985,0.000330507780862778,0.25,0.625,0.25,2,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.875}",0.6743599414938131,0.6062471866785162,0.47636683903249455,0.6188167682833337,0.6078823555980326,0.5967346182172379,0.0651405794242624,658,grid search
5.809551525115967,0.019735044206761133,0.034616279602050784,0.001380228389841598,0.25,0.625,0.25,5,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.625}",0.6947911118169596,0.6346491504569498,0.5888575806292087,0.6212873870234015,0.6276055952421634,0.6334381650337366,0.03445210979652621,379,grid search
5.473010110855102,0.016982749814006798,0.033791303634643555,0.0006619763700245385,0.25,0.625,0.25,5,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.75}",0.712345586710396,0.6479285151165504,0.5766560558494734,0.6201092585208066,0.6320944071182795,0.6378267646631012,0.04414459370121265,325,grid search
5.16094708442688,0.020474414920602636,0.035650444030761716,0.0007414153029395173,0.25,0.625,0.25,5,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.875}",0.7168570784693828,0.6546539648012617,0.5990851703488436,0.6443951122812297,0.6450052815973454,0.6519993214996126,0.0377365174710297,19,grid search
5.727378225326538,0.03863727353595865,0.032440567016601564,0.0010356133631757168,0.25,0.625,0.25,5,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.625}",0.7039355176346938,0.6525850543444387,0.5648691111130422,0.650627881635325,0.6455874094065179,0.6435209948268035,0.04466087429079676,235,grid search
