experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.3239599227905273,0.0050107002258300785,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",91,9,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.013876169765682783,0.000180554791357747,0.0542590143231491
random search for 1 group,0.3177967071533203,0.00515451431274414,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",156,9,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.008331963262420182,0.00031556060701824675,0.052807713996668705
random search for 1 group,0.6696281909942627,0.005777549743652344,0.6380619231963699,,,,8,7,,"{'max_depth': 8, 'min_child_weight': 7}",163,9,0.681102749812396,0.6119865345627222,0.6037585696339662,0.6471268385435496,0.6463349234292151,0.03974586238139711,0.0008053264409464665,0.027784074348151493
random search for 1 group,0.3183761119842529,0.005166959762573242,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",91,9,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.009876088232540601,0.0002089101573983565,0.0542590143231491
random search for 1 group,0.5923152446746827,0.00536036491394043,0.642000610172335,,,,7,6,,"{'max_depth': 7, 'min_child_weight': 6}",142,9,0.700784311104035,0.6344014319065386,0.6020944565185362,0.6255508126437883,0.6471720386887767,0.02134179764502196,5.602765590136462e-05,0.03287282043456068
random search for 1 group,0.42312350273132326,0.0052318572998046875,0.6435097422869823,,,,5,1,,"{'max_depth': 5, 'min_child_weight': 1}",127,9,0.7074908753024457,0.6372849460935126,0.5928162718493919,0.6302800337628564,0.6496765844267052,0.012110291822512673,0.00020362135921650262,0.03718929024385677
random search for 1 group,0.3985577583312988,0.005214262008666992,0.657690334493021,,,,5,9,,"{'max_depth': 5, 'min_child_weight': 9}",1,9,0.710637271809118,0.6496578159468517,0.5823513220379177,0.6764954976597148,0.6693097650115029,0.01379060941985477,0.00015750714495385622,0.042502968485411144
random search for 1 group,0.8896263599395752,0.005757188796997071,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",199,9,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.04200492332318996,6.650717781027772e-05,0.03685497946197997
random search for 1 group,0.318909215927124,0.004943323135375976,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",156,9,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.007891636934000482,0.00011976298489888032,0.052807713996668705
random search for 1 group,0.7235092639923095,0.00552515983581543,0.6323951360470051,,,,7,1,,"{'max_depth': 7, 'min_child_weight': 1}",194,9,0.6550269288219474,0.6362642699012022,0.6161907753337306,0.5978058174177585,0.6566878887603871,0.012194823536152994,0.00024677944130094775,0.022699375959460255
random search for 1 group,0.781854772567749,0.005569934844970703,0.635256722818928,,,,9,8,,"{'max_depth': 9, 'min_child_weight': 8}",181,9,0.6750541508207026,0.6264736439193792,0.6120360769641002,0.6183778747533848,0.6443418676370729,0.04704692559075072,0.00014889357660287375,0.02266103048324953
random search for 1 group,0.8093997001647949,0.005596923828125,0.6339744175865637,,,,9,7,,"{'max_depth': 9, 'min_child_weight': 7}",190,9,0.67974759813655,0.6199409022501351,0.6038073678905376,0.6306376447973692,0.6357385748582267,0.05568000312972237,0.00015712854496542113,0.025363047140467162
random search for 1 group,0.34857807159423826,0.00518341064453125,0.649218409527402,,,,4,9,,"{'max_depth': 4, 'min_child_weight': 9}",57,9,0.7076490539837288,0.6347110150307216,0.555109332444599,0.6764509894968633,0.672171656681097,0.009749598304040688,0.00019872622064714724,0.052439656869076964
random search for 1 group,0.3970839500427246,0.0052509307861328125,0.657690334493021,,,,5,9,,"{'max_depth': 5, 'min_child_weight': 9}",1,9,0.710637271809118,0.6496578159468517,0.5823513220379177,0.6764954976597148,0.6693097650115029,0.010363425817937578,7.342471659006824e-05,0.042502968485411144
random search for 1 group,0.31819748878479004,0.005008792877197266,0.6505939930587898,,,,3,9,,"{'max_depth': 3, 'min_child_weight': 9}",40,9,0.7041709128219857,0.6355412989753935,0.5598165710175411,0.6847214101184442,0.6687197723605852,0.009248880982133044,0.000146847699022812,0.050657348437114676
random search for 1 group,0.5391847610473632,0.005379390716552734,0.6498074563259497,,,,7,9,,"{'max_depth': 7, 'min_child_weight': 9}",52,9,0.6956125619418921,0.6376360013020864,0.5948761115461465,0.6630127696148085,0.6578998372248146,0.02554846058122514,0.00011100635904647651,0.03317701488944539
random search for 1 group,0.31957497596740725,0.004920816421508789,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",91,9,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.007983016607473933,8.875214148496902e-05,0.0542590143231491
random search for 1 group,1.0205707550048828,0.005739259719848633,0.6231022960434798,,,,8,1,,"{'max_depth': 8, 'min_child_weight': 1}",218,9,0.6203922791354726,0.6249708863927723,0.6148369175425581,0.5892545394492246,0.6660568576973711,0.015231244716358746,0.0002779775534826043,0.024778689620884115
random search for 1 group,0.4107544422149658,0.005086755752563477,0.6506950391443072,,,,5,4,,"{'max_depth': 5, 'min_child_weight': 4}",38,9,0.7225733239105259,0.6176451255877349,0.6154086497298282,0.6410766688309115,0.6567714276625352,0.010203898587368372,5.7128315485952344e-05,0.039072623228677245
random search for 1 group,0.41418137550354006,0.005092620849609375,0.6475159499747634,,,,5,3,,"{'max_depth': 5, 'min_child_weight': 3}",87,9,0.7213059058477109,0.6298917951505261,0.5944498742897433,0.6384366489595725,0.6534955256262637,0.00936476563995117,6.082749056458833e-05,0.04168876549264796
random search for 1 group,0.4007421970367432,0.005155086517333984,0.6535561668980392,,,,5,7,,"{'max_depth': 5, 'min_child_weight': 7}",16,9,0.7184080545715117,0.6324705232803323,0.5853317524092747,0.664825863758102,0.6667446404709756,0.011317893354748256,9.791012450115812e-05,0.04383123164233953
random search for 1 group,0.886723518371582,0.00597691535949707,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",199,9,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.033738799547517836,0.0006017838905347662,0.03685497946197997
random search for 1 group,0.5571919918060303,0.005527114868164063,0.6463990438513192,,,,7,7,,"{'max_depth': 7, 'min_child_weight': 7}",109,9,0.6963285378735586,0.6362153166486636,0.6038753322553434,0.6474785799221014,0.6480974525569292,0.026835039674761522,0.0004511463831101206,0.02969504575248905
random search for 1 group,0.4210557460784912,0.005147218704223633,0.6405056126148437,,,,5,2,,"{'max_depth': 5, 'min_child_weight': 2}",153,9,0.7066092428485564,0.6283856452346024,0.5866734139006866,0.6303809451657538,0.6504788159246193,0.012406981470452286,8.865773668008231e-05,0.039029380812374684
random search for 1 group,0.4075371265411377,0.005100727081298828,0.650781333794108,,,,5,5,,"{'max_depth': 5, 'min_child_weight': 5}",36,9,0.7044101922009518,0.6324102959356228,0.6062705916014565,0.6401919989326811,0.6706235902998279,0.01121232392256473,9.26479996209313e-05,0.03376567728509559
random search for 1 group,1.021143341064453,0.0056793212890625,0.6231022960434798,,,,8,1,,"{'max_depth': 8, 'min_child_weight': 1}",218,9,0.6203922791354726,0.6249708863927723,0.6148369175425581,0.5892545394492246,0.6660568576973711,0.01399299293810231,0.00015842604400893496,0.024778689620884115
random search for 1 group,0.49457464218139646,0.005211448669433594,0.6412431744571337,,,,6,5,,"{'max_depth': 6, 'min_child_weight': 5}",146,9,0.6943662651829554,0.6328704374623356,0.5971699805237072,0.6301941755579807,0.6516150135586896,0.009317100600440055,0.00017214617882475142,0.03182535888112942
random search for 1 group,0.8516592979431152,0.005684185028076172,0.6365690579003275,,,,9,6,,"{'max_depth': 9, 'min_child_weight': 6}",177,9,0.690382355016902,0.6322885237860475,0.6134009317288963,0.6050104748011003,0.6417630041686915,0.0492357012343326,0.0001588035551717182,0.02991279737578912
random search for 1 group,0.3179720401763916,0.005135297775268555,0.6501751530503082,,,,3,8,,"{'max_depth': 3, 'min_child_weight': 8}",50,9,0.708448969663916,0.6360259974933586,0.5520665799531479,0.6834364939650391,0.6708977241760792,0.009076164904751506,7.924927413541605e-05,0.05432691814259408
random search for 1 group,0.3465114593505859,0.005080986022949219,0.649218409527402,,,,4,9,,"{'max_depth': 4, 'min_child_weight': 9}",57,9,0.7076490539837288,0.6347110150307216,0.555109332444599,0.6764509894968633,0.672171656681097,0.010419426240466035,9.40243077325774e-05,0.052439656869076964
random search for 1 group,0.5366990089416503,0.005465221405029297,0.6498074563259497,,,,7,9,,"{'max_depth': 7, 'min_child_weight': 9}",52,9,0.6956125619418921,0.6376360013020864,0.5948761115461465,0.6630127696148085,0.6578998372248146,0.021566185232380977,0.0005466266475212704,0.03317701488944539
random search for 1 group,0.354464054107666,0.005133628845214844,0.6436359702507859,,,,4,3,,"{'max_depth': 4, 'min_child_weight': 3}",122,9,0.6938275769897768,0.6322986078474166,0.5622639950426171,0.6584247599535085,0.6713649114206108,0.008136362809045502,0.00013480431878656218,0.04529179617073415
random search for 1 group,0.31818137168884275,0.005118131637573242,0.6483210879979175,,,,3,6,,"{'max_depth': 3, 'min_child_weight': 6}",67,9,0.7064330630194322,0.6358017815723074,0.5508468211754239,0.6810647122074753,0.6674590620149485,0.00929714013600833,0.00040187421542198557,0.05380218274887263
random search for 1 group,0.7534775733947754,0.005383539199829102,0.6370821843331853,,,,9,9,,"{'max_depth': 9, 'min_child_weight': 9}",171,9,0.6781224672044344,0.6277967093619248,0.5895191901367075,0.6411540505239902,0.6488185044388702,0.038235592809328575,0.00014562792611326453,0.028938156763785593
random search for 1 group,0.5906445026397705,0.005195236206054688,0.642000610172335,,,,7,6,,"{'max_depth': 7, 'min_child_weight': 6}",142,9,0.700784311104035,0.6344014319065386,0.6020944565185362,0.6255508126437883,0.6471720386887767,0.01964518385968872,0.00011360004573098494,0.03287282043456068
random search for 1 group,0.35672707557678224,0.005121707916259766,0.6436359702507859,,,,4,3,,"{'max_depth': 4, 'min_child_weight': 3}",122,9,0.6938275769897768,0.6322986078474166,0.5622639950426171,0.6584247599535085,0.6713649114206108,0.011262518221195637,0.00013016449170333484,0.04529179617073415
random search for 1 group,0.4935906887054443,0.005144548416137695,0.6412431744571337,,,,6,5,,"{'max_depth': 6, 'min_child_weight': 5}",146,9,0.6943662651829554,0.6328704374623356,0.5971699805237072,0.6301941755579807,0.6516150135586896,0.01195427181765795,0.00011094735249229576,0.03182535888112942
random search for 1 group,0.3538690090179443,0.005377769470214844,0.6350066618630212,,,,4,1,,"{'max_depth': 4, 'min_child_weight': 1}",183,9,0.6805950419924609,0.6438366011921748,0.5630578210784793,0.6348287465812052,0.6527150984707865,0.009179104365800569,0.0006607089286227497,0.03910632762753599
random search for 1 group,0.522976303100586,0.00525212287902832,0.642776920443931,,,,6,2,,"{'max_depth': 6, 'min_child_weight': 2}",132,9,0.7105954095966389,0.6477976765481852,0.6062273133631263,0.6128273119001884,0.6364368908115157,0.013378996260834403,0.00012814469659223313,0.03714190158901104
random search for 1 group,0.3173741340637207,0.004913425445556641,0.6475807814418817,,,,3,5,,"{'max_depth': 3, 'min_child_weight': 5}",80,9,0.710273189564977,0.6367598872162559,0.5500710045271147,0.6746558613127656,0.6661439645882953,0.008871990238561367,9.45851427333073e-05,0.054098499240967116
random search for 1 group,0.6169529438018799,0.005247974395751953,0.6392722735171613,,,,7,5,,"{'max_depth': 7, 'min_child_weight': 5}",162,9,0.6905585114381925,0.6184113511283627,0.6225688548685377,0.6123903160529944,0.6524323340977192,0.014155037175169598,0.00012820728041439285,0.029121426164061784
random search for 1 group,0.39464468955993653,0.0050733089447021484,0.657690334493021,,,,5,9,,"{'max_depth': 5, 'min_child_weight': 9}",1,9,0.710637271809118,0.6496578159468517,0.5823513220379177,0.6764954976597148,0.6693097650115029,0.010956984516374259,8.063794296149077e-05,0.042502968485411144
random search for 1 group,0.5572131156921387,0.005269002914428711,0.6463990438513192,,,,7,7,,"{'max_depth': 7, 'min_child_weight': 7}",109,9,0.6963285378735586,0.6362153166486636,0.6038753322553434,0.6474785799221014,0.6480974525569292,0.024944259691568393,0.00010966564239664365,0.02969504575248905
random search for 1 group,0.7830438137054443,0.0055236339569091795,0.635256722818928,,,,9,8,,"{'max_depth': 9, 'min_child_weight': 8}",181,9,0.6750541508207026,0.6264736439193792,0.6120360769641002,0.6183778747533848,0.6443418676370729,0.04672162909969176,0.00010965962955869837,0.02266103048324953
random search for 1 group,1.1365262508392333,0.005863189697265625,0.6123808516305624,,,,9,3,,"{'max_depth': 9, 'min_child_weight': 3}",229,9,0.6706726775744859,0.5878327607985796,0.5942972166307536,0.573205302172505,0.635896300976488,0.06335736119175603,0.00010588662727203151,0.0358197253575729
random search for 1 group,0.31771154403686525,0.0049422264099121095,0.6505939930587898,,,,3,9,,"{'max_depth': 3, 'min_child_weight': 9}",40,9,0.7041709128219857,0.6355412989753935,0.5598165710175411,0.6847214101184442,0.6687197723605852,0.007150590617303728,0.00014524325209235996,0.050657348437114676
random search for 1 group,0.316118049621582,0.005000066757202148,0.6483210879979175,,,,3,6,,"{'max_depth': 3, 'min_child_weight': 6}",67,9,0.7064330630194322,0.6358017815723074,0.5508468211754239,0.6810647122074753,0.6674590620149485,0.009241455039230344,8.775868898401247e-05,0.05380218274887263
random search for 1 group,0.8505860328674316,0.005599546432495117,0.6365690579003275,,,,9,6,,"{'max_depth': 9, 'min_child_weight': 6}",177,9,0.690382355016902,0.6322885237860475,0.6134009317288963,0.6050104748011003,0.6417630041686915,0.05585358885007678,0.0001845169673656958,0.02991279737578912
random search for 1 group,0.7246323585510254,0.005515193939208985,0.6323951360470051,,,,7,1,,"{'max_depth': 7, 'min_child_weight': 1}",194,9,0.6550269288219474,0.6362642699012022,0.6161907753337306,0.5978058174177585,0.6566878887603871,0.00958347969522825,0.000159627931737994,0.022699375959460255
random search for 1 group,0.626984977722168,0.005401134490966797,0.6477693412821905,,,,8,9,,"{'max_depth': 8, 'min_child_weight': 9}",71,9,0.6947733049794449,0.6398302665925226,0.5956417852751483,0.6501439241836199,0.6584574253802165,0.025507536545713746,9.290887841999789e-05,0.031967350190750844
random search for 1 group,0.5048685073852539,0.0052944660186767575,0.6474485754399055,,,,6,4,,"{'max_depth': 6, 'min_child_weight': 4}",99,9,0.7346023790738694,0.6248150799140801,0.6127151554419047,0.6092402704216315,0.6558699923480416,0.012199931217287038,0.00011057128857818759,0.04657309503877257
random search for 1 group,0.6965261459350586,0.006049394607543945,0.643484098778365,,,,8,6,,"{'max_depth': 8, 'min_child_weight': 6}",130,9,0.6959995288226339,0.6335452090179006,0.6102195060162341,0.6217139167663233,0.6559423332687333,0.03942151734735481,0.0007751156313173899,0.03030621548623321
random search for 1 group,0.3536855697631836,0.005004692077636719,0.6378937835227886,,,,4,2,,"{'max_depth': 4, 'min_child_weight': 2}",166,9,0.6862245558959039,0.6346440545400367,0.5667587391995594,0.6458457881055899,0.6559957798728531,0.009731089379054519,0.00011385743086876233,0.0394905950227485
random search for 1 group,0.667555856704712,0.005356693267822265,0.6426244284021827,,,,7,3,,"{'max_depth': 7, 'min_child_weight': 3}",137,9,0.6962307872359513,0.6209190161988865,0.6088978482278247,0.644699081622415,0.6423754087258357,0.017475834670016694,0.00011258938181192419,0.02995535021785122
