split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,experiment_name,run_number
0.6574470347788569,0.6424696019582712,0.6888027601992331,0.6629064656454537,0.019305343425864735,176,0.573664665222168,0.007841490671689042,0.011880715688069662,0.00020543422180107894,0.4300740110252099,0.6053592792438158,"OrderedDict([('reg_alpha', 0.4300740110252099), ('reg_lambda', 0.6053592792438158)])",BO for 2 group,1
0.6447857817779776,0.6423497229463959,0.6965546189024232,0.6612300412089323,0.024998039090767914,196,0.5695005257924398,0.004204334224435156,0.011902570724487305,7.417538809049353e-05,0.7164626011535147,0.900485148166681,"OrderedDict([('reg_alpha', 0.7164626011535147), ('reg_lambda', 0.900485148166681)])",BO for 2 group,1
0.6492571910570555,0.6486604847253374,0.6873849042028879,0.6617675266617603,0.018115859325925455,185,0.5734632015228271,0.006463347046923172,0.01233235994974772,6.669368825714814e-05,0.22233707224900495,0.20617337822937426,"OrderedDict([('reg_alpha', 0.22233707224900495), ('reg_lambda', 0.20617337822937426)])",BO for 2 group,1
0.6554023070489534,0.6404274798266796,0.6898745745571471,0.6619014538109267,0.020703187770585912,183,0.5732793013254801,0.00647459657266076,0.012222846349080404,2.691796322687307e-05,0.6034542313938427,0.581884795551824,"OrderedDict([('reg_alpha', 0.6034542313938427), ('reg_lambda', 0.581884795551824)])",BO for 2 group,1
0.6516894679212394,0.6524529217044253,0.6939978052756444,0.6660467316337697,0.019766851101779663,59,0.5751274426778158,0.00849159236889119,0.012284676233927408,0.00026699824763816167,0.07704796371915158,0.3025378105676932,"OrderedDict([('reg_alpha', 0.07704796371915158), ('reg_lambda', 0.3025378105676932)])",BO for 2 group,1
0.6498942097953284,0.6403230358927143,0.6892612491075062,0.6598261649318496,0.021177346037523366,218,0.5763826370239258,0.008083105620568626,0.012242396672566732,0.00022349613582877033,0.2083505479146412,0.3859134163811304,"OrderedDict([('reg_alpha', 0.2083505479146412), ('reg_lambda', 0.3859134163811304)])",BO for 2 group,1
0.6543299677994686,0.657594871004749,0.6899937456506904,0.6673061948183027,0.016097797371360984,25,0.5785808563232422,0.010613737361918946,0.012296676635742188,0.00015995132703852644,0.784251047914016,0.03175474893443165,"OrderedDict([('reg_alpha', 0.784251047914016), ('reg_lambda', 0.03175474893443165)])",BO for 2 group,1
0.6656884207370463,0.6433534118931338,0.6992029997272781,0.6694149441191527,0.02295225984079402,11,0.5716258684794108,0.008408744109794903,0.011988957722981771,0.00018024658328565652,0.7290461797353217,0.8219797491460971,"OrderedDict([('reg_alpha', 0.7290461797353217), ('reg_lambda', 0.8219797491460971)])",BO for 2 group,1
0.6553725381994697,0.6566497727754697,0.6940935328746795,0.6687052812832063,0.01795977581884005,15,0.5747609933217367,0.008400100114632025,0.01210633913675944,0.00012936799985524008,0.3102340485964186,0.30352380322304257,"OrderedDict([('reg_alpha', 0.3102340485964186), ('reg_lambda', 0.30352380322304257)])",BO for 2 group,1
0.6554200657229964,0.6363122408141908,0.6898176155324791,0.6605166406898888,0.022138768231784067,205,0.5827194054921468,0.009531424267672567,0.01209696133931478,0.00019699246026743655,0.009001268099989137,0.04047494321437473,"OrderedDict([('reg_alpha', 0.009001268099989137), ('reg_lambda', 0.04047494321437473)])",BO for 2 group,1
0.6548103598684996,0.6490075324057709,0.6978632055113461,0.6672270325952055,0.02179219309525466,26,0.577919085820516,0.009920284242038753,0.012487411499023438,0.0004302167083219795,0.9942701252556695,0.9860663615569827,"OrderedDict([('reg_alpha', 0.9942701252556695), ('reg_lambda', 0.9860663615569827)])",BO for 2 group,1
0.6517623761555069,0.6363533919868427,0.6895752986692703,0.6592303556038733,0.022360245608507575,224,0.582049290339152,0.009943986939233488,0.011957406997680664,2.97600127934106e-05,0.995587146399732,0.0021693978040183697,"OrderedDict([('reg_alpha', 0.995587146399732), ('reg_lambda', 0.0021693978040183697)])",BO for 2 group,1
0.6563078842046922,0.6414193367890244,0.7025254202487561,0.6667508804141576,0.026016411311838072,43,0.5773138999938965,0.012698987277470859,0.012073675791422525,4.2808511591950505e-05,0.0071394735916582314,0.9949277409109542,"OrderedDict([('reg_alpha', 0.0071394735916582314), ('reg_lambda', 0.9949277409109542)])",BO for 2 group,1
0.6594004651421037,0.6431826393761386,0.6972760642944928,0.6666197229375784,0.02266587621936771,46,0.5783747037251791,0.010447531629893434,0.012135744094848633,0.00010186325091821264,0.9922509442740219,0.9982800252386496,"OrderedDict([('reg_alpha', 0.9922509442740219), ('reg_lambda', 0.9982800252386496)])",BO for 2 group,1
0.653779150138384,0.6403045168946808,0.6946504961167244,0.6629113877165964,0.02310728149003229,175,0.5769064426422119,0.009730312004324077,0.01197663942972819,0.00018415674252910395,0.0031482310798230948,0.9992729922309083,"OrderedDict([('reg_alpha', 0.0031482310798230948), ('reg_lambda', 0.9992729922309083)])",BO for 2 group,1
0.6522472395932893,0.6438188751213488,0.696175733143258,0.6640806159526321,0.022954037299612113,123,0.5794274012247721,0.008954672770835326,0.011984030405680338,0.000225727069932963,0.9984640317054639,0.007120941538958149,"OrderedDict([('reg_alpha', 0.9984640317054639), ('reg_lambda', 0.007120941538958149)])",BO for 2 group,1
0.6605859064190434,0.6431201538144042,0.6972438320479131,0.6669832974271203,0.022554202788893047,32,0.5782465140024821,0.007568206096612198,0.012537717819213867,0.0003790047097550066,0.9980031895830765,0.998686607026659,"OrderedDict([('reg_alpha', 0.9980031895830765), ('reg_lambda', 0.998686607026659)])",BO for 2 group,1
