split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,iter_num,experiment_name,run_number
0.924607100945719,0.924940748751697,0.9240769929933155,0.9245416142302437,0.00035565421874070297,289,2.9464964866638184,0.7954940828396251,0.4511454900105794,0.053359932530013976,0.7881043965666789,0.5122638618861528,"OrderedDict([('colsample_bytree', 0.7881043965666789), ('subsample', 0.5122638618861528)])",414,random search for 3 group,10
0.9255620239766217,0.9259416921696312,0.9258948191953242,0.9257995117805257,0.0001690159986164216,43,2.405438502629598,0.13901383146234914,0.5913737614949545,0.3195268282647777,0.5779250940439183,0.8476806155070158,"OrderedDict([('colsample_bytree', 0.5779250940439183), ('subsample', 0.8476806155070158)])",415,random search for 3 group,10
0.9243194735267724,0.9246186060424768,0.9246867701370273,0.9245416165687588,0.00015952478234581484,288,2.7044689655303955,0.225595365470805,0.5283881028493246,0.1626442285678148,0.7588171422172623,0.5792427842354826,"OrderedDict([('colsample_bytree', 0.7588171422172623), ('subsample', 0.5792427842354826)])",416,random search for 3 group,10
0.9247336570100555,0.9262293195885778,0.9255151466341452,0.9254927077442595,0.0006108078066694234,113,2.538938522338867,0.15345852753368788,0.5831246376037598,0.16054306455328807,0.6344657408745566,0.8922533605804942,"OrderedDict([('colsample_bytree', 0.6344657408745566), ('subsample', 0.8922533605804942)])",417,random search for 3 group,10
0.9236981983018477,0.9246991417197818,0.9249859060943199,0.9244610820386497,0.0005519976742305267,296,2.650315205256144,0.343289466973289,0.5224607785542806,0.17687058366397512,0.5243811962681457,0.6240885107764561,"OrderedDict([('colsample_bytree', 0.5243811962681457), ('subsample', 0.6240885107764561)])",418,random search for 3 group,10
0.9241238868818886,0.9248487079776341,0.9251469793020928,0.9247065247205386,0.00042960569830060793,269,3.059450705846151,0.6149783221117625,0.8315068880716959,0.4763654328618,0.5059285952814615,0.5430047763740812,"OrderedDict([('colsample_bytree', 0.5059285952814615), ('subsample', 0.5430047763740812)])",419,random search for 3 group,10
0.9245035550748982,0.9254814882993166,0.9245602126166342,0.9248484186636164,0.0004482450163271205,244,2.2848691940307617,0.0609241924773921,0.5490812460581461,0.2285001220527794,0.640813851857874,0.6302406387949233,"OrderedDict([('colsample_bytree', 0.640813851857874), ('subsample', 0.6302406387949233)])",420,random search for 3 group,10
0.9255850341701374,0.9261602890080306,0.9264010492768964,0.9260487908183549,0.0003423390603290463,11,3.001159906387329,0.8158821625527604,0.45523587862650555,0.06181778957007404,0.781808018284514,0.7333882124171044,"OrderedDict([('colsample_bytree', 0.781808018284514), ('subsample', 0.7333882124171044)])",421,random search for 3 group,10
0.9238822798499735,0.925366437331738,0.9256532093836649,0.9249673088551255,0.0007761123238970722,220,2.794186512629191,0.41248961248277694,0.6777489980061849,0.14721147205364085,0.5401158672043791,0.5558211180171713,"OrderedDict([('colsample_bytree', 0.5401158672043791), ('subsample', 0.5558211180171713)])",422,random search for 3 group,10
0.924940748751697,0.9265399572010401,0.925204505447726,0.9255617371334877,0.0007000370343044767,96,2.52760640780131,0.23957226331068918,0.38884886105855304,0.015733989463478405,0.732423520384282,0.8342094571317644,"OrderedDict([('colsample_bytree', 0.732423520384282), ('subsample', 0.8342094571317644)])",423,random search for 3 group,10
0.924768172300329,0.924434524494351,0.925169989760346,0.924790895518342,0.0003006820556101541,253,2.7749386628468833,0.2822195189161736,0.7117820580800375,0.276032971658078,0.7145730814664456,0.6546993585054057,"OrderedDict([('colsample_bytree', 0.7145730814664456), ('subsample', 0.6546993585054057)])",424,random search for 3 group,10
0.9261372788145148,0.9257691157182631,0.9257107355292981,0.9258723766873587,0.00018882428223930287,31,2.4043798446655273,0.07762947337538284,0.34171509742736816,0.013491308609999756,0.8823643870234239,0.89755074267934,"OrderedDict([('colsample_bytree', 0.8823643870234239), ('subsample', 0.89755074267934)])",425,random search for 3 group,10
0.9241238868818886,0.9247911824938447,0.925204505447726,0.9247065249411532,0.00044520354680297554,268,3.0102588335673013,0.5003939441351506,0.4716774622599284,0.07205543752567417,0.6303089594174895,0.6613560315778685,"OrderedDict([('colsample_bytree', 0.6303089594174895), ('subsample', 0.6613560315778685)])",426,random search for 3 group,10
0.9248602130743919,0.9248256977841184,0.9245947283040141,0.9247602130541749,0.00011786073198900264,261,2.8304531574249268,0.3426192449893865,0.6504387060801188,0.03875417645055915,0.8319438705081372,0.8186733303502647,"OrderedDict([('colsample_bytree', 0.8319438705081372), ('subsample', 0.8186733303502647)])",427,random search for 3 group,10
0.9247336570100555,0.9255850341701374,0.9258948191953242,0.9254045034585058,0.0004909296680830473,128,2.612922112147013,0.35583107661022356,0.6397820313771566,0.2594750843706351,0.5089722988026274,0.7723249231186036,"OrderedDict([('colsample_bytree', 0.5089722988026274), ('subsample', 0.7723249231186036)])",428,random search for 3 group,10
0.9253549322349801,0.9256770749442003,0.925745251216678,0.9255924194652861,0.00017021973926084987,90,2.5842037200927734,0.11590741758292936,0.464369535446167,0.06792758461831758,0.5182655266058187,0.6994603452127277,"OrderedDict([('colsample_bytree', 0.5182655266058187), ('subsample', 0.6994603452127277)])",429,random search for 3 group,10
0.9256195494604109,0.925792125911779,0.9268382479837086,0.9260833077852996,0.0005384525267048154,9,2.883610725402832,0.36790286979058695,0.45713082949320477,0.09277389537510401,0.7436896107574636,0.8837897317199688,"OrderedDict([('colsample_bytree', 0.7436896107574636), ('subsample', 0.8837897317199688)])",430,random search for 3 group,10
