split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,iter_num,experiment_name,run_number
0.9264709266204929,0.9259416921696312,0.9263435231312631,0.9262520473071291,0.0002255336572006944,132,2.639362653096517,0.1439662472228963,0.6984245777130127,0.30177149939260217,0.8339105493881661,0.5008253871637037,"OrderedDict([('reg_alpha', 0.8339105493881661), ('reg_lambda', 0.5008253871637037)])",213,random search for 2 group,2
0.9259186819761154,0.926712533652408,0.9258372930496911,0.9261561695594048,0.00039480948344197014,182,3.4243528842926025,0.8728974785239754,0.6230128606160482,0.17947356052860675,0.3526759921654136,0.0004417385786318341,"OrderedDict([('reg_alpha', 0.3526759921654136), ('reg_lambda', 0.0004417385786318341)])",214,random search for 2 group,2
0.925792125911779,0.9265974826848293,0.9260328819448439,0.9261408301804841,0.00033752975094342765,187,3.737035592397054,0.5076219616774887,0.7441589832305908,0.18189806737030215,0.4004800239119124,0.29330870047567753,"OrderedDict([('reg_alpha', 0.4004800239119124), ('reg_lambda', 0.29330870047567753)])",215,random search for 2 group,2
0.9262523297820935,0.9263098552658828,0.9266311538594291,0.9263977796358018,0.00016668321553478613,61,2.5152482986450195,0.05576095525977865,0.46636732419331867,0.04347826345325203,0.37834549194786005,0.3985524862079023,"OrderedDict([('reg_alpha', 0.37834549194786005), ('reg_lambda', 0.3985524862079023)])",216,random search for 2 group,2
0.9267470489426816,0.9255505188798637,0.9260789028613505,0.9261254902279653,0.0004895908733168854,196,3.344103733698527,0.6017955991489339,0.747424046198527,0.08225427152150583,0.38512531887719226,0.5354188458437417,"OrderedDict([('reg_alpha', 0.38512531887719226), ('reg_lambda', 0.5354188458437417)])",217,random search for 2 group,2
0.9258611564923261,0.9271497273292069,0.9259523453409575,0.9263210763874969,0.0005871261300756235,96,3.54599658648173,0.40809692731369807,0.6982599099477133,0.20901095659240262,0.9760468738428644,0.1784383383847741,"OrderedDict([('reg_alpha', 0.9760468738428644), ('reg_lambda', 0.1784383383847741)])",218,random search for 2 group,2
0.9261027635242413,0.9266665132653765,0.925584178008905,0.9261178182661743,0.00044198973275504143,198,2.735952854156494,0.17744771505260856,0.4815554618835449,0.1127594288372952,0.6133826606190184,0.004800957617755675,"OrderedDict([('reg_alpha', 0.6133826606190184), ('reg_lambda', 0.004800957617755675)])",219,random search for 2 group,2
0.9261487839112726,0.9266780183621344,0.9260789028613505,0.9263019017115859,0.00026748039354867873,106,3.3118695418039956,0.5356182602378665,0.8422885735829672,0.14014599780890083,0.8631589399408228,0.19550383091763296,"OrderedDict([('reg_alpha', 0.8631589399408228), ('reg_lambda', 0.19550383091763296)])",220,random search for 2 group,2
0.9261602890080306,0.9261948042983041,0.9266426590885557,0.9263325841316302,0.0002197084211706557,88,3.8735691706339517,1.451228724612697,0.8677525520324707,0.2765050963812677,0.062058521998198626,0.9276258262337518,"OrderedDict([('reg_alpha', 0.062058521998198626), ('reg_lambda', 0.9276258262337518)])",221,random search for 2 group,2
0.9259186819761154,0.9268390897167446,0.9260558924030972,0.9262712213653189,0.00040543188801670904,120,3.039146979649862,0.40807730970506595,0.5212868849436442,0.03844186296454543,0.3807650857194822,0.9076955053246754,"OrderedDict([('reg_alpha', 0.3807650857194822), ('reg_lambda', 0.9076955053246754)])",222,random search for 2 group,2
0.9258151361052946,0.9263098552658828,0.925745251216678,0.9259567475292853,0.00025130960937735794,236,2.9964887301127114,0.40475436872368414,0.5387556552886963,0.07985782630409093,0.6080810670372409,0.7275085276490706,"OrderedDict([('reg_alpha', 0.6080810670372409), ('reg_lambda', 0.7275085276490706)])",223,random search for 2 group,2
0.926551462297798,0.9264594215237351,0.926539112026416,0.9265166652826498,4.079026233312733e-05,30,3.8908819357554116,0.43976242233872914,0.8753657341003418,0.06801056544481347,0.8412743928823926,0.4694120251095847,"OrderedDict([('reg_alpha', 0.8412743928823926), ('reg_lambda', 0.4694120251095847)])",224,random search for 2 group,2
0.926206309395062,0.9266089877815873,0.9258948191953242,0.9262367054573245,0.0002923492578544164,141,3.327606439590454,0.7247725098277564,0.5302309195200602,0.03133215221302609,0.3162189608951565,0.8715400225857293,"OrderedDict([('reg_alpha', 0.3162189608951565), ('reg_lambda', 0.8715400225857293)])",225,random search for 2 group,2
0.9263443705561564,0.9254814882993166,0.9253080525098657,0.9257113037884462,0.00045321087258937587,258,3.1107802391052246,0.5122952744913526,0.7603546778361002,0.19363155654044886,0.06521667882914196,0.23846352920995945,"OrderedDict([('reg_alpha', 0.06521667882914196), ('reg_lambda', 0.23846352920995945)])",226,random search for 2 group,2
0.9265744724913136,0.9268160795232288,0.9265045963390361,0.9266317161178595,0.00013344928648187913,13,3.1141331990559897,0.43543585599691637,0.8038159211476644,0.17429128992571505,0.594615040587853,0.684005860233046,"OrderedDict([('reg_alpha', 0.594615040587853), ('reg_lambda', 0.684005860233046)])",227,random search for 2 group,2
0.9254814882993166,0.9263213603626407,0.9264930911099094,0.9260986465906221,0.0004419925563361162,202,4.038980881373088,1.2246626615122018,0.6134773095448812,0.22263842185474922,0.22926230434192446,0.031058316106283852,"OrderedDict([('reg_alpha', 0.22926230434192446), ('reg_lambda', 0.031058316106283852)])",228,random search for 2 group,2
