split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,experiment_name,run_number
0.8275033663209632,0.7033112516622324,0.3741802788898061,0.6349982989576672,0.19126848499764454,103,0.2610445022583008,0.0031329994704339193,0.0010805130004882812,3.900798035887891e-05,0.5422899401026853,0.6815707206296386,"OrderedDict([('colsample_bytree', 0.5422899401026853), ('subsample', 0.6815707206296386)])",BO for 3 group,8
0.835633974687978,0.695480283887312,0.37068006750496707,0.6339314420267523,0.19474210108409037,115,0.2608633836110433,0.0036085578453372126,0.0010415712992350261,1.3181957954797957e-05,0.5088394949598923,0.7016364312530733,"OrderedDict([('colsample_bytree', 0.5088394949598923), ('subsample', 0.7016364312530733)])",BO for 3 group,8
0.8210897173665147,0.7185095443839954,0.32885365502496255,0.6228176389251575,0.21204054776565176,185,0.2610440254211426,0.003808762717420015,0.0010306835174560547,5.771240057684967e-05,0.7350710027381752,0.7390715044518801,"OrderedDict([('colsample_bytree', 0.7350710027381752), ('subsample', 0.7390715044518801)])",BO for 3 group,8
0.8372931841359215,0.6762160423515218,0.3229349360753362,0.6121480541875931,0.21481718144741685,215,0.2584225336710612,0.004167822071452507,0.0011168320973714192,2.7256526205095262e-05,0.8113375943743719,0.6097698100319064,"OrderedDict([('colsample_bytree', 0.8113375943743719), ('subsample', 0.6097698100319064)])",BO for 3 group,8
0.8368350962408454,0.7116273870497773,0.38461665764584463,0.6443597136454892,0.19064641611325858,44,0.2597639560699463,0.004788034571870284,0.0011518796284993489,0.00013639061701669957,0.7312697740694634,0.5550809809944997,"OrderedDict([('colsample_bytree', 0.7312697740694634), ('subsample', 0.5550809809944997)])",BO for 3 group,8
0.8445682338230924,0.6965464782724536,0.33837181819645146,0.6264955100973325,0.21250734325354287,163,0.2598445415496826,0.003003163016636942,0.001054525375366211,4.553357947195796e-05,0.7698771906375077,0.7634890691823324,"OrderedDict([('colsample_bytree', 0.7698771906375077), ('subsample', 0.7634890691823324)])",BO for 3 group,8
0.8068248122977908,0.6565490864747641,0.3611737122989125,0.6081825370238224,0.18512287462096688,226,0.2596729596455892,0.0049120266796626524,0.0010720888773600261,2.6535843855170195e-05,0.6854566263214792,0.597290710870206,"OrderedDict([('colsample_bytree', 0.6854566263214792), ('subsample', 0.597290710870206)])",BO for 3 group,8
0.8263943571031019,0.6594682495084843,0.3707265543638991,0.6188630536584951,0.18822835964293522,196,0.26091543833414715,0.00386732922764283,0.001049359639485677,3.478642454434976e-05,0.5043025515823127,0.8245975831592417,"OrderedDict([('colsample_bytree', 0.5043025515823127), ('subsample', 0.8245975831592417)])",BO for 3 group,8
0.8519000407885928,0.6918980031187624,0.2912473254520598,0.6116817897864717,0.23580902932187248,217,0.26170802116394043,0.0033536483347033816,0.001088539759318034,6.829109816723546e-05,0.8351710612144024,0.8142036859708134,"OrderedDict([('colsample_bytree', 0.8351710612144024), ('subsample', 0.8142036859708134)])",BO for 3 group,8
0.837045498110346,0.6523198178336864,0.3311839144691503,0.606849743471061,0.20900499387638508,228,0.26003774007161456,0.0012138187211693267,0.0010000864664713542,2.9452388760282045e-05,0.7863642405296036,0.6158268475674429,"OrderedDict([('colsample_bytree', 0.7863642405296036), ('subsample', 0.6158268475674429)])",BO for 3 group,8
0.8596549105200478,0.6819982199690384,0.39226305116787585,0.6446387272189874,0.19263192245156038,40,0.2611379623413086,0.003671833695124369,0.0011428197224934895,8.97377746516551e-05,0.5000325670460926,0.5078873215426399,"OrderedDict([('colsample_bytree', 0.5000325670460926), ('subsample', 0.5078873215426399)])",BO for 3 group,8
0.8571779220649971,0.6794643741146483,0.3897663661954014,0.6421362207916822,0.1926368499067372,59,0.2574493885040283,0.004824201961002394,0.001054684321085612,8.505593715842808e-05,0.5008395233701206,0.5054603604110911,"OrderedDict([('colsample_bytree', 0.5008395233701206), ('subsample', 0.5054603604110911)])",BO for 3 group,8
0.861294025230093,0.6631771228026081,0.40996109780319656,0.6448107486119659,0.1847130127533269,37,0.26104044914245605,0.0036595148052999335,0.0010533332824707031,4.694404709873637e-05,0.500230405646437,0.5011398812364377,"OrderedDict([('colsample_bytree', 0.500230405646437), ('subsample', 0.5011398812364377)])",BO for 3 group,8
0.8636896889820236,0.669235976837661,0.4115583322045897,0.6481613326747581,0.18518242611957098,20,0.2604922453562419,0.002239812013705612,0.001047372817993164,7.747760139897884e-05,0.5,0.5,"OrderedDict([('colsample_bytree', 0.5), ('subsample', 0.5)])",BO for 3 group,8
0.8554663934439948,0.6724138535900033,0.40210478482310363,0.6433283439523673,0.18622327494344218,49,0.26219725608825684,0.002774452006146626,0.0011046727498372395,9.930972558337978e-05,0.5010483856967548,0.5002855463066841,"OrderedDict([('colsample_bytree', 0.5010483856967548), ('subsample', 0.5002855463066841)])",BO for 3 group,8
0.8327743094727874,0.717795945287965,0.37238390754511064,0.6409847207686211,0.19564390050276334,66,0.26375293731689453,0.003964256633589077,0.0011360645294189453,1.5873497661311922e-05,0.5000254401305823,0.8999264855840468,"OrderedDict([('colsample_bytree', 0.5000254401305823), ('subsample', 0.8999264855840468)])",BO for 3 group,8
0.8315237211159544,0.6965387297753711,0.381921103766908,0.6366611848860778,0.18836952808819735,91,0.26432641347249347,0.00101154448840094,0.001150687535603841,3.6365064667187046e-05,0.5011024894512152,0.8932096892266395,"OrderedDict([('colsample_bytree', 0.5011024894512152), ('subsample', 0.8932096892266395)])",BO for 3 group,8
