mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number,param_colsample_bytree,param_subsample,iter_num
5.768802245457968,0.4928206991732846,0.19577288627624512,0.008118819469841623,17.0,5.0,"{'max_depth': 17, 'min_child_weight': 5}",0.5859249521972798,0.6271166377420915,0.6431795948873001,0.6187403949422238,0.024112854247921048,192,random search for 1 group,2.0,,,
0.1424077351888021,0.005009398856819084,0.04260587692260742,0.0008564852881882051,2.0,6.0,"{'max_depth': 2, 'min_child_weight': 6}",0.606879467386653,0.5751568083830871,0.6320621187806912,0.6046994648501437,0.02328258141696356,201,random search for 1 group,2.0,,,
0.2406558990478516,0.009772655941232148,0.0629116694132487,0.0011813230766178945,5.0,18.0,"{'max_depth': 5, 'min_child_weight': 18}",0.6353247326436208,0.6125106236242679,0.6956668130623154,0.6478340564434014,0.035081812447572004,90,random search for 1 group,2.0,,,
0.5309926668802897,0.029799217784874186,0.08434351285298665,0.0013099403293535376,7.0,4.0,"{'max_depth': 7, 'min_child_weight': 4}",0.6367427935552779,0.6313893503011668,0.6606203941751821,0.6429175126772089,0.012707185596273424,132,random search for 1 group,2.0,,,
0.7211306889851888,0.04589464210216922,0.09690054257710774,0.0022500035247822667,9.0,10.0,"{'max_depth': 9, 'min_child_weight': 10}",0.6248965205907587,0.6273326829686583,0.6886971445944601,0.6469754493846257,0.029518453100499813,97,random search for 1 group,2.0,,,
1.4439674218495686,0.05599122731340006,0.14702749252319336,0.01693565474901674,13.0,15.0,"{'max_depth': 13, 'min_child_weight': 15}",0.6334591052449037,0.6264108552318799,0.6802572488061395,0.6467090697609743,0.023896020519413752,101,random search for 1 group,2.0,,,
17.71237587928772,0.7033047058742605,0.2921762466430664,0.05233756116574484,16.0,1.0,"{'max_depth': 16, 'min_child_weight': 1}",0.4927944174451452,0.5214286537796258,0.6419537000322961,0.5520589237523557,0.06463117397680539,230,random search for 1 group,2.0,,,
22.952732006708786,0.7948571339262178,0.36206920941670734,0.07216788981577224,17.0,1.0,"{'max_depth': 17, 'min_child_weight': 1}",0.4909868979336535,0.5200934245860298,0.6488841357142218,0.5533214860779684,0.06860982668960945,229,random search for 1 group,2.0,,,
1.1937208970387776,0.05930551356788085,0.1273658275604248,0.002805756321460844,12.0,15.0,"{'max_depth': 12, 'min_child_weight': 15}",0.6313294543237233,0.6181545636155528,0.6817777610112248,0.6437539263168336,0.027419621197758464,127,random search for 1 group,2.0,,,
0.4645816485087077,0.036387913657356025,0.08225321769714355,0.002255048854051207,7.0,8.0,"{'max_depth': 7, 'min_child_weight': 8}",0.6412357846146872,0.6254252873621354,0.6899098351958362,0.6521903023908863,0.027441638946571745,52,random search for 1 group,2.0,,,
1.2549431324005127,0.09099705957887866,0.11676343282063803,0.001754655073936085,11.0,9.0,"{'max_depth': 11, 'min_child_weight': 9}",0.6172979443993956,0.6329213914589278,0.6746331493689108,0.6416174950757447,0.02420121341048688,140,random search for 1 group,2.0,,,
0.15143505732218426,0.0033044456822042306,0.04836551348368327,0.003149386002933371,2.0,9.0,"{'max_depth': 2, 'min_child_weight': 9}",0.6082623913599657,0.5711713452275655,0.6266750430444711,0.6020362598773342,0.023083019051052145,206,random search for 1 group,2.0,,,
0.618084192276001,0.02393822239592016,0.10230954488118488,0.008025593949290828,9.0,18.0,"{'max_depth': 9, 'min_child_weight': 18}",0.6442805062458432,0.6259967851131738,0.6961372665371502,0.6554715192987225,0.02970803329582848,28,random search for 1 group,2.0,,,
0.9471215407053628,0.2210353380419912,0.13063367207845053,0.022390959864000897,9.0,8.0,"{'max_depth': 9, 'min_child_weight': 8}",0.631032298003432,0.6364888390080936,0.6804783393385341,0.6493331587833532,0.022135343740949682,75,random search for 1 group,2.0,,,
0.23416566848754886,0.035941600594486305,0.06312123934427898,0.0072525382452094675,4.0,19.0,"{'max_depth': 4, 'min_child_weight': 19}",0.6407215194528859,0.5955011738748737,0.6858321762642912,0.6406849565306836,0.03687748636412825,147,random search for 1 group,2.0,,,
2.0546948909759517,0.16954060156034828,0.15336410204569498,0.003627179292510122,15.0,15.0,"{'max_depth': 15, 'min_child_weight': 15}",0.6320132220871766,0.6271072510266438,0.6816684330428906,0.6469296353855704,0.02464555653011819,99,random search for 1 group,2.0,,,
2.3826345602671304,0.0988319448468291,0.1915579636891683,0.014139236365452272,16.0,14.0,"{'max_depth': 16, 'min_child_weight': 14}",0.6408169886583082,0.6353691163623294,0.6827004271806539,0.6529621774004305,0.02114540853442414,47,random search for 1 group,2.0,,,
1.8237677415211997,0.1274546547331356,0.1430966854095459,0.0023884041264662864,14.0,13.0,"{'max_depth': 14, 'min_child_weight': 13}",0.6323436786179166,0.6388611282098131,0.6799519635614597,0.6503855901297299,0.021075216340907872,68,random search for 1 group,2.0,,,
0.31299297014872235,0.023430135839407118,0.07097617785135905,0.0006353222549293371,6.0,13.0,"{'max_depth': 6, 'min_child_weight': 13}",0.6466668401890594,0.6243104049164452,0.6959095051964723,0.6556289167673256,0.029909272839409713,24,random search for 1 group,2.0,,,
3.8603922526041674,0.20943631511470245,0.2096379597981771,0.018263118866330242,18.0,10.0,"{'max_depth': 18, 'min_child_weight': 10}",0.6089303241315812,0.629349265078506,0.6702542288638287,0.6361779393579721,0.025496776491859004,174,random search for 1 group,2.0,,,
