mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number,param_colsample_bytree,param_subsample
0.34424368540445965,0.016451142811588333,0.07642356554667155,0.0011663886772303683,0.8918462904053611,0.8344753292285857,"{'alpha': 0.8918462904053611, 'lambda': 0.8344753292285857}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,109,random search for 2 group,9,,
0.34441685676574707,0.015642088800217096,0.07640369733174641,0.0008286755390744464,0.842247360848427,0.5294302992406313,"{'alpha': 0.842247360848427, 'lambda': 0.5294302992406313}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,110,random search for 2 group,9,,
0.3443455696105957,0.016580891009094104,0.0772689978281657,0.0024470624057337928,0.2215530896196769,0.016056079306745352,"{'alpha': 0.2215530896196769, 'lambda': 0.016056079306745352}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,111,random search for 2 group,9,,
0.34247883160909015,0.016252459117107848,0.07871778806050618,0.0025346999841965767,0.45727926014333575,0.9181775902173529,"{'alpha': 0.45727926014333575, 'lambda': 0.9181775902173529}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,112,random search for 2 group,9,,
0.34503595034281415,0.01458750078217903,0.07668574651082356,0.00043385047174742774,0.7634650893556435,0.9864160357427436,"{'alpha': 0.7634650893556435, 'lambda': 0.9864160357427436}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,113,random search for 2 group,9,,
0.3709559440612793,0.017115321506993544,0.0887003739674886,0.009475373862244247,0.96980212225898,0.864624636756254,"{'alpha': 0.96980212225898, 'lambda': 0.864624636756254}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,114,random search for 2 group,9,,
0.34586723645528156,0.017373410870220367,0.07678437232971191,0.0015197919094797837,0.6363644453952269,0.30166886231747236,"{'alpha': 0.6363644453952269, 'lambda': 0.30166886231747236}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,115,random search for 2 group,9,,
0.34375882148742676,0.01718134938001069,0.07715702056884766,0.0015448061457828753,0.11394274716730568,0.11990035621290818,"{'alpha': 0.11394274716730568, 'lambda': 0.11990035621290818}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,116,random search for 2 group,9,,
0.34504278500874835,0.01630857486674226,0.07697351773579915,9.406921453906008e-05,0.8389108483958989,0.226989940016449,"{'alpha': 0.8389108483958989, 'lambda': 0.226989940016449}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,117,random search for 2 group,9,,
0.34426387151082355,0.01845501875802309,0.07764220237731934,0.0020516907246809998,0.3048236805059843,0.44014178351509303,"{'alpha': 0.3048236805059843, 'lambda': 0.44014178351509303}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,118,random search for 2 group,9,,
0.3452407519022624,0.020216043911887003,0.07682561874389648,0.0009955547022189567,0.7886487753957154,0.736382643005362,"{'alpha': 0.7886487753957154, 'lambda': 0.736382643005362}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,119,random search for 2 group,9,,
0.34537498156229657,0.015915147486257872,0.0776372750600179,0.0019450691939884377,0.45640548209545473,0.25230472111103674,"{'alpha': 0.45640548209545473, 'lambda': 0.25230472111103674}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,120,random search for 2 group,9,,
0.3444820245107015,0.016095876762983238,0.07686456044514973,0.000600659932417833,0.832072540947649,0.39684885915811796,"{'alpha': 0.832072540947649, 'lambda': 0.39684885915811796}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,121,random search for 2 group,9,,
0.34433778127034503,0.018044975853888763,0.07769465446472168,0.002211214633939207,0.7508341235287763,0.34252448845568517,"{'alpha': 0.7508341235287763, 'lambda': 0.34252448845568517}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,122,random search for 2 group,9,,
0.37377603848775226,0.03398477483709522,0.08591969807942708,0.012214505387178491,0.7658764891450814,0.5415621283402545,"{'alpha': 0.7658764891450814, 'lambda': 0.5415621283402545}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,123,random search for 2 group,9,,
0.34182532628377277,0.017208097566406944,0.07553791999816895,0.0007255688334544496,0.8432531690457794,0.3350357648436302,"{'alpha': 0.8432531690457794, 'lambda': 0.3350357648436302}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,124,random search for 2 group,9,,
0.34200461705525714,0.017336602370275168,0.07570918401082356,0.001006341114556715,0.3390365866366509,0.8068425072692119,"{'alpha': 0.3390365866366509, 'lambda': 0.8068425072692119}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,125,random search for 2 group,9,,
0.3417513370513916,0.016637007862753052,0.07709868748982747,0.002364102858722965,0.23020909635397113,0.8370694611709437,"{'alpha': 0.23020909635397113, 'lambda': 0.8370694611709437}",0.6546544776798779,0.6385771774341453,0.7010496569903296,0.6647604373681176,0.02648648071991584,1,126,random search for 2 group,9,,
