mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number
0.42371201515197754,0.05768823200381348,0.076842466990153,0.02448226170379979,0.6594551189424034,0.789681001553995,"{'colsample_bytree': 0.6594551189424034, 'subsample': 0.789681001553995}",0.6068285438034293,0.6029444676503577,0.673933922409757,0.627902311287848,0.03258786511110854,57,294,random search for 3 group,2
0.341079314549764,0.016845588518318685,0.06033984820048014,0.001821657841709907,0.8491389652649405,0.6366774162566976,"{'colsample_bytree': 0.8491389652649405, 'subsample': 0.6366774162566976}",0.5724786597234972,0.5808346806398768,0.6388493730133821,0.5973875711255854,0.029515719351174228,392,295,random search for 3 group,2
0.3567398389180501,0.015296220967498641,0.061072190602620445,0.0010452283620342715,0.8064565780333908,0.7769765837975353,"{'colsample_bytree': 0.8064565780333908, 'subsample': 0.7769765837975353}",0.5943257983073785,0.6035454500190127,0.6566616016915832,0.6181776166726581,0.027471358680434117,166,296,random search for 3 group,2
0.3694038391113281,0.00689451510099275,0.0605774720509847,0.0008686768269374424,0.736046545639947,0.8999431758599026,"{'colsample_bytree': 0.736046545639947, 'subsample': 0.8999431758599026}",0.5985186564040088,0.6320520515730257,0.6717938212070245,0.6341215097280196,0.02995023023861118,17,297,random search for 3 group,2
0.3758610089619954,0.018756080343340607,0.061503330866495766,0.0007517611735574928,0.7239228525206829,0.8537376946589506,"{'colsample_bytree': 0.7239228525206829, 'subsample': 0.8537376946589506}",0.5738929235561664,0.6205107836089891,0.6642906010983496,0.6195647694211684,0.036910759347267126,153,298,random search for 3 group,2
0.40258248647054035,0.03852592528807811,0.08020130793253581,0.029804525676874718,0.6300520185274183,0.7472144596361857,"{'colsample_bytree': 0.6300520185274183, 'subsample': 0.7472144596361857}",0.6235834151755395,0.6179756924312261,0.6596376307798485,0.6337322461288714,0.01846037836431644,18,299,random search for 3 group,2
0.34686509768168133,0.008852721861235457,0.05996473630269369,0.00026307790202739507,0.8423820226111013,0.5744511196218579,"{'colsample_bytree': 0.8423820226111013, 'subsample': 0.5744511196218579}",0.609470731225658,0.5530239509292698,0.6344684151082066,0.5989876990877114,0.03406582508861772,381,300,random search for 3 group,2
0.3434966405232747,0.0030405983833315937,0.059247493743896484,0.0008503163332642859,0.7763326482954424,0.5155729775172151,"{'colsample_bytree': 0.7763326482954424, 'subsample': 0.5155729775172151}",0.608391211522669,0.5621859705883976,0.6464641662669497,0.6056804494593387,0.03445978080730319,317,301,random search for 3 group,2
0.3347303867340088,0.007512231580792241,0.05985140800476074,0.0014078291192886794,0.5329405948543082,0.6008492935861907,"{'colsample_bytree': 0.5329405948543082, 'subsample': 0.6008492935861907}",0.6004880856539425,0.5840687046813491,0.6514884091438067,0.6120150664930327,0.028705488475201005,238,302,random search for 3 group,2
0.34682321548461914,0.007173920369096665,0.05883948008219401,0.000280914514855699,0.7269661675400823,0.5677543354724581,"{'colsample_bytree': 0.7269661675400823, 'subsample': 0.5677543354724581}",0.5856191140493323,0.5957140201815765,0.6399173775039835,0.6070835039116308,0.02357999468141943,296,303,random search for 3 group,2
0.3616020679473877,0.010970776046146765,0.06016731262207031,0.001122841252545298,0.7899546778869861,0.8171121655323603,"{'colsample_bytree': 0.7899546778869861, 'subsample': 0.8171121655323603}",0.6033367996016475,0.6063241590441103,0.6663155467291983,0.625325501791652,0.029009985833573077,84,304,random search for 3 group,2
0.3412543137868245,0.008512683386745545,0.059219757715861,0.002060289754919085,0.7044118156643241,0.5253508979299504,"{'colsample_bytree': 0.7044118156643241, 'subsample': 0.5253508979299504}",0.5862089886592108,0.5661774392066812,0.6470154010890714,0.5998006096516545,0.0343728879712521,373,305,random search for 3 group,2
0.34946195284525555,0.008737176568616303,0.05901209513346354,0.0010279081917181005,0.7847247628204308,0.6658180378888434,"{'colsample_bytree': 0.7847247628204308, 'subsample': 0.6658180378888434}",0.6077448677744737,0.5547252435331553,0.6437681238495846,0.6020794117190712,0.03657168009993761,352,306,random search for 3 group,2
0.37270045280456543,0.009219933953285736,0.07390117645263672,0.01896570304046617,0.5918253077008153,0.8561257237729181,"{'colsample_bytree': 0.5918253077008153, 'subsample': 0.8561257237729181}",0.6277921648908842,0.6177897217917373,0.67865178611398,0.6414112242655339,0.02664778667580577,3,307,random search for 3 group,2
0.41637452443440753,0.04580146915997094,0.0721137523651123,0.016984370670959585,0.5726316237718552,0.8888232891081937,"{'colsample_bytree': 0.5726316237718552, 'subsample': 0.8888232891081937}",0.5957136211568799,0.6466450481990144,0.6829655659904238,0.6417747451154393,0.03578654643301361,2,308,random search for 3 group,2
0.3583676815032959,0.011080847011169999,0.05992706616719564,0.0020236950112149364,0.8294702737714839,0.7846605976835579,"{'colsample_bytree': 0.8294702737714839, 'subsample': 0.7846605976835579}",0.5907573408669957,0.598259241010098,0.6569325594776638,0.6153163804515859,0.029586025913001555,195,309,random search for 3 group,2
0.3652208646138509,0.012408983233739188,0.0612176259358724,0.0025398365371409187,0.66080766359902,0.8421881051066806,"{'colsample_bytree': 0.66080766359902, 'subsample': 0.8421881051066806}",0.6054701509700056,0.6118923270255074,0.6544773897393886,0.6239466225783006,0.02174713611651576,98,310,random search for 3 group,2
