mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
3.2066208521525064,0.14739298006534607,0.27213621139526367,0.07098710328055975,18,15,"{'max_depth': 18, 'min_child_weight': 15}",0.6285469899414345,0.6265735938738235,0.6829961773513116,0.6460389203888566,0.026145142374210603,106,random search for 1 group,7.0
0.5031119187672933,0.02544576124251332,0.09610931078592937,0.00499864738200353,8,18,"{'max_depth': 8, 'min_child_weight': 18}",0.6423027763261487,0.6258674667970476,0.6963723903601868,0.654847544494461,0.030119367721988588,21,random search for 1 group,7.0
2.967447201410929,0.18736652608838986,0.21012290318806967,0.004085484024858935,19,19,"{'max_depth': 19, 'min_child_weight': 19}",0.6395892982030851,0.631307701783089,0.6892916989472627,0.6533962329778124,0.02560611343265385,29,random search for 1 group,7.0
1.6877024968465169,0.08041513436721484,0.16606513659159342,0.023446528146040802,14,16,"{'max_depth': 14, 'min_child_weight': 16}",0.6358465185419848,0.6254936921585371,0.6891245814031285,0.6501549307012168,0.02787795437740733,60,random search for 1 group,7.0
0.17105436325073242,0.002165465861573708,0.05280200640360514,0.0014764087446027918,3,19,"{'max_depth': 3, 'min_child_weight': 19}",0.6219594527694532,0.5925213058108179,0.6858642398504908,0.6334483328102539,0.038963415380992274,180,random search for 1 group,7.0
6.000027418136597,0.35540706231150127,0.2029606501261393,0.027228535036170044,15,3,"{'max_depth': 15, 'min_child_weight': 3}",0.5573122827007955,0.5796556256141112,0.6283104917469342,0.588426133353947,0.02964093764205954,228,random search for 1 group,7.0
0.5087312062581381,0.02728628195058446,0.0921493371327718,0.0030087731102843656,8,15,"{'max_depth': 8, 'min_child_weight': 15}",0.6380079252684766,0.6098907744882418,0.6963204245076225,0.648073041421447,0.035995379546063494,82,random search for 1 group,7.0
2.2204418182373047,0.09785337642212541,0.16897082328796387,0.001939955363776424,16,16,"{'max_depth': 16, 'min_child_weight': 16}",0.6319792760114773,0.6179226677418264,0.6838754100969111,0.6445924512834049,0.028363829065311597,120,random search for 1 group,7.0
0.1681059201558431,0.0030459544783503784,0.05207149187723795,0.0014501908323053835,3,14,"{'max_depth': 3, 'min_child_weight': 14}",0.6199986567414157,0.6006243133059359,0.6902075222814507,0.6369434974429341,0.03848491957799888,168,random search for 1 group,7.0
0.6716878414154053,0.05706569159428342,0.0985417366027832,0.0008448226577163349,9,14,"{'max_depth': 9, 'min_child_weight': 14}",0.6351311654955285,0.6216175624828104,0.6948055084132448,0.6505180787971946,0.03179818320904293,51,random search for 1 group,7.0
