mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,run_number,experiment_name
4.463824987411499,0.07685787560930787,0.22813773155212402,0.00500333178757489,0.43521946969168435,0.8225599905003788,0.34817920494284205,19,7,0.6075950366687335,"{'alpha': 0.43521946969168435, 'colsample_bytree': 0.8225599905003788, 'lambda': 0.34817920494284205, 'max_depth': 19, 'min_child_weight': 7, 'subsample': 0.6075950366687335}",0.622731408428425,0.6248986507515086,0.6881371270968348,0.6452557287589228,0.030334633423231533,480,4,random_search
0.2595399220784505,0.001455427152931564,0.06886895497639973,0.0007181982689596779,0.19600212235673942,0.876619264184104,0.126766261202778,5,12,0.5393878646273782,"{'alpha': 0.19600212235673942, 'colsample_bytree': 0.876619264184104, 'lambda': 0.126766261202778, 'max_depth': 5, 'min_child_weight': 12, 'subsample': 0.5393878646273782}",0.6438824451948086,0.6323115823876968,0.6912345342622959,0.6558095206149338,0.02549078147699797,134,4,random_search
2.9701664447784424,0.09502644904249748,0.2152407169342041,0.0024970644272123365,0.1513836226249422,0.5843478447968549,0.6081765720519522,19,15,0.734553007183023,"{'alpha': 0.1513836226249422, 'colsample_bytree': 0.5843478447968549, 'lambda': 0.6081765720519522, 'max_depth': 19, 'min_child_weight': 15, 'subsample': 0.734553007183023}",0.6342374760330507,0.6310919063835793,0.6847348824447101,0.6500214216204466,0.02457969248388018,359,4,random_search
2.6642982165018716,0.16271757757390737,0.15608016649881998,0.016243387177545577,0.799176774401781,0.6821362612560651,0.6841000630001006,11,2,0.8590809943104432,"{'alpha': 0.799176774401781, 'colsample_bytree': 0.6821362612560651, 'lambda': 0.6841000630001006, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8590809943104432}",0.6210016991590362,0.6377696564995841,0.6710210121652115,0.643264122607944,0.020786610863155305,515,4,random_search
0.3421633243560791,0.014457494573335275,0.08732390403747559,0.0024442622806965936,0.3907871435547887,0.5299733979959752,0.7392185161347499,6,9,0.8688300795686272,"{'alpha': 0.3907871435547887, 'colsample_bytree': 0.5299733979959752, 'lambda': 0.7392185161347499, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.8688300795686272}",0.6493102329683618,0.6431004937330944,0.6872352661106982,0.6598819976040514,0.01950711304182893,37,4,random_search
24.43752384185791,0.787383088235,0.36292274792989093,0.00975012363134423,0.07981124271013251,0.6224568415866597,0.6804902415267671,18,1,0.8773942230539189,"{'alpha': 0.07981124271013251, 'colsample_bytree': 0.6224568415866597, 'lambda': 0.6804902415267671, 'max_depth': 18, 'min_child_weight': 1, 'subsample': 0.8773942230539189}",0.5819552264091626,0.621041928192338,0.647311180182317,0.6167694449279393,0.026851949132643358,662,4,random_search
0.27397751808166504,0.005323468766463091,0.07205136617024739,0.0015910853034439623,0.6454069743986733,0.5366474067872059,0.3407942239684484,5,3,0.7021958542123212,"{'alpha': 0.6454069743986733, 'colsample_bytree': 0.5366474067872059, 'lambda': 0.3407942239684484, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.7021958542123212}",0.6355231226341632,0.6293403939775823,0.6727923084948284,0.6458852750355246,0.019192843641928886,468,4,random_search
0.1688659985860189,0.001380579923756243,0.05273874600728353,0.0004872334874278356,0.2192840997944191,0.6289082396059148,0.5454120204672792,3,12,0.7193813995546019,"{'alpha': 0.2192840997944191, 'colsample_bytree': 0.6289082396059148, 'lambda': 0.5454120204672792, 'max_depth': 3, 'min_child_weight': 12, 'subsample': 0.7193813995546019}",0.6246790769895548,0.5968519712094051,0.6724044092705748,0.6313118191565116,0.031198693089473185,633,4,random_search
0.30691957473754883,0.005884805971660511,0.07744391759236653,0.0007342369811566893,0.3067089309119536,0.8583963855545421,0.7159254235943577,6,18,0.6456736739711977,"{'alpha': 0.3067089309119536, 'colsample_bytree': 0.8583963855545421, 'lambda': 0.7159254235943577, 'max_depth': 6, 'min_child_weight': 18, 'subsample': 0.6456736739711977}",0.638134635758709,0.6174695066768298,0.6831264773392358,0.6462435399249249,0.02741076667082562,458,4,random_search
0.6043409506479899,0.02566902222178879,0.10457992553710938,0.00045450815420128136,0.49700216017692356,0.5670890239864443,0.49728989511795263,9,16,0.8366352836332818,"{'alpha': 0.49700216017692356, 'colsample_bytree': 0.5670890239864443, 'lambda': 0.49728989511795263, 'max_depth': 9, 'min_child_weight': 16, 'subsample': 0.8366352836332818}",0.6351054328905099,0.6345414550622209,0.6864024806842866,0.6520164562123391,0.024315681181584933,293,4,random_search
0.2614162762959798,0.0021503998262918963,0.07251612345377605,0.0013354585245048504,0.8404010998679353,0.5168500644098901,0.6718899008802258,5,8,0.7830496445086734,"{'alpha': 0.8404010998679353, 'colsample_bytree': 0.5168500644098901, 'lambda': 0.6718899008802258, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.7830496445086734}",0.6436443934637759,0.6333866297671428,0.6840968042401392,0.6537092758236859,0.021891502787756957,227,4,random_search
0.2247312863667806,0.03144724293347507,0.07435123125712077,0.009861632902011959,0.3962799842311676,0.6993803469383679,0.4486136553446327,4,16,0.5252829019034939,"{'alpha': 0.3962799842311676, 'colsample_bytree': 0.6993803469383679, 'lambda': 0.4486136553446327, 'max_depth': 4, 'min_child_weight': 16, 'subsample': 0.5252829019034939}",0.617342699614178,0.5973933289160434,0.6845309971884812,0.6330890085729008,0.03727557728018908,624,4,random_search
