split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,experiment_name,run_number
0.7212131892921331,0.6720114215658106,0.6066058922755623,0.6666101677111688,0.04694385504524053,178,0.5180140336354574,0.16217851026966654,0.18518813451131186,0.03715938718741917,0.3455294728579104,0.7140673719287707,"OrderedDict([('reg_alpha', 0.3455294728579104), ('reg_lambda', 0.7140673719287707)])",BO for 2 group,2
0.7199462041374376,0.66763334349652,0.5664025985025118,0.6513273820454898,0.06373551072976123,239,0.35775160789489746,0.029096096185711188,0.13090181350708008,0.050465004122673324,0.9787396651289217,0.38124333015976586,"OrderedDict([('reg_alpha', 0.9787396651289217), ('reg_lambda', 0.38124333015976586)])",BO for 2 group,2
0.7206236886344541,0.6783624590823072,0.5663758047235475,0.6551206508134363,0.06508066103666202,218,0.33191776275634766,0.07776709766540466,0.12917423248291016,0.04881842879348297,0.5941793045836152,0.30761985113627005,"OrderedDict([('reg_alpha', 0.5941793045836152), ('reg_lambda', 0.30761985113627005)])",BO for 2 group,2
0.7198303396040915,0.6676308279780013,0.5663983465965179,0.6512865047262035,0.06369561364536007,243,0.3703904151916504,0.03799176614389982,0.13763745625813803,0.1187080639154944,0.39469040025632984,0.3698583080311825,"OrderedDict([('reg_alpha', 0.39469040025632984), ('reg_lambda', 0.3698583080311825)])",BO for 2 group,2
0.719842871367383,0.6720245770373462,0.5664102751890698,0.652759241197933,0.06410280943535608,234,0.3546458085378011,0.09874744112743149,0.08426372210184734,0.03846926801028002,0.4738288454217984,0.40243255816452717,"OrderedDict([('reg_alpha', 0.4738288454217984), ('reg_lambda', 0.40243255816452717)])",BO for 2 group,2
0.7219314514223591,0.678407113348211,0.6194407280581842,0.6732597642762514,0.04199967060013219,27,0.3769721984863281,0.023123173895452678,0.16936564445495605,0.08554136674882845,0.5959470028288762,0.12282926158642529,"OrderedDict([('reg_alpha', 0.5959470028288762), ('reg_lambda', 0.12282926158642529)])",BO for 2 group,2
0.7176824618186661,0.6720514551595258,0.5802978930369945,0.6566772700050622,0.05713086796530845,203,0.4876655737559001,0.09886323720343201,0.17258524894714355,0.029318020982003975,0.13709205487308043,0.5343064799429219,"OrderedDict([('reg_alpha', 0.13709205487308043), ('reg_lambda', 0.5343064799429219)])",BO for 2 group,2
0.7213689547119198,0.6784262780420698,0.5663455435059561,0.6553802587533152,0.06535239735095956,213,0.5590022404988607,0.13966618980393097,0.20593476295471191,0.043146990645556396,0.1622129276652903,0.22513182827814465,"OrderedDict([('reg_alpha', 0.1622129276652903), ('reg_lambda', 0.22513182827814465)])",BO for 2 group,2
0.7198040703386013,0.6720257438872308,0.5664124835920739,0.6527474326059687,0.06408840085146605,237,0.5122446219126383,0.08209799363378854,0.1539012591044108,0.011952855148696453,0.0662163040858932,0.40829369980542396,"OrderedDict([('reg_alpha', 0.0662163040858932), ('reg_lambda', 0.40829369980542396)])",BO for 2 group,2
0.7076849401534009,0.68002091532859,0.6114602873751576,0.6663887142857162,0.0404489277116083,185,0.4784945646921794,0.037518063785717516,0.23038840293884277,0.053414447055117845,0.34781708448119447,0.8195306726315562,"OrderedDict([('reg_alpha', 0.34781708448119447), ('reg_lambda', 0.8195306726315562)])",BO for 2 group,2
0.7176967119408475,0.6807466297957077,0.6194214443312578,0.6726215953559377,0.040529982271726564,70,0.5571004549662272,0.11250150579135158,0.16875465710957846,0.043593708670082346,0.7916108255084422,0.04314919585373601,"OrderedDict([('reg_alpha', 0.7916108255084422), ('reg_lambda', 0.04314919585373601)])",BO for 2 group,2
0.7131865290235939,0.6801560521816864,0.6115154973373416,0.668286026180874,0.04234715896792216,137,0.6531290213267008,0.082450795726975,0.23523990313212076,0.07684516261075104,0.06672618105271057,0.9928642277475517,"OrderedDict([('reg_alpha', 0.06672618105271057), ('reg_lambda', 0.9928642277475517)])",BO for 2 group,2
0.7131670594285069,0.680032379690974,0.6114901322164252,0.6682298571119687,0.04234008373668058,154,0.35104990005493164,0.0715848449936959,0.1198886235555013,0.06049388274121994,0.8717520298874033,0.9123401590111921,"OrderedDict([('reg_alpha', 0.8717520298874033), ('reg_lambda', 0.9123401590111921)])",BO for 2 group,2
0.7176756421712933,0.68073994981691,0.6194180119121726,0.6726112013001253,0.04052322700519103,79,0.34103139241536456,0.04724734516678579,0.12334863344828288,0.03929511013903366,0.7245993409209652,0.0001515579872233275,"OrderedDict([('reg_alpha', 0.7245993409209652), ('reg_lambda', 0.0001515579872233275)])",BO for 2 group,2
0.7166473991275266,0.6720717786484222,0.5704936552319865,0.6530709443359783,0.06116100605286285,233,0.33845988909403485,0.07311627407986666,0.049863576889038086,0.0061849568632540985,0.6721192820328923,0.6348042209717828,"OrderedDict([('reg_alpha', 0.6721192820328923), ('reg_lambda', 0.6348042209717828)])",BO for 2 group,2
0.7158442056835803,0.6801283650816126,0.6114427720208411,0.6691384475953447,0.0433243469077536,113,0.5376266638437907,0.06009269006901224,0.23850568135579428,0.04034871092924079,0.9892676989327739,0.7653243997226207,"OrderedDict([('reg_alpha', 0.9892676989327739), ('reg_lambda', 0.7653243997226207)])",BO for 2 group,2
0.720760141949822,0.6806750734251503,0.6194318128716472,0.6736223427488731,0.04166663994082714,24,0.5898969173431396,0.05495589726037081,0.2058122158050537,0.018385350304741862,0.06486563954202752,0.08630046944795501,"OrderedDict([('reg_alpha', 0.06486563954202752), ('reg_lambda', 0.08630046944795501)])",BO for 2 group,2
