split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_subsample,params,run_number,experiment_name
0.07652128524743285,0.07968006177898412,0.06073922052141478,0.07231352251594392,0.008285240583491048,705,4.98232905069987,0.06547611963576733,0.06816577911376953,0.0005511100337144231,0.7926735158141007,15,20,0.7509883212128845,0.49037801653337865,0.7631777722673576,"OrderedDict([('colsample_bytree', 0.7926735158141007), ('max_depth', 15), ('min_child_weight', 20), ('reg_alpha', 0.7509883212128845), ('reg_lambda', 0.49037801653337865), ('subsample', 0.7631777722673576)])",6,bayes_opt
0.09543796915659375,0.10144428981936915,0.09195405754483077,0.09627877217359788,0.003919722731794935,660,2.0261462529500327,0.016866216541913878,0.05451250076293945,0.0007058170128102345,0.6117458984672485,10,18,0.7953175680875498,0.05703559073643173,0.7269765559924297,"OrderedDict([('colsample_bytree', 0.6117458984672485), ('max_depth', 10), ('min_child_weight', 18), ('reg_alpha', 0.7953175680875498), ('reg_lambda', 0.05703559073643173), ('subsample', 0.7269765559924297)])",6,bayes_opt
0.07718143541609213,0.07031709892049998,0.06060697899500622,0.06936850444386611,0.006799658080837308,710,5.45275632540385,0.06088437851430253,0.0696414311726888,0.0009761327811772831,0.6990644677908742,16,19,0.04576429293179241,0.7847962180439247,0.7920721664925303,"OrderedDict([('colsample_bytree', 0.6990644677908742), ('max_depth', 16), ('min_child_weight', 19), ('reg_alpha', 0.04576429293179241), ('reg_lambda', 0.7847962180439247), ('subsample', 0.7920721664925303)])",6,bayes_opt
0.0869167893037801,0.08431519068671034,0.06986569757084338,0.08036589252044461,0.007500339962330962,687,4.069732745488484,0.04506372428957218,0.0638743241628011,0.00034417967861963576,0.5234741091301142,13,15,0.7572391615247677,0.17727133861608604,0.8569712032382892,"OrderedDict([('colsample_bytree', 0.5234741091301142), ('max_depth', 13), ('min_child_weight', 15), ('reg_alpha', 0.7572391615247677), ('reg_lambda', 0.17727133861608604), ('subsample', 0.8569712032382892)])",6,bayes_opt
0.0649622210268831,0.06311450370565164,0.04673393445181917,0.05827021972811797,0.00819218828343628,720,4.51769479115804,0.051674930715208005,0.06186405817667643,0.0007327159672924778,0.7189472248964331,12,5,0.5860019630709532,0.17940554696791702,0.610339527081238,"OrderedDict([('colsample_bytree', 0.7189472248964331), ('max_depth', 12), ('min_child_weight', 5), ('reg_alpha', 0.5860019630709532), ('reg_lambda', 0.17940554696791702), ('subsample', 0.610339527081238)])",6,bayes_opt
0.05756138619549389,0.044252235441262555,0.03566829778208824,0.04582730647294823,0.009006940532553796,724,11.73250436782837,0.1900826766768077,0.07222731908162434,0.0003764009149474977,0.5751748320007682,15,4,0.34425184329324804,0.24425644655294038,0.7012273411859513,"OrderedDict([('colsample_bytree', 0.5751748320007682), ('max_depth', 15), ('min_child_weight', 4), ('reg_alpha', 0.34425184329324804), ('reg_lambda', 0.24425644655294038), ('subsample', 0.7012273411859513)])",6,bayes_opt
0.10323852884157836,0.10472270326995026,0.08780485459367515,0.09858869556840126,0.007649362198231279,655,1.018308957417806,0.005295077223593612,0.04302509625752767,0.0005646548415471669,0.8570414316887403,6,1,0.40616119712514154,0.14795329202798937,0.5486896651571896,"OrderedDict([('colsample_bytree', 0.8570414316887403), ('max_depth', 6), ('min_child_weight', 1), ('reg_alpha', 0.40616119712514154), ('reg_lambda', 0.14795329202798937), ('subsample', 0.5486896651571896)])",6,bayes_opt
0.025157731583113963,0.028838440149156597,0.009707744287755227,0.021234638673341927,0.008288098878085678,729,15.491443792978922,0.08874260132296811,0.0802458127339681,0.0010542009625195423,0.6549459888474832,18,4,0.427918308926427,0.34498559439934257,0.5012949327957334,"OrderedDict([('colsample_bytree', 0.6549459888474832), ('max_depth', 18), ('min_child_weight', 4), ('reg_alpha', 0.427918308926427), ('reg_lambda', 0.34498559439934257), ('subsample', 0.5012949327957334)])",6,bayes_opt
0.07018230170555195,0.06489971598641753,0.055819744061695986,0.06363392058455515,0.005931410401009376,717,5.984462738037109,0.04116579159382434,0.07069683074951172,0.0004922924339473742,0.6608444458212827,16,15,0.4985892739690302,0.10000988539440239,0.7067730311837445,"OrderedDict([('colsample_bytree', 0.6608444458212827), ('max_depth', 16), ('min_child_weight', 15), ('reg_alpha', 0.4985892739690302), ('reg_lambda', 0.10000988539440239), ('subsample', 0.7067730311837445)])",6,bayes_opt
0.040590204175415256,0.03113291001088847,0.004586890231488172,0.025436668139263967,0.015240188807476102,728,10.140332301457724,0.2704343263315591,0.06727202733357747,0.0002033542613954646,0.8847627775702529,13,1,0.4491008075788602,0.15411865019428242,0.5469153900644208,"OrderedDict([('colsample_bytree', 0.8847627775702529), ('max_depth', 13), ('min_child_weight', 1), ('reg_alpha', 0.4491008075788602), ('reg_lambda', 0.15411865019428242), ('subsample', 0.5469153900644208)])",6,bayes_opt
0.07328361947475959,0.0803390528929937,0.07470171310456197,0.07610812849077175,0.003047216036396652,703,0.5761028130849203,0.0025435628823162896,0.027868906656901043,0.0002406348166299891,0.5,1,7,0.0,0.0,0.766178214659261,"OrderedDict([('colsample_bytree', 0.5), ('max_depth', 1), ('min_child_weight', 7), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.766178214659261)])",6,bayes_opt
