split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,iter_num,experiment_name,run_number
0.8970089180017362,0.8973245994791256,0.8942383583267561,0.896190625269206,0.0013864639338327593,30,1.0901546478271484,0.11761316406038658,0.17632786432902017,0.06685377052276816,0.21822746053067882,0.7904062299363931,"OrderedDict([('reg_alpha', 0.21822746053067882), ('reg_lambda', 0.7904062299363931)])",136,random search for 2 group,10
0.8984294846499882,0.8965353957856522,0.8928176795580111,0.8959275199978838,0.002330983172769432,51,1.3020988305409749,0.262947620568741,0.18748935063680014,0.08914085966700747,0.5808352319701672,0.39351795577915716,"OrderedDict([('reg_alpha', 0.5808352319701672), ('reg_lambda', 0.39351795577915716)])",137,random search for 2 group,10
0.8953515902454423,0.8951937495067477,0.8949486977111286,0.8951646791544395,0.000165759690694928,147,0.9207274913787842,0.0020072673085932908,0.04694207509358724,0.002531721095070003,0.49623806172602913,0.96551559465151,"OrderedDict([('reg_alpha', 0.49623806172602913), ('reg_lambda', 0.96551559465151)])",138,random search for 2 group,10
0.8929839791650225,0.8938521032278431,0.8945540647198106,0.8937967157042254,0.0006421801386256797,283,1.1152952512105305,0.1467831126545971,0.1710662841796875,0.07786640064857127,0.6968164517205985,0.52152871856274,"OrderedDict([('reg_alpha', 0.6968164517205985), ('reg_lambda', 0.52152871856274)])",139,random search for 2 group,10
0.8980348828032515,0.8951148291374004,0.8925808997632202,0.895243537234624,0.0022284384788390107,140,1.0520350933074951,0.06945462168032174,0.14523530006408691,0.03570788008521246,0.6585810925835208,0.5893604846843594,"OrderedDict([('reg_alpha', 0.6585810925835208), ('reg_lambda', 0.5893604846843594)])",140,random search for 2 group,10
0.8981138031725988,0.8944834661826218,0.8936069455406472,0.8954014049652893,0.0019510510219219246,114,1.1756521066029866,0.21364443130375527,0.24927401542663574,0.023158012773279918,0.22664524951169635,0.6383105135100068,"OrderedDict([('reg_alpha', 0.22664524951169635), ('reg_lambda', 0.6383105135100068)])",141,random search for 2 group,10
0.8985873253886828,0.896219714308263,0.8919494869771113,0.8955855088913524,0.0027467419582313164,87,0.9193234443664551,0.01595549854163519,0.05483245849609375,0.00910865720847476,0.16623246267787853,0.10981163105284045,"OrderedDict([('reg_alpha', 0.16623246267787853), ('reg_lambda', 0.10981163105284045)])",142,random search for 2 group,10
0.894799147660011,0.894799147660011,0.8937647987371744,0.8944543646857323,0.00048759675830050873,253,1.283730189005534,0.47958424308889347,0.16383751233418783,0.07938155607677094,0.183633575764124,0.2955474828950881,"OrderedDict([('reg_alpha', 0.183633575764124), ('reg_lambda', 0.2955474828950881)])",143,random search for 2 group,10
0.8964564754163049,0.8942467050745797,0.89344909234412,0.8947174242783348,0.0012720772152412935,219,1.1059865951538086,0.11288569344632741,0.15733973185221353,0.0719711966278904,0.849586548642131,0.3896136677819757,"OrderedDict([('reg_alpha', 0.849586548642131), ('reg_lambda', 0.3896136677819757)])",144,random search for 2 group,10
0.895509430984137,0.8936942624891484,0.8943962115232833,0.8945333016655229,0.000747352860267174,243,1.184710423151652,0.12011624547572074,0.15172735850016275,0.07370597405671384,0.8972024933931577,0.44675383942440106,"OrderedDict([('reg_alpha', 0.8972024933931577), ('reg_lambda', 0.44675383942440106)])",145,random search for 2 group,10
0.8973245994791256,0.8970089180017362,0.8920284135753749,0.8954539770187454,0.0024256651839869754,111,1.197752316792806,0.019913922347488115,0.09388391176859538,0.038576589630061484,0.19880012709783706,0.9514475804837672,"OrderedDict([('reg_alpha', 0.19880012709783706), ('reg_lambda', 0.9514475804837672)])",146,random search for 2 group,10
0.8953515902454423,0.895509430984137,0.8936069455406472,0.8948226555900756,0.0008620485747754723,206,1.392750898996989,0.18995282769916594,0.15674996376037598,0.061119985290752396,0.23322936665538002,0.9795914781654391,"OrderedDict([('reg_alpha', 0.23322936665538002), ('reg_lambda', 0.9795914781654391)])",147,random search for 2 group,10
0.8950359087680531,0.8947202272906637,0.8928966061562746,0.8942175807383306,0.0009429189019987701,267,1.6318342685699463,0.25086301357732643,0.15525221824645996,0.07317498032321829,0.20015993103006652,0.6705326077796028,"OrderedDict([('reg_alpha', 0.20015993103006652), ('reg_lambda', 0.6705326077796028)])",148,random search for 2 group,10
0.8962986346776103,0.8919580143635072,0.8929755327545382,0.8937440605985518,0.001853505231189334,288,1.3087896505991619,0.11972399738151308,0.10023045539855957,0.0569749635999818,0.7139917358549833,0.7138205102840779,"OrderedDict([('reg_alpha', 0.7139917358549833), ('reg_lambda', 0.7138205102840779)])",149,random search for 2 group,10
0.8955883513534844,0.8946413069213164,0.8935280189423835,0.8945858924057282,0.0008420393844555971,238,1.398369312286377,0.15594883843541732,0.21189379692077637,0.14125986759474649,0.5995978741991862,0.5896229278501951,"OrderedDict([('reg_alpha', 0.5995978741991862), ('reg_lambda', 0.5896229278501951)])",150,random search for 2 group,10
0.8975613605871675,0.8945623865519691,0.8932123125493291,0.8951120198961552,0.001817530800956341,154,1.4710293610890706,0.268690794006721,0.10247214635213216,0.06305516500463945,0.8391399082184421,0.8821351947130104,"OrderedDict([('reg_alpha', 0.8391399082184421), ('reg_lambda', 0.8821351947130104)])",151,random search for 2 group,10
