split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,experiment_name,run_number
0.9257346004279896,0.9263098552658828,0.926539112026416,0.9261945225734295,0.0003384138989088794,142,3.7262380123138428,0.6597979857684992,0.7385424772898356,0.06197869793911626,0.5146550780859835,0.026983193437830517,"OrderedDict([('reg_alpha', 0.5146550780859835), ('reg_lambda', 0.026983193437830517)])",BO for 2 group,4
0.9263558756529142,0.9269081202972917,0.9262284708399968,0.9264974889300676,0.0002949820179829185,30,4.266483386357625,0.7299838784840584,1.2226780255635579,0.26846466456118734,0.6129113220482857,0.17766518178248894,"OrderedDict([('reg_alpha', 0.6129113220482857), ('reg_lambda', 0.17766518178248894)])",BO for 2 group,4
0.9260567431372098,0.9263098552658828,0.9257912721331846,0.9260526235120924,0.00021173071712770063,197,4.682584842046102,0.5447607800598301,1.2071160475413005,0.19932887393578824,0.9189831523879107,0.6787085788070781,"OrderedDict([('reg_alpha', 0.9189831523879107), ('reg_lambda', 0.6787085788070781)])",BO for 2 group,4
0.9264939368140086,0.9261027635242413,0.92628599698563,0.9262942324412933,0.00015980196641330436,101,4.302926699320476,0.5299286172833759,1.0150824387868245,0.05415848405242012,0.2984970089156707,0.8313283448520254,"OrderedDict([('reg_alpha', 0.2984970089156707), ('reg_lambda', 0.8313283448520254)])",BO for 2 group,4
0.9266089877815873,0.9264249062334614,0.925871808737071,0.9263019009173732,0.00031326875230698327,97,3.350588798522949,0.5478114174024592,0.7455467383066813,0.11191644043486368,0.7231767956469497,0.39582016037902046,"OrderedDict([('reg_alpha', 0.7231767956469497), ('reg_lambda', 0.39582016037902046)])",BO for 2 group,4
0.9265054419107664,0.9255850341701374,0.9266771747759357,0.9262558836189466,0.0004795152284480963,118,2.9972062905629477,0.3009256592818724,0.6272852420806885,0.13807365151553436,0.3503641582995299,0.4285365214267096,"OrderedDict([('reg_alpha', 0.3503641582995299), ('reg_lambda', 0.4285365214267096)])",BO for 2 group,4
0.9260107227501784,0.9259992176534204,0.92628599698563,0.9260986457964097,0.00013256053432192437,179,3.2876638571421304,0.4161276846053653,0.8751094341278076,0.12533228717156578,0.6514265300747419,0.9041131655475746,"OrderedDict([('reg_alpha', 0.6514265300747419), ('reg_lambda', 0.9041131655475746)])",BO for 2 group,4
0.9257461055247475,0.9260682482339676,0.9264930911099094,0.9261024816228748,0.00030591481362953594,177,3.805918057759603,0.31194245978646784,0.9271655877431234,0.1750473380945816,0.006525850217242836,0.1375375898112158,"OrderedDict([('reg_alpha', 0.006525850217242836), ('reg_lambda', 0.1375375898112158)])",BO for 2 group,4
0.9260107227501784,0.9271842426194804,0.9256071884671583,0.9262673846122723,0.0006689202410996762,115,4.099986632664998,0.060867953238154575,0.9809048970540365,0.1695002697954705,0.42695226614639914,0.6914356176703661,"OrderedDict([('reg_alpha', 0.42695226614639914), ('reg_lambda', 0.6914356176703661)])",BO for 2 group,4
0.9263443705561564,0.9262638348788513,0.9259293348827042,0.9261791801059039,0.00017970063160071314,148,4.713220596313477,0.6887803069326425,0.9695397218068441,0.1033976804368216,0.4646070965010638,0.21496113095089614,"OrderedDict([('reg_alpha', 0.4646070965010638), ('reg_lambda', 0.21496113095089614)])",BO for 2 group,4
0.9263903909431879,0.9265974826848293,0.9258257878205645,0.9262712204828606,0.0003261180152891104,113,3.7176499366760254,0.6852922235270847,0.9252181847890218,0.22821065226087425,0.16874958188903325,0.2753707756334978,"OrderedDict([('reg_alpha', 0.16874958188903325), ('reg_lambda', 0.2753707756334978)])",BO for 2 group,4
0.9256885800409581,0.9264594215237351,0.9262514812982501,0.9261331609543144,0.0003256264994685706,164,4.769575993220012,0.39606230739956505,1.0446109771728516,0.3470272996563509,0.21345572350110392,0.3626037219304082,"OrderedDict([('reg_alpha', 0.21345572350110392), ('reg_lambda', 0.3626037219304082)])",BO for 2 group,4
0.9264709266204929,0.9264824317172508,0.9263090074438832,0.9264207885938757,7.91806412917955e-05,48,3.231829881668091,0.49238720632010713,0.5823365052541097,0.13098062855211054,0.5572881483229495,0.5153044035596223,"OrderedDict([('reg_alpha', 0.5572881483229495), ('reg_lambda', 0.5153044035596223)])",BO for 2 group,4
0.9255390137831059,0.9258611564923261,0.9264355649642763,0.9259452450799027,0.0003708136756152822,215,3.023339589436849,0.4810036669939373,0.7487345536549886,0.1475390613524162,0.12844377809703958,0.5015695666712355,"OrderedDict([('reg_alpha', 0.12844377809703958), ('reg_lambda', 0.5015695666712355)])",BO for 2 group,4
0.9259877125566626,0.9262983501691249,0.9263320179021365,0.9262060268759748,0.00015498222602190214,136,3.06109627087911,0.10615525782768602,0.7862891356150309,0.005768221351738485,0.6175847613145362,0.026085318176564017,"OrderedDict([('reg_alpha', 0.6175847613145362), ('reg_lambda', 0.026085318176564017)])",BO for 2 group,4
0.9263328654593985,0.9259877125566626,0.9261019133196038,0.9261408304452216,0.0001435700492594242,162,3.3452951908111572,0.3554679505183175,0.8493497371673584,0.046514334277935075,0.9439000307360658,0.5492175131941219,"OrderedDict([('reg_alpha', 0.9439000307360658), ('reg_lambda', 0.5492175131941219)])",BO for 2 group,4
0.9265399572010401,0.9259877125566626,0.9265851329429226,0.9263709342335417,0.00027160553766595723,67,2.999433755874634,0.2691148281499061,0.8651459217071533,0.19129438143199198,0.7852771008581348,0.5642588685859133,"OrderedDict([('reg_alpha', 0.7852771008581348), ('reg_lambda', 0.5642588685859133)])",BO for 2 group,4
