split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_subsample,params,run_number,experiment_name
0.8999289716675875,0.8974035198484729,0.8951854775059195,0.8975059896739932,0.0019378784386197825,406,1.5858675638834636,0.3269451181232485,0.07990678151448567,0.0179882889668845,0.8292148168435199,9,3,0.7155890518882881,0.6479679084155655,0.5047030104190504,"OrderedDict([('colsample_bytree', 0.82921481684352), ('max_depth', 9), ('min_child_weight', 3), ('reg_alpha', 0.7155890518882881), ('reg_lambda', 0.6479679084155655), ('subsample', 0.5047030104190504)])",7,bayes_opt
0.9007181753610607,0.8966932365243471,0.8973954222573007,0.8982689447142361,0.0017554323820452244,180,0.8218230406443278,0.007743990024182469,0.07910799980163574,0.0017498618201951105,0.8462433565112524,9,16,0.7284363048432956,0.7951035531142052,0.7764810190595564,"OrderedDict([('colsample_bytree', 0.8462433565112524), ('max_depth', 9), ('min_child_weight', 16), ('reg_alpha', 0.7284363048432956), ('reg_lambda', 0.7951035531142052), ('subsample', 0.7764810190595564)])",7,bayes_opt
0.9010338568384499,0.8966143161549996,0.8956590370955012,0.8977690700296503,0.0023412623661269714,331,0.9699013233184814,0.0078051777580462455,0.09923195838928224,0.006307935074490735,0.7930927996857211,13,19,0.4122373031447419,0.7138557867946987,0.7468571831368482,"OrderedDict([('colsample_bytree', 0.7930927996857211), ('max_depth', 13), ('min_child_weight', 19), ('reg_alpha', 0.41223730314474194), ('reg_lambda', 0.7138557867946987), ('subsample', 0.7468571831368482)])",7,bayes_opt
0.9003235735143241,0.8960618735695683,0.8954222573007103,0.8972692347948676,0.002175471750023443,457,1.2641000747680664,0.13038581528105012,0.12129465738932292,0.020776315963503586,0.8554082180166809,14,12,0.031877551748769724,0.3411130505212298,0.5803874060946936,"OrderedDict([('colsample_bytree', 0.8554082180166809), ('max_depth', 14), ('min_child_weight', 12), ('reg_alpha', 0.031877551748769724), ('reg_lambda', 0.3411130505212298), ('subsample', 0.5803874060946936)])",7,bayes_opt
0.8995343698208508,0.8966932365243471,0.8973164956590371,0.8978480340014116,0.0012192646306104125,304,1.0839738845825195,0.12114798574951888,0.07884629567464192,0.02056100092509136,0.7099822983339129,8,3,0.32016419897627063,0.2004553225448624,0.5722544291007754,"OrderedDict([('colsample_bytree', 0.709982298333913), ('max_depth', 8), ('min_child_weight', 3), ('reg_alpha', 0.32016419897627063), ('reg_lambda', 0.20045532254486237), ('subsample', 0.5722544291007754)])",7,bayes_opt
0.8984294846499882,0.8957461920921791,0.8974743488555643,0.8972166751992439,0.0011104988436343153,465,1.8721522490183515,0.06950988816479506,0.1035615603129069,0.004254997506838143,0.7421704010944798,11,5,0.6284236694321769,0.3897637922735627,0.8830741387305845,"OrderedDict([('colsample_bytree', 0.7421704010944798), ('max_depth', 11), ('min_child_weight', 5), ('reg_alpha', 0.6284236694321769), ('reg_lambda', 0.3897637922735627), ('subsample', 0.8830741387305845)])",7,bayes_opt
0.9011127772077974,0.8959829532002209,0.8970007892659826,0.8980321732246669,0.0022175945285903068,251,0.6045493284861246,0.01920907918874225,0.0617055892944336,0.00978465491752083,0.5776893738914051,7,15,0.4398706207611074,0.5506991680033518,0.8832517952987295,"OrderedDict([('colsample_bytree', 0.577689373891405), ('max_depth', 7), ('min_child_weight', 15), ('reg_alpha', 0.4398706207611074), ('reg_lambda', 0.5506991680033518), ('subsample', 0.8832517952987295)])",7,bayes_opt
0.8991397679741141,0.8978770420645569,0.8975532754538279,0.8981900284974996,0.0006844511229862383,201,2.9458569685618077,0.913970628368006,0.1396310329437256,0.0292588572164348,0.8685734274360238,13,10,0.06482796616803722,0.98221427999961,0.8858325198334183,"OrderedDict([('colsample_bytree', 0.8685734274360238), ('max_depth', 13), ('min_child_weight', 10), ('reg_alpha', 0.06482796616803722), ('reg_lambda', 0.9822142799996099), ('subsample', 0.8858325198334183)])",7,bayes_opt
0.8986662457580301,0.8976402809565148,0.8955801104972375,0.8972955457372608,0.0012832743251860149,450,5.778941233952839,0.4965215902721343,0.1241745948791504,0.009930450147053122,0.8108407464430518,16,4,0.7838659509539367,0.6103334993712121,0.6924969532736978,"OrderedDict([('colsample_bytree', 0.8108407464430518), ('max_depth', 16), ('min_child_weight', 4), ('reg_alpha', 0.7838659509539367), ('reg_lambda', 0.610333499371212), ('subsample', 0.6924969532736978)])",7,bayes_opt
0.8991397679741141,0.8932207402730645,0.8932123125493291,0.8951909402655026,0.002792244970253084,645,0.5676948229471842,0.15022847593553332,0.040470520655314125,0.0019699659331239685,0.8887109895581482,4,2,0.1164645571742048,0.0668783802281855,0.666145624286943,"OrderedDict([('colsample_bytree', 0.8887109895581482), ('max_depth', 4), ('min_child_weight', 2), ('reg_alpha', 0.11646455717420481), ('reg_lambda', 0.0668783802281855), ('subsample', 0.666145624286943)])",7,bayes_opt
0.8966932365243471,0.8943256254439271,0.8940805051302289,0.8950331223661676,0.0011781356050097232,649,11.291872342427574,1.2707662724525337,0.14578445752461752,0.016999331708970403,0.5069365209730201,15,1,0.7685784311043391,0.016148191652030745,0.8065586369586584,"OrderedDict([('colsample_bytree', 0.5069365209730201), ('max_depth', 15), ('min_child_weight', 1), ('reg_alpha', 0.7685784311043391), ('reg_lambda', 0.016148191652030745), ('subsample', 0.8065586369586584)])",7,bayes_opt
