mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number
1.1082932949066162,0.3734037308906096,0.04435912768046061,0.00027845291805571207,0.8236988854771723,0.6940962558805384,"{'colsample_bytree': 0.8236988854771723, 'subsample': 0.6940962558805384}",0.11419177211617781,0.11854440900598306,0.10733731157038184,0.11335783089751424,0.004613122709539561,169,488,random search for 3 group,3
0.8418963750203451,0.003090056131460608,0.0401151180267334,0.0004806427491173123,0.8673532049396702,0.8811529444110241,"{'colsample_bytree': 0.8673532049396702, 'subsample': 0.8811529444110241}",0.11444096347809263,0.12038053000433924,0.10912236958562072,0.11464795435601753,0.004598454662243117,63,489,random search for 3 group,3
0.8160003821055094,0.0025482114778626187,0.040398200352986656,0.00011136135706191117,0.5249791174833068,0.8296182243812217,"{'colsample_bytree': 0.5249791174833068, 'subsample': 0.8296182243812217}",0.11425528278175678,0.1196572329551896,0.10989853022786567,0.11460368198827069,0.003991583331243758,65,490,random search for 3 group,3
0.8237436612447103,0.001127803554974651,0.04084285100301107,0.0008648118426864049,0.6529343126100108,0.8466476465723372,"{'colsample_bytree': 0.6529343126100108, 'subsample': 0.8466476465723372}",0.11137125893578437,0.11718623432584707,0.10656421419893825,0.11170723582018989,0.004342924379129435,236,491,random search for 3 group,3
0.8162396748860677,0.0007465213858919651,0.03988027572631836,0.0002661589378861923,0.5582171622140095,0.6395816030372634,"{'colsample_bytree': 0.5582171622140095, 'subsample': 0.6395816030372634}",0.11665373866662132,0.11649582726803887,0.11152828992759867,0.11489261862075295,0.0023798129715219885,45,492,random search for 3 group,3
0.8375289440155029,0.001889479087567812,0.04141116142272949,0.0009431289533740594,0.8977614223833711,0.7519146713911151,"{'colsample_bytree': 0.8977614223833711, 'subsample': 0.7519146713911151}",0.11591447129006394,0.11613665150091912,0.10564596390199898,0.11256569556432734,0.004893829837696726,213,493,random search for 3 group,3
0.8348798751831055,0.001508586822425895,0.039903720219930015,0.00029802604250104826,0.876405454057214,0.603987872948683,"{'colsample_bytree': 0.876405454057214, 'subsample': 0.603987872948683}",0.11658683471357467,0.11437603081949788,0.10574985155603167,0.11223757236303473,0.004675453947068077,225,494,random search for 3 group,3
0.8171574274698893,0.002871223869597236,0.04055865605672201,0.0008954071284447646,0.6540003448769244,0.5543512888822121,"{'colsample_bytree': 0.6540003448769244, 'subsample': 0.5543512888822121}",0.11234842739138362,0.11717568980554627,0.11045954476884534,0.11332788732192507,0.0028279742284484407,173,495,random search for 3 group,3
0.844437837600708,0.0030000876348528984,0.040397961934407554,0.0007500304512440293,0.8282363438928884,0.8221263667060572,"{'colsample_bytree': 0.8282363438928884, 'subsample': 0.8221263667060572}",0.11475477693404912,0.1201871785257348,0.10662044584200281,0.11385413376726224,0.005575089088278939,121,496,random search for 3 group,3
0.8380938371022543,0.00412574701032684,0.03986589113871256,0.00038983322788844815,0.8476522194253602,0.5934487721689187,"{'colsample_bytree': 0.8476522194253602, 'subsample': 0.5934487721689187}",0.11562917709356668,0.11491587919166135,0.1073143047313051,0.11261978700551105,0.0037628274028670473,211,497,random search for 3 group,3
0.8154221375783285,0.00225948649109421,0.04088163375854492,0.0009718754891543003,0.5364544380037446,0.5826065194093135,"{'colsample_bytree': 0.5364544380037446, 'subsample': 0.5826065194093135}",0.11656228298346816,0.11822343764508403,0.11039879737316705,0.11506150600057308,0.003366055803708252,38,498,random search for 3 group,3
0.844894806543986,0.0026140200061988954,0.04007347424825033,4.906031562156694e-05,0.8820065767958696,0.7020141394002544,"{'colsample_bytree': 0.8820065767958696, 'subsample': 0.7020141394002544}",0.1169332759246573,0.11564193102838316,0.10818485515100151,0.11358668736801399,0.003855881774281016,144,499,random search for 3 group,3
0.8241138458251953,0.0014642072079372604,0.04145232836405436,0.0005965320622257238,0.5113497941442795,0.6175414986874128,"{'colsample_bytree': 0.5113497941442795, 'subsample': 0.6175414986874128}",0.11533084083413492,0.12012565905220862,0.11173589958138896,0.1157307998225775,0.0034367612068030027,11,500,random search for 3 group,3
0.8299876848856608,0.0016838250591461879,0.04129687945048014,0.0010274428651419192,0.6746493032337625,0.7882549065934855,"{'colsample_bytree': 0.6746493032337625, 'subsample': 0.7882549065934855}",0.11282051319216047,0.1198877434330361,0.10692342890768503,0.11321056184429386,0.005299840641713076,182,501,random search for 3 group,3
0.8320011297861735,0.0023072930150004434,0.04130244255065918,0.000689583141420175,0.589776853802329,0.7492349951420769,"{'colsample_bytree': 0.589776853802329, 'subsample': 0.7492349951420769}",0.11627406484385128,0.12222037973607391,0.10861530801092012,0.1157032508636151,0.0055688937029221884,13,502,random search for 3 group,3
0.8358868757883707,0.00069599776058881,0.0410004456837972,0.0009664189850380252,0.6361080107735027,0.8705932239238507,"{'colsample_bytree': 0.6361080107735027, 'subsample': 0.8705932239238507}",0.11583223724394276,0.11783032849094244,0.10886921860450771,0.1141772614464643,0.0038409704734497447,97,503,random search for 3 group,3
0.8341877460479736,0.0038126109845598682,0.04078054428100586,0.0006578184486976801,0.6331818987033048,0.6518137279626022,"{'colsample_bytree': 0.6331818987033048, 'subsample': 0.6518137279626022}",0.1159668827805812,0.1189486966012131,0.10983209902831759,0.11491589280337063,0.003795306116391571,43,504,random search for 3 group,3
