mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number,param_colsample_bytree,param_subsample
0.7374807198842367,0.0015860960230732809,0.03581444422403971,0.000613571478160507,0.4147104229527935,0.21509695140260787,"{'alpha': 0.4147104229527935, 'lambda': 0.21509695140260787}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,240,random search for 2 group,8,,
0.7375243504842123,0.0021957390047749503,0.03630455334981283,0.00044912645079235114,0.4502183772386058,0.08437597022312027,"{'alpha': 0.4502183772386058, 'lambda': 0.08437597022312027}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,241,random search for 2 group,8,,
0.7378192742665609,0.0007798720031200436,0.036167542139689125,0.0003694273294421713,0.9807168373153464,0.3976768250095395,"{'alpha': 0.9807168373153464, 'lambda': 0.3976768250095395}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,242,random search for 2 group,8,,
0.7372566858927408,0.0014215883312345646,0.03633530934651693,0.0001891332510240187,0.9986233553168037,0.2444877626068589,"{'alpha': 0.9986233553168037, 'lambda': 0.2444877626068589}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,243,random search for 2 group,8,,
0.7384534676869711,0.0023241019801162645,0.036173502604166664,0.0003794086593376525,0.26344636905394025,0.20593560100769737,"{'alpha': 0.26344636905394025, 'lambda': 0.20593560100769737}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,244,random search for 2 group,8,,
0.7385413646697998,0.001115891528839929,0.03597577412923177,0.0002451693025920408,0.8444186827119782,0.04336432817415592,"{'alpha': 0.8444186827119782, 'lambda': 0.04336432817415592}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,245,random search for 2 group,8,,
0.736946185429891,0.001320104953578116,0.036142826080322266,8.744362313566967e-05,0.7638448138311011,0.36194155704141606,"{'alpha': 0.7638448138311011, 'lambda': 0.36194155704141606}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,246,random search for 2 group,8,,
0.7377379735310873,0.0004521751648079156,0.03612812360127767,6.0507714829249506e-05,0.6725753209545731,0.3741547146752403,"{'alpha': 0.6725753209545731, 'lambda': 0.3741547146752403}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,247,random search for 2 group,8,,
0.7389001051584879,0.0010861715208978892,0.0363778273264567,0.0003851824299938445,0.6888294722317865,0.555945210534618,"{'alpha': 0.6888294722317865, 'lambda': 0.555945210534618}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,248,random search for 2 group,8,,
0.7390090624491373,0.002351804631395649,0.03612494468688965,0.0002614805155525817,0.9420451303886259,0.6337597454247037,"{'alpha': 0.9420451303886259, 'lambda': 0.6337597454247037}",0.11389376464379108,0.11696900484986672,0.10670753671851119,0.11252343540405634,0.004299828192045222,1,249,random search for 2 group,8,,
0.7337721983591715,0.003804917541539044,0.03455122311909994,0.00011150316940588318,,,"{'colsample_bytree': 0.60285954247415, 'subsample': 0.8267490318624044}",0.11276573369476739,0.11749183608716485,0.10808509087137175,0.11278088688443466,0.003840302601191683,393,250,random search for 3 group,8,0.60285954247415,0.8267490318624044
0.7300088405609131,0.001297614766271632,0.034650564193725586,0.0002561732651719846,,,"{'colsample_bytree': 0.6217611686281874, 'subsample': 0.6768413223388278}",0.11465540656887019,0.11978309846645097,0.1104277520011202,0.11495541901214712,0.0038251912781092777,18,251,random search for 3 group,8,0.6217611686281874,0.6768413223388278
0.7404406865437826,0.001193940167198733,0.03527053197224935,0.0007952354483817933,,,"{'colsample_bytree': 0.8858358886042959, 'subsample': 0.5310992627087903}",0.11466390610743349,0.1159274605864048,0.10703131302317315,0.1125408932390038,0.003929864127959694,428,252,random search for 3 group,8,0.8858358886042959,0.5310992627087903
0.7294451395670573,0.0011453831245872479,0.03470420837402344,0.00021635694594396537,,,"{'colsample_bytree': 0.5029795228602577, 'subsample': 0.8666160015084329}",0.11184776314875089,0.11730019481197607,0.10977823369662443,0.11297539721911713,0.003172658580507686,347,253,random search for 3 group,8,0.5029795228602577,0.8666160015084329
0.7281538645426432,0.0008098026015078116,0.03462759653727213,6.7959007699302e-05,,,"{'colsample_bytree': 0.6193699139070592, 'subsample': 0.5125662211211677}",0.11127387435414726,0.1183637429063672,0.1095942918295918,0.11307730303003542,0.0038004459640723835,328,254,random search for 3 group,8,0.6193699139070592,0.5125662211211677
0.739821990331014,0.001134168688727509,0.034863551457722984,0.0005307693211718821,,,"{'colsample_bytree': 0.8034339673026523, 'subsample': 0.727183574482463}",0.11276184488920671,0.12005888507573925,0.10792811946632619,0.11358294981042405,0.0049862830870542685,197,255,random search for 3 group,8,0.8034339673026523,0.727183574482463
0.7437820434570312,0.001103912333071241,0.03530589739481608,0.0009572291546652327,,,"{'colsample_bytree': 0.8816913137801803, 'subsample': 0.6809897634135971}",0.1120445089200709,0.11895637788449309,0.1080990449447029,0.11303331058308896,0.004487294373224154,336,256,random search for 3 group,8,0.8816913137801803,0.6809897634135971
