mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
0.8433108329772949,0.002442961350581816,0.041517019271850586,0.0007215088521152551,0.8437975132481323,0.6377007897093101,"{'colsample_bytree': 0.8437975132481323, 'subsample': 0.6377007897093101}",0.11716297975164358,0.11972592353939115,0.10833783988113288,0.1150755810573892,0.004877843603714893,33,random search for 3 group,5
0.8243426481882731,0.0014448503233983028,0.04080073038736979,0.0002963373395544427,0.6073597543264425,0.5894026472789896,"{'colsample_bytree': 0.6073597543264425, 'subsample': 0.5894026472789896}",0.11180943830527157,0.12002899242139764,0.10775952634058616,0.11319931902241846,0.005104493169941451,178,random search for 3 group,5
0.8455824851989746,0.0022809562240771286,0.04181265830993652,0.0005178010613255777,0.8917879424440388,0.5498415112925867,"{'colsample_bytree': 0.8917879424440388, 'subsample': 0.5498415112925867}",0.11721500213342151,0.11188051336708071,0.10837807984307357,0.1124911984478586,0.0036334098853396265,217,random search for 3 group,5
0.8449223041534424,0.005942446524729099,0.041315317153930664,0.00035245078060328424,0.777610908959519,0.5753387450242486,"{'colsample_bytree': 0.777610908959519, 'subsample': 0.5753387450242486}",0.11604883408296063,0.11675974153231272,0.10594195191166511,0.11291684250897949,0.00494052436378734,196,random search for 3 group,5
0.8501647313435873,0.004616688580741068,0.04112672805786133,0.00034105842324268747,0.850721816169488,0.6849174051460456,"{'colsample_bytree': 0.850721816169488, 'subsample': 0.6849174051460456}",0.11477631899770824,0.11855730303056655,0.10742321463996218,0.11358561222274566,0.004622792665363228,152,random search for 3 group,5
0.8259950478871664,0.001739509548924502,0.04285883903503418,0.001482976492266283,0.5953442569246541,0.7747649934169472,"{'colsample_bytree': 0.5953442569246541, 'subsample': 0.7747649934169472}",0.11523887404275768,0.11807079172211099,0.10899003673372476,0.11409990083286448,0.0037936765605778053,110,random search for 3 group,5
0.8454583485921224,0.003950789052692315,0.04304202397664388,0.0032198637415528186,0.7644569894724711,0.6724952359321748,"{'colsample_bytree': 0.7644569894724711, 'subsample': 0.6724952359321748}",0.1155403441674775,0.1155537046093228,0.1097021587621535,0.11359873584631792,0.002755301478359866,150,random search for 3 group,5
0.8238491217295328,0.0008582502437669786,0.04101061820983887,0.0006445113787035996,0.6267518527247367,0.6481752070309972,"{'colsample_bytree': 0.6267518527247367, 'subsample': 0.6481752070309972}",0.1142510427479071,0.11689426953126336,0.11001680582287054,0.11372070603401367,0.0028326453522743867,141,random search for 3 group,5
0.8426857789357504,0.006013670937322205,0.04179175694783529,0.0005525811771214465,0.7449731303196458,0.6326769551570728,"{'colsample_bytree': 0.7449731303196458, 'subsample': 0.6326769551570728}",0.1110850810035302,0.1213014562897069,0.10627187991309006,0.11288613906877572,0.00626657264810301,199,random search for 3 group,5
0.8220767180124918,0.0010368272638747009,0.04132739702860514,0.000617113791927352,0.5614040824274356,0.6106729141482783,"{'colsample_bytree': 0.5614040824274356, 'subsample': 0.6106729141482783}",0.11464981184989853,0.11616232782921643,0.10958852772260153,0.1134668891339055,0.0028110723427714414,160,random search for 3 group,5
0.820026715596517,0.0019095665467345425,0.04169591267903646,0.00040650399588096673,0.5315342904507309,0.5035855262789432,"{'colsample_bytree': 0.5315342904507309, 'subsample': 0.5035855262789432}",0.11449235724388773,0.1161171076930616,0.10650653806302379,0.11237200099999105,0.004200213891714329,221,random search for 3 group,5
0.8405972321828207,0.006433733909058099,0.04075972239176432,0.0003951358775857088,0.7743386320369929,0.624159060247997,"{'colsample_bytree': 0.7743386320369929, 'subsample': 0.624159060247997}",0.11425128429655595,0.11898596873163003,0.10709419087328387,0.11344381463382329,0.0048882580810372,164,random search for 3 group,5
0.8441981474558512,0.0027098379392526215,0.0411531130472819,0.000643420920247924,0.8321163836070218,0.7923289905423097,"{'colsample_bytree': 0.8321163836070218, 'subsample': 0.7923289905423097}",0.11355681808431295,0.11888099980659739,0.10694864353566946,0.1131288204755266,0.004880755952987431,185,random search for 3 group,5
0.8492888609568278,0.0035146521037683373,0.04147934913635254,0.000965559001132494,0.8437018438214274,0.8777069199367658,"{'colsample_bytree': 0.8437018438214274, 'subsample': 0.8777069199367658}",0.11565326411874888,0.11886056523933863,0.10896035595091702,0.1144913951030015,0.004124398194157357,78,random search for 3 group,5
0.823218027750651,0.0035328621576080385,0.040822903315226235,0.00038475432205213155,0.5057669056386234,0.7181940297693642,"{'colsample_bytree': 0.5057669056386234, 'subsample': 0.7181940297693642}",0.1148632123385247,0.12121565329849993,0.10996937774105153,0.11534941445935872,0.00460412661679664,20,random search for 3 group,5
0.8284728527069092,0.001177513438743532,0.04127065340677897,0.00048690286142086443,0.5840148777520141,0.889613852540841,"{'colsample_bytree': 0.5840148777520141, 'subsample': 0.889613852540841}",0.11697233047355438,0.12136211459895352,0.10972471335888312,0.11601971947713034,0.004798463482440951,7,random search for 3 group,5
0.8278052012125651,0.0029536117314796976,0.041385491689046226,0.0005986465117070246,0.6611857999037867,0.8186668274756832,"{'colsample_bytree': 0.6611857999037867, 'subsample': 0.8186668274756832}",0.11305050217512014,0.12083720890034866,0.11085336331497697,0.11491369146348192,0.0042835264997690865,39,random search for 3 group,5
0.8211057186126709,0.0017147614498876943,0.04125340779622396,0.000487329804858513,0.5682735233132467,0.5451228474773172,"{'colsample_bytree': 0.5682735233132467, 'subsample': 0.5451228474773172}",0.11225228296389167,0.11820327336555392,0.10814945030959033,0.1128683355463453,0.004127507730533208,200,random search for 3 group,5
