experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
grid search,4.260049962997437,0.022039461135864257,0.6331935345539801,0,,,0,3,1,,"{'alpha': 0, 'lambda': 0, 'max_depth': 3, 'min_child_weight': 1}",28,0.6291282466735988,0.6576644608183794,0.5755717680077103,0.6076086432686574,0.6959945540015549,0.03378336395418417,0.0008677169607806008,0.04131386083008294
grid search,4.242435121536255,0.0221588134765625,0.6280168873292699,0,,,0,3,3,,"{'alpha': 0, 'lambda': 0, 'max_depth': 3, 'min_child_weight': 3}",46,0.6151553620443874,0.6473438710344603,0.5656574780367132,0.6056046125127986,0.7063231130179894,0.020229851243658472,0.000404308491512031,0.04703577809109294
grid search,4.216580438613891,0.02257814407348633,0.6346477276142599,0,,,0,3,6,,"{'alpha': 0, 'lambda': 0, 'max_depth': 3, 'min_child_weight': 6}",10,0.6239059404732836,0.6699290025010587,0.5823611043080948,0.5967057601905887,0.7003368305982732,0.012356348396366014,0.0007915217268269912,0.04438174504952219
grid search,6.553362798690796,0.03490238189697266,0.6336692079941141,0,,,0,5,1,,"{'alpha': 0, 'lambda': 0, 'max_depth': 5, 'min_child_weight': 1}",19,0.6226458795955641,0.665146140654555,0.5815476609543475,0.5835451523043822,0.7154612064617216,0.018009361762990197,0.0018368905629828057,0.0510515792050026
grid search,6.547147655487061,0.03422951698303223,0.6314341485582455,0,,,0,5,3,,"{'alpha': 0, 'lambda': 0, 'max_depth': 5, 'min_child_weight': 3}",37,0.6209147823810524,0.6627118616664185,0.5830754475361638,0.5656676640642375,0.7248009871433561,0.04674701898533376,0.0011742717659681537,0.05739357698674795
grid search,6.440190935134888,0.03397202491760254,0.6388926201261131,0,,,0,5,6,,"{'alpha': 0, 'lambda': 0, 'max_depth': 5, 'min_child_weight': 6}",1,0.6372391300055479,0.6669409529573112,0.5938150900280803,0.5732929580692261,0.7231749695704006,0.029208612204006317,0.0016267113577617001,0.053344646992466445
grid search,14.355077266693115,0.07540059089660645,0.52940108017127,0,,,0,10,1,,"{'alpha': 0, 'lambda': 0, 'max_depth': 10, 'min_child_weight': 1}",73,0.4910377751053596,0.6106657690634312,0.4658237576361004,0.3958389977270726,0.6836391013243859,0.11592492043847276,0.0013675519112197425,0.10367831577829613
grid search,13.55037989616394,0.06903457641601562,0.5559192595644751,0,,,0,10,3,,"{'alpha': 0, 'lambda': 0, 'max_depth': 10, 'min_child_weight': 3}",64,0.5258889067711805,0.6512609452288181,0.5171272461844129,0.38121408861960926,0.7041051110183545,0.1788640456616232,0.001720748841668989,0.11311730437229581
grid search,12.672629785537719,0.062121009826660155,0.6131365872898373,0,,,0,10,6,,"{'alpha': 0, 'lambda': 0, 'max_depth': 10, 'min_child_weight': 6}",55,0.6295163231630523,0.6772058410412023,0.5321297322876186,0.5117523507067636,0.7150786892505495,0.1352447843975829,0.001644403699471314,0.07950626536391263
grid search,4.228098630905151,0.02154693603515625,0.6331935345539801,0,,,0.005,3,1,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 3, 'min_child_weight': 1}",28,0.6291282466735988,0.6576644608183794,0.5755717680077103,0.6076086432686574,0.6959945540015549,0.010572619231584653,0.0007637456210970386,0.04131386083008294
grid search,4.2284058094024655,0.02163972854614258,0.6280168873292699,0,,,0.005,3,3,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 3, 'min_child_weight': 3}",46,0.6151553620443874,0.6473438710344603,0.5656574780367132,0.6056046125127986,0.7063231130179894,0.015082137637781174,0.0007372648002806087,0.04703577809109294
grid search,4.202693176269531,0.021848297119140624,0.6346477276142599,0,,,0.005,3,6,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 3, 'min_child_weight': 6}",10,0.6239059404732836,0.6699290025010587,0.5823611043080948,0.5967057601905887,0.7003368305982732,0.010577312130250312,0.0005610060113830302,0.04438174504952219
grid search,6.506614255905151,0.03477911949157715,0.6336692079941141,0,,,0.005,5,1,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 5, 'min_child_weight': 1}",19,0.6226458795955641,0.665146140654555,0.5815476609543475,0.5835451523043822,0.7154612064617216,0.01747216492534445,0.0016426451648974228,0.0510515792050026
grid search,6.522394180297852,0.034211015701293944,0.6314341485582455,0,,,0.005,5,3,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 5, 'min_child_weight': 3}",37,0.6209147823810524,0.6627118616664185,0.5830754475361638,0.5656676640642375,0.7248009871433561,0.03133918430481843,0.0009481752232265519,0.05739357698674795
grid search,6.430435848236084,0.03327884674072266,0.6388926201261131,0,,,0.005,5,6,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 5, 'min_child_weight': 6}",1,0.6372391300055479,0.6669409529573112,0.5938150900280803,0.5732929580692261,0.7231749695704006,0.03253979665603704,0.001331451577434103,0.053344646992466445
grid search,14.279387187957763,0.07402997016906739,0.52940108017127,0,,,0.005,10,1,,"{'alpha': 0, 'lambda': 0.005, 'max_depth': 10, 'min_child_weight': 1}",73,0.4910377751053596,0.6106657690634312,0.4658237576361004,0.3958389977270726,0.6836391013243859,0.11560090683397396,0.0010461044196761183,0.10367831577829613
