mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number
1.0814155737559001,0.3722370987694367,0.042775630950927734,0.0034498323293114235,0.6808025052173841,0.76857203309787,"{'colsample_bytree': 0.6808025052173841, 'subsample': 0.76857203309787}",0.11565024913753985,0.12162093045049482,0.10717980835975027,0.11481699598259498,0.00592493234420539,51,488,random search for 3 group,3
0.8271729946136475,0.0025337278259553774,0.039562225341796875,0.0003782299170380472,0.7760353212595195,0.602316891815414,"{'colsample_bytree': 0.7760353212595195, 'subsample': 0.602316891815414}",0.11665419549630984,0.11898206826638869,0.10744387858437399,0.11436004744902417,0.0049819535480027715,81,489,random search for 3 group,3
0.8305162588755289,0.00032763098713563195,0.039681196212768555,0.0002993096877847182,0.7356892417566773,0.8764776536852725,"{'colsample_bytree': 0.7356892417566773, 'subsample': 0.8764776536852725}",0.11724008925376272,0.1183476194317652,0.10832401332880359,0.11463724067144383,0.0044869652241198875,58,490,random search for 3 group,3
0.833514928817749,0.008926906046144508,0.040114800135294594,0.0005186212377327118,0.5629269281819967,0.8530457600402335,"{'colsample_bytree': 0.5629269281819967, 'subsample': 0.8530457600402335}",0.11656401512549941,0.12019178375652384,0.11154348737533093,0.11609976208578472,0.0035458807780204002,7,491,random search for 3 group,3
0.8213551839192709,0.0028940467963590464,0.039983669916788735,8.138548565681154e-05,0.6095053860102082,0.8626283481315484,"{'colsample_bytree': 0.6095053860102082, 'subsample': 0.8626283481315484}",0.11528252844313969,0.1171814985570695,0.10997686186829903,0.1141469629561694,0.0030489155652125375,104,492,random search for 3 group,3
0.8204135100046793,0.00746669237826847,0.04000409444173177,0.00034805331032017263,0.5505912008033299,0.6505216620812937,"{'colsample_bytree': 0.5505912008033299, 'subsample': 0.6505216620812937}",0.11534735709101762,0.11852597421984534,0.11080313302207168,0.11489215477764488,0.00316922450041883,46,493,random search for 3 group,3
0.8280320167541504,0.0037214021737407726,0.03971743583679199,0.00041770177519329,0.6666307883787901,0.8689970065225185,"{'colsample_bytree': 0.6666307883787901, 'subsample': 0.8689970065225185}",0.11442392892351783,0.11832188005621225,0.10931477046857707,0.11402019314943572,0.0036882026076281507,119,494,random search for 3 group,3
0.8117911020914713,0.0024633652604668676,0.039339145024617515,0.00012236879863724746,0.6158434929154413,0.5004418775166649,"{'colsample_bytree': 0.6158434929154413, 'subsample': 0.5004418775166649}",0.11465670227105318,0.11918596373280232,0.10769385299166878,0.11384550633184143,0.0047265689783368555,134,495,random search for 3 group,3
0.8363751570383707,0.0031248395584289605,0.03923805554707845,0.00026952517076757776,0.8595621472106598,0.632986207500519,"{'colsample_bytree': 0.8595621472106598, 'subsample': 0.632986207500519}",0.1165121681312139,0.11701028946837422,0.10725583753800139,0.11359276504586317,0.004485496546021418,161,496,random search for 3 group,3
0.8177289168039957,0.00234885762265302,0.039403041203816734,0.00023192971919787332,0.5465031594588041,0.696278805600953,"{'colsample_bytree': 0.5465031594588041, 'subsample': 0.696278805600953}",0.11803029588686142,0.11872525993277572,0.10785528165667968,0.11487027915877228,0.004968459601798287,48,497,random search for 3 group,3
0.8099598089853922,0.002060330449784739,0.03926912943522135,0.00020309609222355285,0.5401763158035422,0.5460336783014743,"{'colsample_bytree': 0.5401763158035422, 'subsample': 0.5460336783014743}",0.11427082643871123,0.11698932334216383,0.11072274721422637,0.11399429899836715,0.0025657805389077163,120,498,random search for 3 group,3
0.8204178810119629,0.003977477386900707,0.03991127014160156,0.0002562588281652437,0.5022435550025142,0.7221658639202748,"{'colsample_bytree': 0.5022435550025142, 'subsample': 0.7221658639202748}",0.11687955041360443,0.1230091775017822,0.10964844494667636,0.116512390954021,0.005460671396683588,1,499,random search for 3 group,3
0.8393222490946451,0.0011009155673425274,0.03931450843811035,0.00029100671567352783,0.8569088579121082,0.6723568811984457,"{'colsample_bytree': 0.8569088579121082, 'subsample': 0.6723568811984457}",0.11478823138658611,0.11624572121006105,0.10655232619382726,0.1125287595968248,0.004267660273243554,213,500,random search for 3 group,3
0.8202259540557861,0.002534763087946407,0.03940415382385254,0.0005288500295178211,0.5952550331461294,0.5553374845134995,"{'colsample_bytree': 0.5952550331461294, 'subsample': 0.5553374845134995}",0.11466516095307255,0.11440475673698736,0.11041096594770272,0.11316029454592087,0.0019469734452347471,184,501,random search for 3 group,3
0.8303790887196859,0.0049886893411891986,0.03936584790547689,0.0003411142708643186,0.7054278569745966,0.7913311534372272,"{'colsample_bytree': 0.7054278569745966, 'subsample': 0.7913311534372272}",0.11367135859285726,0.12014806731493777,0.11011353276801195,0.11464431955860233,0.004153950784013505,57,502,random search for 3 group,3
0.8191232681274414,0.0009002583890074266,0.03915015856424967,0.00010496996011383532,0.6910135149487058,0.5965426051001224,"{'colsample_bytree': 0.6910135149487058, 'subsample': 0.5965426051001224}",0.1115456785179757,0.11770613916592254,0.10833217709999499,0.11252799826129774,0.0038894305720291425,214,503,random search for 3 group,3
0.8319544792175293,0.003863886644698932,0.03997445106506348,0.00020918573127450923,0.7014215779593825,0.7790730189209579,"{'colsample_bytree': 0.7014215779593825, 'subsample': 0.7790730189209579}",0.11690369029174275,0.12231615583833233,0.10860084021820937,0.11594022878276149,0.005640547502938791,10,504,random search for 3 group,3
