split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,experiment_name,run_number,iter_num,param_reg_alpha,param_reg_lambda,param_colsample_bytree,param_subsample
0.6317041618242727,0.5796071037917134,0.561936629212388,0.5910826316094581,0.029615794836646118,238,6.147210995356243,2.0326910933495768,0.05274836222330729,0.005914676187915617,10.0,8.0,"OrderedDict([('max_depth', 10), ('min_child_weight', 8)])",BO for 1 group,10,1,,,,
0.6307203968220334,0.5983507489709083,0.5730064539064843,0.6006925332331421,0.023619734218980944,177,39.243052641550705,13.231509178742517,0.050777196884155266,0.004168773997300732,18.0,14.0,"OrderedDict([('max_depth', 18), ('min_child_weight', 14)])",BO for 1 group,10,2,,,,
0.6752890540739953,0.6026907912629128,0.5906831934372537,0.6228876795913872,0.03737622807021941,140,0.39215580622355145,0.060724985229760026,0.04582508405049642,0.004963593318995619,5.0,10.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 10)])",BO for 1 group,10,3,,,,
0.6422959809199299,0.5953868747652264,0.5723333249778829,0.6033387268876799,0.029110333454512118,167,7.489884217580158,3.453384143860187,0.057765404383341476,0.005659921193538497,11.0,17.0,"OrderedDict([('max_depth', 11), ('min_child_weight', 17)])",BO for 1 group,10,4,,,,
0.6662059592502945,0.629410308892958,0.5802741744365709,0.6252968141932744,0.035201880056811984,134,0.9042598406473796,0.04446726686786066,0.0488278865814209,0.0012675270922895179,5.0,15.0,"OrderedDict([('max_depth', 5), ('min_child_weight', 15)])",BO for 1 group,10,5,,,,
0.6284249076606103,0.5872058632633699,0.5753301660401443,0.5969869789880415,0.02275251730469364,205,130.75130677223206,39.150027218250926,0.06928038597106934,0.00451496378652236,19.0,3.0,"OrderedDict([('max_depth', 19), ('min_child_weight', 3)])",BO for 1 group,10,6,,,,
0.6437072374838668,0.5839902885650108,0.5527082257185653,0.5934685839224809,0.03774991035510728,229,3.417142391204834,0.2088414760245232,0.05502525965372721,0.0034535211810255424,8.0,12.0,"OrderedDict([('max_depth', 8), ('min_child_weight', 12)])",BO for 1 group,10,7,,,,
0.649762104124452,0.5949239938638184,0.554694389818318,0.5997934959355296,0.03896367208625644,185,9.152193228403727,0.9648956794734309,0.046514034271240234,0.00378091414810576,10.0,6.0,"OrderedDict([('max_depth', 10), ('min_child_weight', 6)])",BO for 1 group,10,8,,,,
0.6604206342346666,0.5928395190269609,0.5848765910213322,0.6127122480943199,0.03389119489083682,155,0.7293642361958822,0.17582642803473186,0.05547436078389486,0.004566228422519729,6.0,4.0,"OrderedDict([('max_depth', 6), ('min_child_weight', 4)])",BO for 1 group,10,9,,,,
0.6410708380203165,0.5982511523139538,0.5770983892480126,0.6054734598607611,0.026611273866624808,161,28.820242484410606,9.571546110864123,0.05173452695210775,0.0025832834863172022,17.0,17.0,"OrderedDict([('max_depth', 17), ('min_child_weight', 17)])",BO for 1 group,10,10,,,,
0.7097616104380415,0.6799641438745698,0.6079728297384008,0.665899528017004,0.04272859334212906,47,0.3718759218851725,0.17102515262297288,0.05113522211710612,0.0025263188926909624,3.0,20.0,"OrderedDict([('max_depth', 3), ('min_child_weight', 20)])",BO for 1 group,10,11,,,,
0.6549222206930899,0.6216449884174238,0.5757271802036626,0.6174314631047255,0.032468230176600554,145,0.35344576835632324,0.06748933394401252,0.049865007400512695,0.007930906892711838,1.0,20.0,"OrderedDict([('max_depth', 1), ('min_child_weight', 20)])",BO for 1 group,10,12,,,,
0.6235637035471455,0.5904509499753026,0.5703433748707902,0.5947860094644127,0.021942278849828013,224,73.22643407185872,12.135694804126553,0.057330290476481124,0.0007770357976223,14.0,1.0,"OrderedDict([('max_depth', 14), ('min_child_weight', 1)])",BO for 1 group,10,13,,,,
0.7135448341295731,0.6799641438745698,0.6115175867728847,0.6683421882590093,0.042455405545452574,1,0.3605516751607259,0.12669979306204746,0.05106806755065918,0.00579254542593828,3.0,1.0,"OrderedDict([('max_depth', 3), ('min_child_weight', 1)])",BO for 1 group,10,14,,,,
0.6854532499092636,0.6377284734406828,0.5860699249829762,0.6364172161109742,0.04058366555803408,128,0.6176629861195883,0.037015782403804834,0.04654844601949056,0.0027371279810702127,4.0,1.0,"OrderedDict([('max_depth', 4), ('min_child_weight', 1)])",BO for 1 group,10,15,,,,
0.7157888292536156,0.6928539639646607,0.5780624761443056,0.6622350897875273,0.060250995439101424,85,0.4213848114013672,0.031894138192182495,0.054343223571777344,0.003359816120321437,2.0,1.0,"OrderedDict([('max_depth', 2), ('min_child_weight', 1)])",BO for 1 group,10,16,,,,
0.6388926574912235,0.5983279915783167,0.5761345762675008,0.6044517417790136,0.025984218635051636,164,33.221407731374114,9.053575000924177,0.05633378028869629,0.004105042565374586,20.0,20.0,"OrderedDict([('max_depth', 20), ('min_child_weight', 20)])",BO for 1 group,10,17,,,,
0.7157888292536156,0.6928539639646607,0.5780624761443056,0.6622350897875273,0.060250995439101424,85,0.4077094395955404,0.02772841718098231,0.0466309388478597,0.0005287276736051663,2.0,20.0,"OrderedDict([('max_depth', 2), ('min_child_weight', 20)])",BO for 1 group,10,18,,,,
0.6265539111408239,0.5968243147463417,0.5668775099590722,0.596751911948746,0.02436284255617112,209,28.517708142598465,3.2558613956132136,0.06062165896097819,0.005217771621748786,12.0,1.0,"OrderedDict([('max_depth', 12), ('min_child_weight', 1)])",BO for 1 group,10,19,,,,
