mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
0.8335058689117432,0.003698673080597077,0.03854823112487793,0.000423064257069762,0.7982876146821245,0.861371930970267,"{'colsample_bytree': 0.7982876146821245, 'subsample': 0.861371930970267}",0.11402109007238148,0.12080855544884683,0.10960477168150629,0.11481147240091154,0.004607943926544704,49,random search for 3 group,10
0.8237770398457845,0.0017916783949864386,0.03861419359842936,0.0002601711056763813,0.779049645809594,0.6714423743073915,"{'colsample_bytree': 0.779049645809594, 'subsample': 0.6714423743073915}",0.11557921413055738,0.11670702383743914,0.10847391528938666,0.11358671775246106,0.0036444981779433813,146,random search for 3 group,10
0.815319299697876,0.004882611842428321,0.03861228624979655,0.0003474310563683632,0.7162227689541589,0.8527818604255775,"{'colsample_bytree': 0.7162227689541589, 'subsample': 0.8527818604255775}",0.11689803583128544,0.11992777360402651,0.10933063709912383,0.11538548217814526,0.004456507559446525,21,random search for 3 group,10
0.8255104223887125,0.003712289957582051,0.03837990760803223,0.00014233822131100898,0.8034175318834418,0.5814728602602542,"{'colsample_bytree': 0.8034175318834418, 'subsample': 0.5814728602602542}",0.11767269439639239,0.11302968909978328,0.10758679869090748,0.11276306072902771,0.004121863742010284,206,random search for 3 group,10
0.8290995756785074,0.002953726252178791,0.038768927256266274,0.000307406424935471,0.8052277664537564,0.5412789989470203,"{'colsample_bytree': 0.8052277664537564, 'subsample': 0.5412789989470203}",0.11496318706829523,0.11773920727707654,0.10700740281857868,0.11323659905465015,0.00454816712977186,174,random search for 3 group,10
0.8253092765808105,0.0036531081680626254,0.03846859931945801,0.00022573526804352514,0.8786930113585067,0.7410484182732336,"{'colsample_bytree': 0.8786930113585067, 'subsample': 0.7410484182732336}",0.11417041176576981,0.11694739762633644,0.10552303039149402,0.11221361326120009,0.004864897187659772,225,random search for 3 group,10
0.8286010424296061,0.005514351954368604,0.038743019104003906,0.0006571287496730794,0.788776597252079,0.6682146984219852,"{'colsample_bytree': 0.788776597252079, 'subsample': 0.6682146984219852}",0.11347700457676557,0.11767832658685395,0.10866242177057317,0.11327258431139757,0.003683564908050226,171,random search for 3 group,10
0.8114580313364664,0.0037289170315714755,0.03841090202331543,1.1503542024435824e-05,0.6152837819019703,0.7667292056485429,"{'colsample_bytree': 0.6152837819019703, 'subsample': 0.7667292056485429}",0.11480369856647166,0.12178264311744036,0.10868025652487834,0.11508886606959678,0.005352826292957532,38,random search for 3 group,10
0.8053057988484701,0.0014691034837581547,0.038402557373046875,0.00012351202330998122,0.6132824173057864,0.580416302543506,"{'colsample_bytree': 0.6132824173057864, 'subsample': 0.580416302543506}",0.11220383769524422,0.11801535009585773,0.1080869655368909,0.11276871777599762,0.004072879580583964,205,random search for 3 group,10
0.8071292241414388,0.002604875129729024,0.03840430577596029,0.0002972008697400912,0.6784358149724847,0.6624892771243265,"{'colsample_bytree': 0.6784358149724847, 'subsample': 0.6624892771243265}",0.11612710090464251,0.11889646651678598,0.10847852035350136,0.11450069592497662,0.0044058518233281285,79,random search for 3 group,10
0.826626698176066,0.006453874424942476,0.03859559694925944,0.00028767500085694525,0.8126933282310815,0.6479460154769404,"{'colsample_bytree': 0.8126933282310815, 'subsample': 0.6479460154769404}",0.11503176116748515,0.1188460595236347,0.10607138784560233,0.11331640284557405,0.0053544311711449365,167,random search for 3 group,10
0.8260262807210287,0.0014634634142410142,0.038493076960245766,0.00037653403918978064,0.7631503401457459,0.7311611202482906,"{'colsample_bytree': 0.7631503401457459, 'subsample': 0.7311611202482906}",0.11449111886262742,0.12005261765640451,0.10880133179879614,0.11444835610594269,0.004593417743715748,84,random search for 3 group,10
0.8266086578369141,0.006942426858861914,0.03860147794087728,0.00018433383320427886,0.7420166368655937,0.6181368855241565,"{'colsample_bytree': 0.7420166368655937, 'subsample': 0.6181368855241565}",0.11205925544938311,0.12185620579097789,0.10949553887774088,0.11447033337270063,0.005326443103311994,82,random search for 3 group,10
0.8152949015299479,0.00654881431738663,0.040252129236857094,0.002096616793459373,0.6352107929452141,0.780238198233443,"{'colsample_bytree': 0.6352107929452141, 'subsample': 0.780238198233443}",0.11507303263472102,0.12057560557819624,0.11002974901830131,0.11522612907707286,0.004306688715317552,32,random search for 3 group,10
0.8125464916229248,0.004859811016356023,0.03851175308227539,0.000256430311846699,0.5931853917225739,0.6720703958956582,"{'colsample_bytree': 0.5931853917225739, 'subsample': 0.6720703958956582}",0.11504628818700968,0.11848716726171404,0.10840824083004674,0.11398056542625683,0.004183141822110144,119,random search for 3 group,10
0.8239765961964926,0.005951536079271565,0.03862492243448893,0.00023986673300750052,0.7627725497666917,0.63032708105466,"{'colsample_bytree': 0.7627725497666917, 'subsample': 0.63032708105466}",0.11216979542818006,0.1207719933120347,0.10683521354716152,0.11325900076245876,0.005741558078246152,172,random search for 3 group,10
0.8282443682352701,0.003208681634882491,0.03832817077636719,0.00015798512903551095,0.8888101473219614,0.8083811225496267,"{'colsample_bytree': 0.8888101473219614, 'subsample': 0.8083811225496267}",0.11580049704216377,0.11853646238090043,0.1097258893303964,0.11468761625115353,0.0036819765625559207,57,random search for 3 group,10
0.8236297766367594,0.0008379513106025596,0.03827794392903646,0.00019181623812817406,0.7730626802314752,0.8090376269653033,"{'colsample_bytree': 0.7730626802314752, 'subsample': 0.8090376269653033}",0.1146054535848704,0.12092613099582139,0.1085398642110792,0.11469048293059032,0.005057029675473348,56,random search for 3 group,10
