mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number,param_alpha,param_lambda,param_colsample_bytree,param_subsample
0.8355914751688639,0.0032649751624381803,0.03865551948547363,0.00020310324469780195,5.0,9.0,"{'max_depth': 5, 'min_child_weight': 9}",0.1121133394956364,0.11813940373376475,0.10302853297807002,0.11109375873582372,0.006210972143079411,26,random search for 1 group,10,,,,
17.784212509791054,0.4544572258167085,0.07721924781799316,0.00041543017248639284,17.0,5.0,"{'max_depth': 17, 'min_child_weight': 5}",0.047986347802786544,0.049034480760222536,0.02617363761916769,0.041064822060725585,0.010538348264900212,227,random search for 1 group,10,,,,
13.894311984380089,0.2988924764795539,0.06919678052266437,9.703789125820463e-05,14.0,1.0,"{'max_depth': 14, 'min_child_weight': 1}",0.05209006944942906,0.03853602294231595,0.016301729575603052,0.035642607322449366,0.014753083478674038,232,random search for 1 group,10,,,,
8.831900437672934,0.18543372979108366,0.07286794980367024,0.0008857995458711451,16.0,11.0,"{'max_depth': 16, 'min_child_weight': 11}",0.06423938811566021,0.054487093506137896,0.03600467968561205,0.05157705376913672,0.011708997636736532,208,random search for 1 group,10,,,,
3.0528717835744223,0.04496450531092633,0.05677175521850586,0.0005245404167580543,11.0,11.0,"{'max_depth': 11, 'min_child_weight': 11}",0.08640698975739902,0.08739299541979084,0.06808706892220695,0.08062901803313227,0.008877627964621613,123,random search for 1 group,10,,,,
18.75897336006165,0.8714289291165453,0.07550311088562013,0.00020849047002128804,16.0,3.0,"{'max_depth': 16, 'min_child_weight': 3}",0.04414975022679635,0.04118098964799588,0.016688659183077936,0.03400646635262339,0.01230537060838965,236,random search for 1 group,10,,,,
0.6338346004486084,0.0011826669124549724,0.030089219411214188,0.00038922305045025287,2.0,14.0,"{'max_depth': 2, 'min_child_weight': 14}",0.09672307297230144,0.1018355969730138,0.09600758469712434,0.09818875154747986,0.002595199675848007,79,random search for 1 group,10,,,,
5.639532407124838,0.06542875231754942,0.06365219751993816,0.0005749774456355447,13.0,8.0,"{'max_depth': 13, 'min_child_weight': 8}",0.07169828661730404,0.0673614872272198,0.04512770334283634,0.061395825729120064,0.011638751700498584,171,random search for 1 group,10,,,,
0.6368662516276041,0.0025684708768254657,0.03042276700337728,0.0004417025042788044,2.0,17.0,"{'max_depth': 2, 'min_child_weight': 17}",0.09672307297230144,0.1018355969730138,0.09600758469712434,0.09818875154747986,0.002595199675848007,79,random search for 1 group,10,,,,
0.8305308024088541,0.0071194573642293655,0.03916716575622559,0.000608046563919207,5.0,16.0,"{'max_depth': 5, 'min_child_weight': 16}",0.1138964669217829,0.11927273161205433,0.10429436806758596,0.11248785553380773,0.006195481318365005,8,random search for 1 group,10,,,,
0.7388613224029541,0.0025918002294172773,0.035998662312825516,0.00041928017432432273,4.0,8.0,"{'max_depth': 4, 'min_child_weight': 8}",0.11109909113474814,0.11735935250760132,0.10396680755141507,0.11080841706458816,0.005471345578689332,27,random search for 1 group,10,,,,
0.6321512858072916,0.0012842141000415231,0.03007268905639648,0.0004809540805715044,2.0,6.0,"{'max_depth': 2, 'min_child_weight': 6}",0.09660295790261007,0.10175566236203748,0.09627729363799864,0.09821197130088206,0.002509292603636305,76,random search for 1 group,10,,,,
0.9763809839884441,0.00974233600219138,0.04172428448994955,0.00044417922335805997,6.0,9.0,"{'max_depth': 6, 'min_child_weight': 9}",0.10961862301062053,0.11514777954296007,0.09897757313566047,0.10791465856308036,0.006710514880520419,45,random search for 1 group,10,,,,
0.5647416909535726,0.005457998234960054,0.027373552322387692,0.0007633038485064832,1.0,18.0,"{'max_depth': 1, 'min_child_weight': 18}",0.0730792762672795,0.08001164425081009,0.07481471261713535,0.07596854437840833,0.0029453836495734226,134,random search for 1 group,10,,,,
1.178407351175944,0.014924014300882887,0.044579267501831055,0.0001918720083776624,7.0,9.0,"{'max_depth': 7, 'min_child_weight': 9}",0.1032855700011578,0.1140067716897274,0.09596284270862887,0.104418394799838,0.007409827361331727,59,random search for 1 group,10,,,,
0.95855450630188,0.0105300144864095,0.04321018854777018,0.0012276795383347125,6.0,17.0,"{'max_depth': 6, 'min_child_weight': 17}",0.11129259752209897,0.11472419349383445,0.103434576143847,0.10981712238659347,0.004725578280937737,34,random search for 1 group,10,,,,
4.620053609212238,0.05266889195191172,0.0601349671681722,0.0003389532093673932,12.0,7.0,"{'max_depth': 12, 'min_child_weight': 7}",0.07489410670433339,0.0776193998478355,0.05469030365415284,0.06906793673544058,0.010227220392808257,154,random search for 1 group,10,,,,
8.346662282943727,0.21039711115340706,0.06882786750793457,0.00029308409746367384,15.0,9.0,"{'max_depth': 15, 'min_child_weight': 9}",0.06768095845618771,0.061094824944299075,0.046483730704178994,0.05841983803488859,0.008858038997308987,187,random search for 1 group,10,,,,
1.7226029237111409,0.01713471563875796,0.04817660649617513,0.0006383025487543872,8.0,1.0,"{'max_depth': 8, 'min_child_weight': 1}",0.09987824143803414,0.1032757372661095,0.07739991150574133,0.093517963403295,0.011481272931884116,90,random search for 1 group,10,,,,
5.369336764017742,0.18572718889872453,0.06542181968688965,0.00033676132688056736,14.0,14.0,"{'max_depth': 14, 'min_child_weight': 14}",0.07202038667925413,0.0709187316239297,0.053120473796180234,0.06535319736645469,0.00866152624831181,162,random search for 1 group,10,,,,
