mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,iter_num,experiment_name,run_number
0.6624119281768799,0.07856503778981082,0.08230876922607422,0.005698699633675163,0.1270496539666507,0.43887593385223234,"{'alpha': 0.1270496539666507, 'lambda': 0.43887593385223234}",0.7197728340128884,0.6720319567143785,0.5664235317495108,0.6527427741589259,0.06407316936601659,268,156,random search for 2 group,3
0.45861999193827313,0.14417318097478374,0.07666818300882976,0.0029203450613404414,0.8689281004415744,0.15920100781606483,"{'alpha': 0.8689281004415744, 'lambda': 0.15920100781606483}",0.720423165919856,0.6783345973927066,0.5663216253681744,0.655026462893579,0.06503472431694961,226,157,random search for 2 group,3
0.5336318810780843,0.1915029739063776,0.07756654421488444,0.011245226897314988,0.25854047574148464,0.08746779038201913,"{'alpha': 0.25854047574148464, 'lambda': 0.08746779038201913}",0.717691955267024,0.6807534664744632,0.6194321190645155,0.6726258469353342,0.04052400524928055,28,158,random search for 2 group,3
0.6701305707295736,0.06221081827798253,0.09359351793924968,0.00433557256511483,0.7996753734967755,0.6347991526909409,"{'alpha': 0.7996753734967755, 'lambda': 0.6347991526909409}",0.7156273871887633,0.6720717982728714,0.5704935146932899,0.6527309000516416,0.06080851362753992,272,159,random search for 2 group,3
0.482540766398112,0.04052553571816318,0.07967058817545573,0.012022758385533776,0.9207371439056093,0.1841508879633702,"{'alpha': 0.9207371439056093, 'lambda': 0.1841508879633702}",0.720305997442163,0.6784187479508255,0.5663305427937388,0.6550184293955758,0.06500149403366356,233,160,random search for 2 group,3
0.5494784514109293,0.16661174524078556,0.10657262802124023,0.010938655739426114,0.5556295407601829,0.6888400553568566,"{'alpha': 0.5556295407601829, 'lambda': 0.6888400553568566}",0.7213121911874989,0.6721960603370896,0.606595236942958,0.6667011628225156,0.0469939025960303,132,161,random search for 2 group,3
0.6500978469848633,0.19774433974418065,0.08343950907389323,0.008876846771642816,0.038990955961549445,0.9579253515481543,"{'alpha': 0.038990955961549445, 'lambda': 0.9579253515481543}",0.7131484942333564,0.6800378825842375,0.6115044297322533,0.668230268849949,0.04232764084023361,97,162,random search for 2 group,3
0.4150094985961914,0.06903319856758006,0.0753778616587321,0.008503521716158934,0.5579140703885074,0.5572265507616572,"{'alpha': 0.5579140703885074, 'lambda': 0.5572265507616572}",0.7177833210939224,0.6720560815494544,0.5803071738622091,0.6567155255018619,0.057163054847841024,173,163,random search for 2 group,3
0.43288977940877277,0.11545580257272368,0.07680972417195638,0.015844924593702223,0.07819370782085577,0.5827189616671297,"{'alpha': 0.07819370782085577, 'lambda': 0.5827189616671297}",0.7177004312021331,0.6716264912898884,0.5803174093859306,0.656548110625984,0.057090815626929,184,164,random search for 2 group,3
0.3826388518015544,0.08408356421698161,0.0818491776784261,0.0051584531505817635,0.06552372485909264,0.002395307099494759,"{'alpha': 0.06552372485909264, 'lambda': 0.002395307099494759}",0.7187185762651029,0.6807402842450903,0.6194184420746184,0.6729591008616039,0.040910791353037435,13,165,random search for 2 group,3
0.4211757183074951,0.11995757901824788,0.07493726412455241,0.00609435857781583,0.5704256921818468,0.7509536647225833,"{'alpha': 0.5704256921818468, 'lambda': 0.7509536647225833}",0.721405577328053,0.6800124789311849,0.6114381772178628,0.6709520778257002,0.045348836243008984,43,166,random search for 2 group,3
0.30664674441019696,0.05707417409966086,0.06563719113667806,0.0036182741455193386,0.8779269806361231,0.22570380217462027,"{'alpha': 0.8779269806361231, 'lambda': 0.22570380217462027}",0.720324534081815,0.6784265463638015,0.5663459312726206,0.6550323372394123,0.06500163739570797,222,167,random search for 2 group,3
0.3995090325673421,0.19084528213053253,0.07523417472839355,0.004718371245922234,0.5986671851056237,0.6749160675662391,"{'alpha': 0.5986671851056237, 'lambda': 0.6749160675662391}",0.7211984989463506,0.6720798821590246,0.6127980278928182,0.6686921363327313,0.04431909406034531,69,168,random search for 2 group,3
0.3355889320373535,0.03903511537887409,0.06864166259765625,0.006707537181700121,0.42503635896484293,0.4686528760433627,"{'alpha': 0.42503635896484293, 'lambda': 0.4686528760433627}",0.7199116349014135,0.6720380370830198,0.5824459021167612,0.6581318580337315,0.05697510148780494,156,169,random search for 2 group,3
0.4640814463297526,0.09185558368224112,0.0612494150797526,0.0043753728956619385,0.26706808824582384,0.7390988955426119,"{'alpha': 0.26706808824582384, 'lambda': 0.7390988955426119}",0.7214021944288502,0.6800109554570699,0.6114342564866,0.6709491354575068,0.04534919536291695,44,170,random search for 2 group,3
0.5007869402567545,0.03973756270081263,0.09154176712036133,0.023054512426139685,0.20167920118473437,0.2728114475767388,"{'alpha': 0.20167920118473437, 'lambda': 0.2728114475767388}",0.7206030918501137,0.6784352806225358,0.5663629357931839,0.6551337694219445,0.06508828237243107,208,171,random search for 2 group,3
0.4010750452677409,0.056219248738556146,0.06627432505289714,0.004954183647423932,0.7423453247660657,0.2277069599000886,"{'alpha': 0.7423453247660657, 'lambda': 0.2277069599000886}",0.7203404616739666,0.6784269012295292,0.5663467091498335,0.6550380240177764,0.06500665933597788,218,172,random search for 2 group,3
0.33926908175150555,0.06832272278669432,0.07628854115804036,0.00914601094272059,0.6060875545484214,0.18949647287560278,"{'alpha': 0.6060875545484214, 'lambda': 0.18949647287560278}",0.7203081906394027,0.6784196928997758,0.5663324498142126,0.655020111117797,0.06500147440043268,232,173,random search for 2 group,3
0.32366299629211426,0.0625555167378689,0.06852134068806966,0.006472336200468906,0.01858189905163765,0.38113268473136575,"{'alpha': 0.01858189905163765, 'lambda': 0.38113268473136575}",0.7199025197821975,0.6676331518276228,0.566402473016095,0.6513127148753052,0.0637198743775433,281,174,random search for 2 group,3
0.3190271059672038,0.059018925050374406,0.06965303421020508,0.002271083087008137,0.07534507660049106,0.2616390425456311,"{'alpha': 0.07534507660049106, 'lambda': 0.2616390425456311}",0.7213844771541456,0.678433212379071,0.5663588313251012,0.6553921736194392,0.06535240274348608,199,175,random search for 2 group,3
