mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
0.5793683528900146,0.04999861806450292,0.16594425837198892,0.004777594251667334,0.31555484379553567,0.28274037477058256,"{'alpha': 0.31555484379553567, 'lambda': 0.28274037477058256}",0.7206068609536234,0.6783578714003639,0.5663662217711343,0.6551103180417072,0.06507882526458915,166,random search for 2 group,9
0.5493271350860596,0.027904659735374423,0.08095876375834148,0.04377016591168821,0.44135761797253137,0.4587416003994159,"{'alpha': 0.44135761797253137, 'lambda': 0.4587416003994159}",0.7199080903599275,0.6716012645681955,0.571913566571762,0.6544743071666282,0.06162031196609225,209,random search for 2 group,9
0.48957228660583496,0.041361045647764154,0.054251511891682945,0.0031475753193426653,0.6972476329560225,0.6253135210125175,"{'alpha': 0.6972476329560225, 'lambda': 0.6253135210125175}",0.7156078811105285,0.6720699226024625,0.5749125553807611,0.654196786364584,0.05881258606672928,211,random search for 2 group,9
0.4951394399007161,0.0412441784478479,0.04880483945210775,0.0020030710338441522,0.7993285966515348,0.7322842672341429,"{'alpha': 0.7993285966515348, 'lambda': 0.7322842672341429}",0.7238167495071302,0.6801243036342017,0.611432132629814,0.6717910619237153,0.04625766758581275,36,random search for 2 group,9
0.5172150135040283,0.04442721144761274,0.05472540855407715,0.0049581779510952904,0.04414060320658031,0.9595003570379957,"{'alpha': 0.04414060320658031, 'lambda': 0.9595003570379957}",0.7132555112727974,0.680152018708663,0.6115048606101996,0.66830413019722,0.04237592141928551,62,random search for 2 group,9
0.5858365694681803,0.07710590066811038,0.19853846232096353,0.09121429442420187,0.23319716903912335,0.555912426462338,"{'alpha': 0.23319716903912335, 'lambda': 0.555912426462338}",0.7177555682117882,0.6716210346920022,0.5803067230769274,0.6565611086602393,0.057114780844006646,142,random search for 2 group,9
0.5979741414388021,0.017696424700145826,0.14602049191792807,0.028563916767269423,0.5836619646282686,0.2867355388818438,"{'alpha': 0.5836619646282686, 'lambda': 0.2867355388818438}",0.7206083849239366,0.678437982843611,0.5663677026773835,0.6551380234816437,0.0650882124232058,162,random search for 2 group,9
0.5568376382191976,0.054760323482761664,0.15241233507792154,0.023967588022394896,0.9262533005167566,0.025502753159505898,"{'alpha': 0.9262533005167566, 'lambda': 0.025502753159505898}",0.7176631199013955,0.6807439680937073,0.619417216567703,0.6726081015209354,0.04051920223080062,29,random search for 2 group,9
0.5908177693684896,0.0687572148792201,0.1525874932607015,0.1320205841748021,0.6872711467519877,0.09764101250427404,"{'alpha': 0.6872711467519877, 'lambda': 0.09764101250427404}",0.7207655809886129,0.6807551517313302,0.6194345665502125,0.6736517664233852,0.041672030459319484,10,random search for 2 group,9
0.5065563519795736,0.04336574787448284,0.048952579498291016,0.003493740763225057,0.04920670422156381,0.7307767786731177,"{'alpha': 0.04920670422156381, 'lambda': 0.7307767786731177}",0.7231799979026304,0.6800099593568727,0.6114316898427447,0.6715405490340826,0.04601245680591015,38,random search for 2 group,9
