mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
0.8902246952056885,0.053065067194989796,0.20973404248555502,0.030581556489695783,0.7917038970979828,0.6579713506575747,"{'colsample_bytree': 0.7917038970979828, 'subsample': 0.6579713506575747}",0.896693236524347,0.8959829532002209,0.8982636148382005,0.8969799348542561,0.0009528908038236241,96,random search for 3 group,10
0.6225957870483398,0.13994063383960617,0.23345057169596353,0.08430977694436428,0.8967673902142455,0.5302863454761718,"{'colsample_bytree': 0.8967673902142455, 'subsample': 0.5302863454761718}",0.900323573514324,0.8985084050193355,0.8945540647198106,0.8977953477511567,0.0024087543022994155,39,random search for 3 group,10
0.9286659558614095,0.07149137534365609,0.2536250750223796,0.04936880684410431,0.8162058767322213,0.7426992299555094,"{'colsample_bytree': 0.8162058767322213, 'subsample': 0.7426992299555094}",0.8988240864967249,0.8949569883987057,0.8962904498816101,0.8966905082590135,0.001603880077379803,122,random search for 3 group,10
0.7353471914927164,0.20028694246628745,0.21152591705322266,0.07680568231018628,0.6156189734058024,0.7214526139732963,"{'colsample_bytree': 0.6156189734058024, 'subsample': 0.7214526139732963}",0.89985005129824,0.8963775550469576,0.8968429360694554,0.8976901808048844,0.0015390311422183024,46,random search for 3 group,10
0.865583340326945,0.017490787481945592,0.1744383970896403,0.049963000408349174,0.6822970462143985,0.6506504150000076,"{'colsample_bytree': 0.6822970462143985, 'subsample': 0.6506504150000076}",0.8999289716675875,0.896693236524347,0.8952644041041831,0.8972955374320392,0.0019513452498120744,70,random search for 3 group,10
0.3689428170522054,0.04761886935071733,0.09369810422261556,0.01247573795371094,0.7309134179979708,0.7768097381516994,"{'colsample_bytree': 0.7309134179979708, 'subsample': 0.7768097381516994}",0.8988240864967249,0.8962986346776103,0.8968429360694554,0.8973218857479303,0.0010852100621694023,66,random search for 3 group,10
0.5071291128794352,0.136088613416231,0.1388239860534668,0.06028500000223403,0.8709944056725416,0.7914223218594129,"{'colsample_bytree': 0.8709944056725416, 'subsample': 0.7914223218594129}",0.8985873253886828,0.8986662457580301,0.8978689818468824,0.8983741843311984,0.0003586820958210074,11,random search for 3 group,10
1.0727775891621907,0.19772226742994528,0.3100717067718506,0.043444106762126046,0.8673171333324392,0.5524611378269233,"{'colsample_bytree': 0.8673171333324392, 'subsample': 0.5524611378269233}",0.896219714308263,0.8977192013258622,0.8940015785319653,0.8959801647220301,0.0015271362769628276,186,random search for 3 group,10
0.5434838930765787,0.03139185903575355,0.24431824684143066,0.08111837610246529,0.781553706460251,0.6684048524597775,"{'colsample_bytree': 0.781553706460251, 'subsample': 0.6684048524597775}",0.9001657327756294,0.8985084050193355,0.8963693764798737,0.8983478380916129,0.0015540091344196782,13,random search for 3 group,10
0.9992771148681641,0.10508992418928417,0.3410775661468506,0.06212799925614967,0.727546121207151,0.6238599603440625,"{'colsample_bytree': 0.727546121207151, 'subsample': 0.6238599603440625}",0.8989030068660722,0.8962986346776103,0.8941594317284925,0.8964536910907249,0.001939657725803166,147,random search for 3 group,10
0.543693463007609,0.10498799006229843,0.1691733201344808,0.03512582504928546,0.616488502297286,0.7630532063426407,"{'colsample_bytree': 0.616488502297286, 'subsample': 0.7630532063426407}",0.8967721568936943,0.8977981216952096,0.8966850828729281,0.8970851204872773,0.0005054196363140345,88,random search for 3 group,10
0.8046836853027344,0.15255127538229868,0.19675866762797037,0.044292876236350594,0.7652617928400803,0.5096648798024672,"{'colsample_bytree': 0.7652617928400803, 'subsample': 0.5096648798024672}",0.8979559624339042,0.8938521032278431,0.8919494869771113,0.8945858508796195,0.002506421893939563,239,random search for 3 group,10
0.3706408341725667,0.04041374643483991,0.0783073902130127,0.003430637010338714,0.8155528479959235,0.549132332881251,"{'colsample_bytree': 0.8155528479959235, 'subsample': 0.549132332881251}",0.8979559624339042,0.8958251124615263,0.8958958168902921,0.8965589639285741,0.0009882487530922118,135,random search for 3 group,10
0.35340531667073566,0.033151157780335914,0.08194859822591145,0.0054736093646237495,0.5382086391318196,0.688402446783719,"{'colsample_bytree': 0.5382086391318196, 'subsample': 0.688402446783719}",0.8990608476047668,0.8959829532002209,0.893843725335438,0.8962958420468086,0.002141341599094803,160,random search for 3 group,10
0.3953293164571126,0.015846057151928,0.12255740165710449,0.006583978372866116,0.8810671582822444,0.5477614727573712,"{'colsample_bytree': 0.8810671582822444, 'subsample': 0.5477614727573712}",0.8970878383710835,0.8941677847052324,0.8980268350434096,0.8964274860399085,0.0016431912607509948,148,random search for 3 group,10
0.42126019795735675,0.0636264645861482,0.14911039670308432,0.05426278120834426,0.5525862685389696,0.7038355357758321,"{'colsample_bytree': 0.5525862685389696, 'subsample': 0.7038355357758321}",0.8999289716675875,0.8959829532002209,0.8954222573007103,0.8971113940561729,0.002005434727632285,86,random search for 3 group,10
0.773414134979248,0.22018139518457538,0.3070186773935954,0.04801057310836199,0.716740039728305,0.719533149152862,"{'colsample_bytree': 0.716740039728305, 'subsample': 0.719533149152862}",0.9007181753610607,0.8964564754163049,0.8939226519337017,0.8970324342370225,0.0028039948983926504,94,random search for 3 group,10
0.6435000896453857,0.2447769708329442,0.20836893717447916,0.12780519078723385,0.7123665285152773,0.6448547623941479,"{'colsample_bytree': 0.7123665285152773, 'subsample': 0.6448547623941479}",0.8995343698208508,0.8975613605871675,0.8936858721389108,0.8969272008489764,0.0024293826669987933,103,random search for 3 group,10
