mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number,param_alpha,param_lambda,param_colsample_bytree,param_subsample
0.8554926713307699,0.2344529368781905,0.2528843879699707,0.054767433546475376,4.0,16.0,"{'max_depth': 4, 'min_child_weight': 16}",0.8993765290821562,0.8981927235419461,0.8973954222573007,0.898321558293801,0.0008138979697874946,7,random search for 1 group,3,,,,
3.805680910746256,0.6146902190451264,0.2534791628519694,0.05320996313137233,16.0,5.0,"{'max_depth': 16, 'min_child_weight': 5}",0.8989819272354195,0.8952726698760949,0.8952644041041831,0.8965063337385658,0.0017505122016130618,47,random search for 1 group,3,,,,
0.6191043059031168,0.1822919249263567,0.35483638445536303,0.08785416791046527,1.0,11.0,"{'max_depth': 1, 'min_child_weight': 11}",0.8851708625996371,0.884460579275511,0.8835043409629045,0.8843785942793508,0.0006828200085531894,231,random search for 1 group,3,,,,
2.0091683864593506,0.6576690652222231,0.3361996014912923,0.08029216459119254,7.0,4.0,"{'max_depth': 7, 'min_child_weight': 4}",0.8980348828032515,0.8951937495067477,0.8922651933701657,0.8951646085600551,0.0023555559760766983,152,random search for 1 group,3,,,,
3.5036118030548096,0.6540685944261907,0.2980042298634847,0.04338662154448341,15.0,7.0,"{'max_depth': 15, 'min_child_weight': 7}",0.8967721568936943,0.8944045458132744,0.8930544593528019,0.8947437206865901,0.0015365759439753995,176,random search for 1 group,3,,,,
4.2411439418792725,0.4983283053504941,0.21048450469970706,0.1276428361240913,10.0,1.0,"{'max_depth': 10, 'min_child_weight': 1}",0.8989819272354195,0.8933785810117592,0.8957379636937648,0.8960328239803145,0.002297038552425016,66,random search for 1 group,3,,,,
5.21098780632019,0.7746866263118817,0.3924886385599772,0.0508722486725793,14.0,3.0,"{'max_depth': 14, 'min_child_weight': 3}",0.8973245994791256,0.8956672717228317,0.8946329913180742,0.8958749541733438,0.0011086140366384438,82,random search for 1 group,3,,,,
2.7453871568044033,0.9397631569737226,0.1883469422658285,0.09781804800601472,18.0,17.0,"{'max_depth': 18, 'min_child_weight': 17}",0.8950359087680531,0.895509430984137,0.8937647987371744,0.8947700461631216,0.0007366354199155428,175,random search for 1 group,3,,,,
2.520293792088826,1.4108057824734035,0.18401646614074707,0.07008670376255356,14.0,9.0,"{'max_depth': 14, 'min_child_weight': 9}",0.8959040328308736,0.8937731828584958,0.8936858721389108,0.8944543626094267,0.0010256911827806476,197,random search for 1 group,3,,,,
4.831404844919841,0.48152955185191204,0.25732819239298504,0.07871296667900944,17.0,9.0,"{'max_depth': 17, 'min_child_weight': 9}",0.8957461920921791,0.8956672717228317,0.8950276243093923,0.8954803627081344,0.00032175161169872314,118,random search for 1 group,3,,,,
1.8289385636647544,0.2430416263101685,0.2758890787760417,0.029946803591286618,8.0,11.0,"{'max_depth': 8, 'min_child_weight': 11}",0.8975613605871675,0.8955883513534844,0.8932123125493291,0.895454008163327,0.001778030891822524,127,random search for 1 group,3,,,,
1.401874303817749,0.30819834108888106,0.2166724999745687,0.12212979433022385,6.0,4.0,"{'max_depth': 6, 'min_child_weight': 4}",0.8973245994791256,0.8966143161549996,0.8945540647198106,0.8961643267846453,0.0011749705069254836,62,random search for 1 group,3,,,,
0.3472252686818441,0.010479985114994895,0.09880336125691733,0.013305553223734322,4.0,3.0,"{'max_depth': 4, 'min_child_weight': 3}",0.9006392549917134,0.8981927235419461,0.8985003946329914,0.8991107910555503,0.0010880615418194003,2,random search for 1 group,3,,,,
1.7303959528605144,0.6721177443753169,0.2615034580230713,0.1293233557799542,8.0,3.0,"{'max_depth': 8, 'min_child_weight': 3}",0.8970878383710835,0.8918790939941599,0.8942383583267561,0.8944017635639998,0.002129597841487516,202,random search for 1 group,3,,,,
4.220004638036092,1.5201820942346649,0.3319191932678223,0.061064385238600874,16.0,12.0,"{'max_depth': 16, 'min_child_weight': 12}",0.8952726698760949,0.8960618735695683,0.8941594317284925,0.8951646583913853,0.0007804148897822928,149,random search for 1 group,3,,,,
0.7632400989532471,0.3683519563884815,0.2046557267506917,0.008349223709983864,5.0,4.0,"{'max_depth': 5, 'min_child_weight': 4}",0.8995343698208508,0.8940099439665378,0.8942383583267561,0.8959275573713815,0.0025521057076099717,76,random search for 1 group,3,,,,
3.8363188107808432,1.1748482831971876,0.34836483001708984,0.07256698831201723,16.0,13.0,"{'max_depth': 16, 'min_child_weight': 13}",0.8962197143082629,0.8964564754163049,0.8929755327545382,0.8952172408263687,0.0015880712127300306,145,random search for 1 group,3,,,,
0.9522360165913901,0.1795996358877461,0.3034366766611735,0.05550994545608719,3.0,10.0,"{'max_depth': 3, 'min_child_weight': 10}",0.8992976087128087,0.8981138031725988,0.8969218626677191,0.8981110915177087,0.0009698961568106301,14,random search for 1 group,3,,,,
3.095639944076538,0.10609436598173526,0.3169657389322917,0.12058421574685815,14.0,18.0,"{'max_depth': 14, 'min_child_weight': 18}",0.8960618735695683,0.8938521032278431,0.8955011838989739,0.8951383868987951,0.0009379010211801412,153,random search for 1 group,3,,,,
0.7161697546641032,0.13417452399859545,0.18880144755045566,0.06271548367075337,3.0,7.0,"{'max_depth': 3, 'min_child_weight': 7}",0.8994554494515035,0.8974824402178202,0.8973164956590371,0.8980847951094537,0.0009715638229790585,15,random search for 1 group,3,,,,
