mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,run_number,experiment_name
2.198336203893026,0.3364932132654622,0.16202974319458008,0.07085852211766026,0.34077429745574417,0.6759436433367579,0.3831818940020534,19,18,0.6694431312051261,"{'alpha': 0.34077429745574417, 'colsample_bytree': 0.6759436433367579, 'lambda': 0.3831818940020534, 'max_depth': 19, 'min_child_weight': 18, 'subsample': 0.6694431312051261}",0.8949569883987057,0.8932207402730645,0.8921862667719022,0.8934546651478907,0.001143172549998802,369,3,random_search
1.5724035898844402,0.15602225383357138,0.1489873727162679,0.07561988489960744,0.37495927295429443,0.726016902392612,0.1115287762359446,19,19,0.6144823282580092,"{'alpha': 0.37495927295429443, 'colsample_bytree': 0.726016902392612, 'lambda': 0.1115287762359446, 'max_depth': 19, 'min_child_weight': 19, 'subsample': 0.6144823282580092}",0.895272669876095,0.8915634125167706,0.8921862667719022,0.8930074497215892,0.0016218104322162326,425,3,random_search
1.41285236676534,0.06896083144850505,0.19776550928751627,0.03698513966969858,0.30904386639076553,0.7138646763206157,0.030579187259531238,7,19,0.8280671750355295,"{'alpha': 0.30904386639076553, 'colsample_bytree': 0.7138646763206157, 'lambda': 0.030579187259531238, 'max_depth': 7, 'min_child_weight': 19, 'subsample': 0.8280671750355295}",0.8967721568936943,0.8978770420645569,0.8926598263614838,0.8957696751065782,0.002244780943020579,109,3,random_search
5.544153531392415,0.4636643879674545,0.20272405942281088,0.029054942369745488,0.6346951248706931,0.673286921325553,0.8195690553801285,11,1,0.6150135323791238,"{'alpha': 0.6346951248706931, 'colsample_bytree': 0.673286921325553, 'lambda': 0.8195690553801285, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6150135323791238}",0.8918790939941599,0.8918790939941599,0.8899763220205209,0.8912448366696135,0.0008969753104078854,611,3,random_search
3.0033183097839355,0.07849282054694835,0.20612359046936035,0.11983388738327931,0.8370563225317239,0.661941145640964,0.5321790628249558,13,8,0.6131194854014155,"{'alpha': 0.8370563225317239, 'colsample_bytree': 0.661941145640964, 'lambda': 0.5321790628249558, 'max_depth': 13, 'min_child_weight': 8, 'subsample': 0.6131194854014155}",0.8944045458132744,0.8913266514087286,0.88973954222573,0.891823579815911,0.0019366238663111976,560,3,random_search
0.5568524996439616,0.07052990087803797,0.05921785036722819,0.010632142190093612,0.6260828884176564,0.7467800642652591,0.15543452709947325,5,18,0.5210184379936265,"{'alpha': 0.6260828884176564, 'colsample_bytree': 0.7467800642652591, 'lambda': 0.15543452709947325, 'max_depth': 5, 'min_child_weight': 18, 'subsample': 0.5210184379936265}",0.896219714308263,0.8951937495067477,0.8940805051302289,0.8951646563150799,0.0008735707516461459,148,3,random_search
3.4417123794555664,0.16584505212722098,0.23741928736368814,0.05053712436964116,0.22333141257151357,0.7804915821536558,0.5786627797255995,18,9,0.7413581922175693,"{'alpha': 0.22333141257151357, 'colsample_bytree': 0.7804915821536558, 'lambda': 0.5786627797255995, 'max_depth': 18, 'min_child_weight': 9, 'subsample': 0.7413581922175693}",0.8937731828584958,0.8944045458132744,0.891397000789266,0.8931915764870121,0.0012948696836290467,400,3,random_search
1.3646423021952312,0.2896817126729564,0.21780761082967123,0.01760081169847393,0.10316708194778212,0.7905315326095439,0.3245636785270031,12,17,0.6681537451897369,"{'alpha': 0.10316708194778212, 'colsample_bytree': 0.7905315326095439, 'lambda': 0.3245636785270031, 'max_depth': 12, 'min_child_weight': 17, 'subsample': 0.6681537451897369}",0.8942467050745797,0.8917212532554653,0.8890292028413576,0.8916657203904675,0.002130398290264158,572,3,random_search
1.1463553110758464,0.22498450047088114,0.14191071192423502,0.06959289794457674,0.501711128511305,0.6230098482642509,0.1714264947627112,6,9,0.6859356951753744,"{'alpha': 0.501711128511305, 'colsample_bytree': 0.6230098482642509, 'lambda': 0.1714264947627112, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.6859356951753744}",0.8956672717228317,0.8963775550469576,0.8919494869771113,0.8946647712489669,0.0019417693148041516,205,3,random_search
2.0819121996561685,0.12336671675030858,0.23494736353556314,0.06603955981304775,0.03522825818979536,0.5842802889330897,0.14803485911358327,13,9,0.5265447390747627,"{'alpha': 0.03522825818979536, 'colsample_bytree': 0.5842802889330897, 'lambda': 0.14803485911358327, 'max_depth': 13, 'min_child_weight': 9, 'subsample': 0.5265447390747627}",0.890458527345908,0.8880119958961408,0.8878453038674033,0.8887719423698174,0.0011945356752847967,685,3,random_search
1.2223046620686848,0.1570301736310777,0.08011555671691895,0.017699193653151816,0.3194132356240412,0.6594123660054887,0.5955898366576118,6,1,0.8008745238011561,"{'alpha': 0.3194132356240412, 'colsample_bytree': 0.6594123660054887, 'lambda': 0.5955898366576118, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8008745238011561}",0.8932996606424118,0.8928261384263279,0.891397000789266,0.8925075999526686,0.0008087557103741327,483,3,random_search
0.3226509094238281,0.055585246717623424,0.06275455156962077,0.013401102297209585,0.4380863622912663,0.5236458117960017,0.9176385635018862,1,11,0.701223830415599,"{'alpha': 0.4380863622912663, 'colsample_bytree': 0.5236458117960017, 'lambda': 0.9176385635018862, 'max_depth': 1, 'min_child_weight': 11, 'subsample': 0.701223830415599}",0.8869071107252782,0.8854865440770263,0.8846093133385952,0.8856676560469666,0.0009467732452224381,695,3,random_search
