mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name,run_number
1.3202567100524902,0.009801364347079875,0.011842727661132812,0.0004474606711011756,18,15,"{'max_depth': 18, 'min_child_weight': 15}",0.39511201240423754,0.36075437470879834,0.36394729395130665,0.3732712270214475,0.01549867979162776,75,random search for 1 group,8.0
1.2286957105000813,0.01559164722106193,0.01201319694519043,0.00017572985831667312,17,15,"{'max_depth': 17, 'min_child_weight': 15}",0.3907568188935481,0.36220610587902813,0.3653994690792717,0.3727874646172826,0.012772957422137911,81,random search for 1 group,8.0
2.3316871325174966,0.042476028329312215,0.01213232676188151,0.0001472861312796748,15,4,"{'max_depth': 15, 'min_child_weight': 4}",0.38446598382255215,0.3534957188576492,0.35475018480752796,0.3642372958292431,0.014313007712167177,164,random search for 1 group,8.0
0.9500586191813151,0.019124628332919492,0.01142414410909017,0.00019147504132563059,8,2,"{'max_depth': 8, 'min_child_weight': 2}",0.3796268799217861,0.36317392665918136,0.35475018480752796,0.3658503304628318,0.010330693521156101,150,random search for 1 group,8.0
1.194172779719035,0.027195455585809093,0.01149900754292806,3.073617343985606e-05,10,6,"{'max_depth': 10, 'min_child_weight': 6}",0.3757555968011732,0.35930264353856844,0.3566864183114814,0.3639148862170744,0.008440496784826695,166,random search for 1 group,8.0
1.3589696884155273,0.013872573856635378,0.012361605962117514,0.00022635968786119092,14,10,"{'max_depth': 14, 'min_child_weight': 10}",0.39656374357446744,0.3559152708080322,0.3712081695911319,0.37456239465787716,0.016763307229575225,54,random search for 1 group,8.0
0.31471602121988934,0.0016290570178562611,0.010969241460164389,0.0001765993880734473,4,3,"{'max_depth': 4, 'min_child_weight': 3}",0.3839820734324756,0.3496244357370363,0.3474893091677027,0.36036527277907154,0.016722333294006124,186,random search for 1 group,8.0
0.24972311655680338,0.0003785991113644961,0.010886748631795248,9.986377531047639e-05,2,9,"{'max_depth': 2, 'min_child_weight': 9}",0.31817026038205665,0.2973621136087624,0.29182259592904236,0.3024516566399538,0.011342470093470816,223,random search for 1 group,8.0
2.8565513292948403,0.007615158096105422,0.01220083236694336,0.0001633667811147305,19,4,"{'max_depth': 19, 'min_child_weight': 4}",0.38204643187216913,0.3520439876874193,0.3624951188233416,0.36552851279431,0.012434837447056769,154,random search for 1 group,8.0
0.5817267100016276,0.009314252612066889,0.011350711186726889,0.000480138963479858,7,9,"{'max_depth': 7, 'min_child_weight': 9}",0.3907568188935481,0.3665612993897176,0.36443135232729496,0.3739164902035202,0.011939616727888501,68,random search for 1 group,8.0
1.1918078263600667,0.008802776116401689,0.01137089729309082,0.00010614010266057967,18,18,"{'max_depth': 18, 'min_child_weight': 18}",0.3960798331843908,0.3602704643187217,0.36830381933520184,0.3748847056127714,0.015341855011440992,47,random search for 1 group,8.0
3.0144755840301514,0.024466217490151737,0.012113571166992188,8.056737293821838e-05,18,3,"{'max_depth': 18, 'min_child_weight': 3}",0.3854338046027054,0.35688309158818543,0.3523298929275862,0.36488226303949234,0.014650535825902419,161,random search for 1 group,8.0
1.9746030171712239,0.02254644540484822,0.012737592061360678,0.0004331793884754979,16,6,"{'max_depth': 16, 'min_child_weight': 6}",0.3689808513401006,0.3626900162691047,0.35329800967956293,0.3616562924295894,0.0064440835588241065,181,random search for 1 group,8.0
0.6683765252431234,0.0017119051934061402,0.012056509653727213,0.00024606617265534794,8,13,"{'max_depth': 8, 'min_child_weight': 13}",0.39801547474469723,0.36559347860956437,0.36975599446316687,0.3777883159391428,0.01440335839464095,22,random search for 1 group,8.0
0.27638689676920575,0.0003663140066073736,0.011556784311930338,0.00014572249830179098,3,14,"{'max_depth': 3, 'min_child_weight': 14}",0.36317392665918136,0.32736455779351226,0.33103132438409877,0.34052326961226415,0.01608623620366712,205,random search for 1 group,8.0
1.4622151851654053,0.023360259580620806,0.011817534764607748,0.00022300336500552688,18,12,"{'max_depth': 18, 'min_child_weight': 12}",0.3864016253828586,0.35785091236833866,0.35426612643153965,0.3661728880609123,0.01437854959730861,147,random search for 1 group,8.0
0.22689310709635416,0.0004436255184011183,0.011194705963134766,6.136612019920588e-05,1,9,"{'max_depth': 1, 'min_child_weight': 9}",0.22283991353696442,0.21316170573543225,0.22502254004264988,0.22034138643834886,0.005154404321400286,231,random search for 1 group,8.0
0.9646149476369222,0.004921559014708685,0.012250026067097982,0.000185405702123965,12,16,"{'max_depth': 12, 'min_child_weight': 16}",0.3902729085034715,0.36849694095002405,0.3673357025832251,0.3753685173455736,0.010549653247914565,38,random search for 1 group,8.0
1.2935808499654133,0.026515130888947414,0.012058178583780924,4.892185543891726e-05,10,5,"{'max_depth': 10, 'min_child_weight': 5}",0.3878533565530885,0.3597865539286451,0.3620110604473532,0.3698836569763622,0.012738908495139076,110,random search for 1 group,8.0
0.2471757729848226,0.0022244165037511045,0.010883092880249023,2.287907551635105e-05,2,5,"{'max_depth': 2, 'min_child_weight': 5}",0.31768634999198,0.29542647204845596,0.29230665430503067,0.30180649211515553,0.011300758981270692,227,random search for 1 group,8.0
0.6353335380554199,0.013615661663327611,0.011663993199666342,3.501336457176913e-05,8,16,"{'max_depth': 8, 'min_child_weight': 16}",0.4009189370851569,0.3757555968011732,0.37895310360694556,0.3852092124977586,0.011184888537730163,1,random search for 1 group,8.0
