mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name
0.46408812204996747,0.3202714241262942,0.039429823557535805,0.005709870542265877,0.25,0.625,0.25,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.8883276773735301,0.8843027385368164,0.8839779005524862,0.8855361054876109,0.00197838909632845,721,grid_search
0.3461770216623942,0.021499704810351808,0.04781357447306315,0.011773951953928708,0.25,0.625,0.25,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.8901428458685187,0.8868281903559309,0.8833464877663773,0.8867725079969423,0.0027748809292127224,613,grid_search
0.21040876706441244,0.007035641620449451,0.024947404861450195,0.0006584143353090544,0.25,0.625,0.25,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.8893536421750454,0.8861179070318049,0.8865035516969219,0.8873250336345907,0.001443056919583691,532,grid_search
0.2005767822265625,0.003474129058383604,0.0257263978322347,0.0009567898550305219,0.25,0.625,0.25,2,10,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.625}",0.8888011995896141,0.8854865440770263,0.8848460931333859,0.8863779456000088,0.0017333328736677807,685,grid_search
0.19989864031473795,0.002495739192410642,0.02521967887878418,0.0010405468167679149,0.25,0.625,0.25,2,10,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.75}",0.8901428458685187,0.8869860310946255,0.8833464877663773,0.8868251215765071,0.0027769335327421387,604,grid_search
0.20765089988708496,0.0018538655530998508,0.02570645014444987,0.001974539244006694,0.25,0.625,0.25,2,10,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.875}",0.8893536421750454,0.8856443848157209,0.8857932123125494,0.8869304131011052,0.001714558595196789,559,grid_search
0.21650242805480957,0.002607753327205962,0.02925284703572591,0.0009393961158141351,0.25,0.625,0.25,2,18,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.625}",0.8889590403283087,0.8850919422302896,0.8848460931333859,0.8862990252306614,0.0018835906640236935,694,grid_search
0.23267038663228354,0.008203814835472105,0.03576882680257162,0.0031949139118352884,0.25,0.625,0.25,2,18,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.75}",0.8899060847604767,0.8867492699865835,0.8835832675611681,0.8867462074360762,0.0025812802209213793,622,grid_search
0.34083978335062665,0.04031573898646674,0.05866599082946777,0.017287371944335297,0.25,0.625,0.25,2,18,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 18, 'subsample': 0.875}",0.889985005129824,0.885170862599637,0.8848460931333859,0.8866673202876156,0.0023497011633704665,631,grid_search
2.4151101112365723,0.3652712681368311,0.08064802487691243,0.009851957555521344,0.25,0.625,0.25,10,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.625}",0.8990608476047668,0.8961407939389157,0.8932912391475928,0.8961642935637584,0.0023554914011799824,451,grid_search
2.120149771372477,0.0334633787818853,0.08134579658508301,0.006101160753101935,0.25,0.625,0.25,10,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.75}",0.9002446531449767,0.8976402809565148,0.8939226519337017,0.8972691953450643,0.0025942504668477755,325,grid_search
3.582472562789917,0.9237603207948577,0.15515406926472983,0.023907033765927285,0.25,0.625,0.25,10,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.875}",0.9007181753610607,0.8963775550469576,0.8942383583267561,0.8971113629115915,0.0026957822224312777,343,grid_search
1.6429886023203533,0.3254870872066822,0.09780311584472656,0.0038851768357522783,0.25,0.625,0.25,10,10,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.625}",0.9015862994238814,0.8968510772630416,0.8966850828729281,0.8983741531866171,0.0022723411013850624,127,grid_search
1.4074655373891194,0.2845490511237673,0.08556882540384929,0.011573751854722108,0.25,0.625,0.25,10,10,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.75}",0.9000078920369348,0.8939310235971905,0.894869771112865,0.8962695622489968,0.0026710352458781225,433,grid_search
