split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,iter_num,experiment_name,run_number
0.6543030435483083,0.6425978111305669,0.6880131963712688,0.6616380170167147,0.01925254409122787,255,0.5642875035603842,0.00509533896790134,0.013234456380208334,0.00011441514157592735,0.507507863889154,0.1512780251105054,"OrderedDict([('reg_alpha', 0.507507863889154), ('reg_lambda', 0.1512780251105054)])",62,random search for 2 group,8
0.6570290631423892,0.6453574293246727,0.6894282789237471,0.6639382571302697,0.01864336642111046,160,0.5699086983998617,0.010496970561679218,0.013727585474650065,0.0004762030332177388,0.9258733242127088,0.07143553412155236,"OrderedDict([('reg_alpha', 0.9258733242127088), ('reg_lambda', 0.07143553412155236)])",63,random search for 2 group,8
0.6526552209009544,0.6420353757407424,0.6997711467482566,0.6648205811299844,0.025091191091491022,128,0.5627978642781576,0.006880356803503657,0.01316054662068685,0.00011572667443588963,0.7980389618696472,0.48269696731481915,"OrderedDict([('reg_alpha', 0.7980389618696472), ('reg_lambda', 0.48269696731481915)])",64,random search for 2 group,8
0.6529754150051278,0.6386649352574805,0.7023451625103407,0.6646618375909831,0.027279078557084387,136,0.5622143745422363,0.006647071135323939,0.01340190569559733,7.350238525697598e-05,0.5998734894776472,0.8272740146986658,"OrderedDict([('reg_alpha', 0.5998734894776472), ('reg_lambda', 0.8272740146986658)])",65,random search for 2 group,8
0.6556622593407557,0.6429205163188059,0.6967218672073694,0.6651015476223103,0.02295606618166252,120,0.5642059644063314,0.007621386926052316,0.012802362442016602,0.00026036160318892207,0.03413920744169153,0.3529605966925719,"OrderedDict([('reg_alpha', 0.03413920744169153), ('reg_lambda', 0.3529605966925719)])",66,random search for 2 group,8
0.6592568507131231,0.6465909776519104,0.6955151678876705,0.6671209987509013,0.020732867880514098,37,0.565204938252767,0.0047976979315110645,0.013241847356160482,2.446499411123151e-05,0.3115494628726368,0.8750571948683282,"OrderedDict([('reg_alpha', 0.3115494628726368), ('reg_lambda', 0.8750571948683282)])",67,random search for 2 group,8
0.66218004701711,0.6496150511882817,0.7013974446903444,0.6710641809652453,0.0220537214729083,2,0.5639384587605795,0.006194129773055421,0.013109127680460611,0.0003268094837606203,0.636425770872675,0.8047693549324271,"OrderedDict([('reg_alpha', 0.636425770872675), ('reg_lambda', 0.8047693549324271)])",68,random search for 2 group,8
0.6604079862760179,0.6462281628435103,0.6941246663436714,0.6669202718210666,0.02008857318892882,48,0.5686686038970947,0.006758125133535231,0.0131379763285319,0.00029783779309486226,0.8426515011587179,0.06801717741019421,"OrderedDict([('reg_alpha', 0.8426515011587179), ('reg_lambda', 0.06801717741019421)])",69,random search for 2 group,8
0.6553696104540567,0.6399262387101583,0.6923385387888712,0.6625447959843621,0.02199052470847371,233,0.56570831934611,0.0078071960669719945,0.013259331385294596,9.398840877126066e-05,0.8303254392938659,0.5512347736198687,"OrderedDict([('reg_alpha', 0.8303254392938659), ('reg_lambda', 0.5512347736198687)])",70,random search for 2 group,8
0.6593663022680174,0.6476258007512454,0.7062493113761842,0.671080471465149,0.025325814491441296,1,0.5720546245574951,0.01144320234676809,0.013185342152913412,0.00010249897891882065,0.7683896900486726,0.83305481543265,"OrderedDict([('reg_alpha', 0.7683896900486726), ('reg_lambda', 0.83305481543265)])",71,random search for 2 group,8
0.6564162549452719,0.6502571155856638,0.7025172252330192,0.669730198587985,0.023319885456828567,5,0.568841298421224,0.012102361612320221,0.011782566706339518,3.030407582114159e-05,0.00831979995573229,0.9924931754464076,"OrderedDict([('reg_alpha', 0.00831979995573229), ('reg_lambda', 0.9924931754464076)])",72,random search for 2 group,8
0.660586493274114,0.6384943679118633,0.697245208710723,0.6654420232989001,0.024229423607251298,104,0.567264715830485,0.009477166634310667,0.011926889419555664,0.0001088361010487935,0.993909258096577,0.9990683325041856,"OrderedDict([('reg_alpha', 0.993909258096577), ('reg_lambda', 0.9990683325041856)])",73,random search for 2 group,8
0.6556563835356193,0.640300915194244,0.6946440048709822,0.6635337678669485,0.02287404259316814,185,0.5677331288655599,0.009491461805039672,0.011645158131917318,9.445575888729743e-06,0.009463145426588439,0.9974152058474132,"OrderedDict([('reg_alpha', 0.009463145426588439), ('reg_lambda', 0.9974152058474132)])",74,random search for 2 group,8
0.65378033479447,0.6398790560440286,0.6869115833163872,0.6601903247182953,0.019728670060328378,282,0.5705397923787435,0.010432961880750831,0.01163021723429362,4.430966512749327e-05,7.945586903002068e-05,0.0022083403965372787,"OrderedDict([('reg_alpha', 7.945586903002068e-05), ('reg_lambda', 0.0022083403965372787)])",75,random search for 2 group,8
0.6605863040347897,0.6431207689099028,0.6972448558775917,0.6669839762740947,0.022554406148727984,40,0.5675295988718668,0.010605649363909068,0.01178431510925293,9.515201558197167e-05,0.9961240261320276,0.9989637567548678,"OrderedDict([('reg_alpha', 0.9961240261320276), ('reg_lambda', 0.9989637567548678)])",76,random search for 2 group,8
0.6546926089381851,0.6403041653751216,0.6946500010062587,0.6632155917731885,0.022990554436057214,210,0.5703534285227457,0.00986972550318717,0.011828025182088217,6.556997377479217e-05,0.010279848249527436,0.9990788213464082,"OrderedDict([('reg_alpha', 0.010279848249527436), ('reg_lambda', 0.9990788213464082)])",77,random search for 2 group,8
