split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_alpha,param_reg_lambda,params,experiment_name,run_number
0.9008760160997553,0.8954305106147897,0.8954222573007103,0.8972429280050851,0.002568983437993065,229,2.1547507445017495,0.09309729125907215,0.10616207122802734,0.008082974606386026,0.6160475281801999,0.10740365702324908,"OrderedDict([('reg_alpha', 0.6160475281801999), ('reg_lambda', 0.10740365702324908)])",BO for 2 group,3
0.9000868124062821,0.8993765290821562,0.8959747434885557,0.8984793616589979,0.0017946141154233611,77,2.286310911178589,0.05365152799194249,0.11477224032084148,0.01440619634044136,0.33716854157698134,0.8971134995411856,"OrderedDict([('reg_alpha', 0.33716854157698134), ('reg_lambda', 0.8971134995411856)])",BO for 2 group,3
0.9007181753610607,0.8986662457580301,0.8972375690607735,0.8988739967266214,0.0014285249742567263,29,2.455002546310425,0.11231404752253282,0.10818131764729817,0.007378040993667972,0.38611721504519747,0.08189250954950857,"OrderedDict([('reg_alpha', 0.38611721504519747), ('reg_lambda', 0.08189250954950857)])",BO for 2 group,3
0.9000868124062821,0.8959829532002209,0.8961325966850828,0.8974007874305286,0.0019002887361168688,221,2.2662686506907144,0.029324854470743126,0.10929648081461589,0.009392908555674505,0.07496889572043965,0.8707777953670642,"OrderedDict([('reg_alpha', 0.07496889572043965), ('reg_lambda', 0.8707777953670642)])",BO for 2 group,3
0.8990608476047668,0.8951937495067477,0.8988161010260458,0.8976902327125201,0.0017681056754761913,192,2.319389740626017,0.05925204238273937,0.11109010378519694,0.01710062843894384,0.9275725291911097,0.7117263986718138,"OrderedDict([('reg_alpha', 0.9275725291911097), ('reg_lambda', 0.7117263986718138)])",BO for 2 group,3
0.8988240864967249,0.8963775550469576,0.8975532754538279,0.8975849723325035,0.0009990437270254635,204,2.3087476094563804,0.027427976343876153,0.1084917386372884,0.01138741693584255,0.7217644900618101,0.6429633645824284,"OrderedDict([('reg_alpha', 0.7217644900618101), ('reg_lambda', 0.6429633645824284)])",BO for 2 group,3
0.9013495383158393,0.8968510772630416,0.8985003946329914,0.8989003367372908,0.0018581358446891623,25,2.485368092854818,0.0823990471191845,0.11557380358378093,0.006350918110510978,0.02912201522930636,0.1063964391356226,"OrderedDict([('reg_alpha', 0.02912201522930636), ('reg_lambda', 0.1063964391356226)])",BO for 2 group,3
0.89985005129824,0.8963775550469576,0.8968429360694554,0.8976901808048844,0.0015390311422183024,193,2.275141398111979,0.04955961554303749,0.10185766220092773,0.009826981711800088,0.7605137560787344,0.3684087656775788,"OrderedDict([('reg_alpha', 0.7605137560787344), ('reg_lambda', 0.3684087656775788)])",BO for 2 group,3
0.8996132901901981,0.8976402809565148,0.8971586424625099,0.8981374045364077,0.0010619707331263222,125,2.0742817719777427,0.24847603082586806,0.11639714241027832,0.012378423927094144,0.42063109475915905,0.7687017859876104,"OrderedDict([('reg_alpha', 0.42063109475915905), ('reg_lambda', 0.7687017859876104)])",BO for 2 group,3
0.8992186883434614,0.8990608476047668,0.8950276243093923,0.8977690534192068,0.0019395538314780486,181,1.8127679824829102,0.02010413142576102,0.10629836718241374,0.00394893535531685,0.01968967250649112,0.7262638905704808,"OrderedDict([('reg_alpha', 0.01968967250649112), ('reg_lambda', 0.7262638905704808)])",BO for 2 group,3
0.8990608476047668,0.8977981216952096,0.8966850828729281,0.8978480173909681,0.000970543387525262,167,1.8927550315856934,0.021966633102923905,0.12435293197631836,0.002968274432901809,0.2100159674614967,0.004966483434513448,"OrderedDict([('reg_alpha', 0.2100159674614967), ('reg_lambda', 0.004966483434513448)])",BO for 2 group,3
0.900797095730408,0.8987451661273774,0.8966850828729281,0.8987424482435712,0.0016787233195078566,42,1.7903919219970703,0.04608293431447816,0.09961700439453125,0.002453951444186405,0.9975179664468347,0.02417451588162501,"OrderedDict([('reg_alpha', 0.9975179664468347), ('reg_lambda', 0.02417451588162501)])",BO for 2 group,3
0.8992186883434614,0.8962986346776103,0.8960536700868192,0.8971903310359637,0.0014377475294930493,230,1.931201696395874,0.03305402607121229,0.11833310127258301,0.006587479232122425,0.05266071686665509,0.05756829279864252,"OrderedDict([('reg_alpha', 0.05266071686665509), ('reg_lambda', 0.05756829279864252)])",BO for 2 group,3
0.8988240864967249,0.8988240864967249,0.8977900552486188,0.8984794094140228,0.0004874470049964,73,1.8221527735392253,0.024567270581414544,0.108031431833903,0.0075240313346377295,0.41288405643823567,0.15427041408296563,"OrderedDict([('reg_alpha', 0.41288405643823567), ('reg_lambda', 0.15427041408296563)])",BO for 2 group,3
0.8988240864967249,0.8984294846499882,0.8955011838989739,0.8975849183485624,0.0014822032241819537,206,1.8613392512003581,0.05078100399753595,0.11584091186523438,0.010438824711994163,0.6664347617482876,0.18801974155656037,"OrderedDict([('reg_alpha', 0.6664347617482876), ('reg_lambda', 0.18801974155656037)])",BO for 2 group,3
0.9011916975771447,0.8968510772630416,0.8959747434885557,0.8980058394429141,0.0022809733682003903,148,1.9043688774108887,0.01613986097304943,0.13101824124654135,0.008181203157709264,0.012575093958828613,0.12307239863106426,"OrderedDict([('reg_alpha', 0.012575093958828613), ('reg_lambda', 0.12307239863106426)])",BO for 2 group,3
0.8993765290821562,0.8978770420645569,0.8961325966850828,0.8977953892772653,0.0013255878526022167,176,1.9447454611460369,0.03535327348606546,0.11507312456766765,0.004904132676091574,0.052280044022800634,0.10684969851786044,"OrderedDict([('reg_alpha', 0.052280044022800634), ('reg_lambda', 0.10684969851786044)])",BO for 2 group,3
