split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_subsample,params,experiment_name,run_number
0.900797095730408,0.8972456791097783,0.8956590370955012,0.8979006039785625,0.0021481164729050583,185,1.7804369926452637,0.12566045545562002,0.11775724093119304,0.002673017898422937,0.7198712173968472,0.8772090827699517,"OrderedDict([('colsample_bytree', 0.7198712173968472), ('subsample', 0.8772090827699517)])",BO for 3 group,3
0.8996132901901981,0.8962986346776103,0.896527229676401,0.897479718181403,0.0015115469021068219,220,1.364131212234497,0.08322298790357671,0.09531394640604655,0.0037614001545383607,0.6893757893861001,0.5003167913391956,"OrderedDict([('colsample_bytree', 0.6893757893861001), ('subsample', 0.5003167913391956)])",BO for 3 group,3
0.901744140162576,0.8976402809565148,0.8967640094711918,0.8987161435300942,0.002170796418174403,79,1.979673703511556,0.37511183042257923,0.11005377769470215,0.011511635063786132,0.7213590576353794,0.816674007120987,"OrderedDict([('colsample_bytree', 0.7213590576353794), ('subsample', 0.816674007120987)])",BO for 3 group,3
0.8992976087128087,0.8979559624339042,0.8964483030781374,0.8979006247416169,0.0011638821088876755,183,1.7286226749420166,0.08620743973361808,0.11652270952860515,0.01842293076497398,0.8908169753928907,0.8026231020040485,"OrderedDict([('colsample_bytree', 0.8908169753928907), ('subsample', 0.8026231020040485)])",BO for 3 group,3
0.8996922105595454,0.8965353957856522,0.8972375690607735,0.8978217251353238,0.0013533412032799956,195,1.4003043969472249,0.04860942938899943,0.09165708223978679,0.006645444624585268,0.7524385443015054,0.5322919060559544,"OrderedDict([('colsample_bytree', 0.7524385443015054), ('subsample', 0.5322919060559544)])",BO for 3 group,3
0.9025333438560492,0.8963775550469576,0.8974743488555643,0.8987950825861905,0.0026810056764759605,68,1.7870657444000244,0.05319755357199309,0.1118916670481364,0.0067123438714228635,0.7940869941593605,0.8888934701864599,"OrderedDict([('colsample_bytree', 0.7940869941593605), ('subsample', 0.8888934701864599)])",BO for 3 group,3
0.9011127772077974,0.8968510772630416,0.8968429360694554,0.8982689301800981,0.0020109062645937547,140,1.4519944190979004,0.1547873566551988,0.09004592895507812,0.002529886951135688,0.5740124891308929,0.5234015977866179,"OrderedDict([('colsample_bytree', 0.5740124891308929), ('subsample', 0.5234015977866179)])",BO for 3 group,3
0.9011916975771447,0.8968510772630416,0.8984214680347277,0.8988214142916381,0.001794475584326061,62,1.7663309574127197,0.047338697935113715,0.10944207509358723,0.009225523127606789,0.8153390245023404,0.8557437676607453,"OrderedDict([('colsample_bytree', 0.8153390245023404), ('subsample', 0.8557437676607453)])",BO for 3 group,3
0.8995343698208508,0.8961407939389157,0.8971586424625099,0.8976112687407588,0.0014219100364026823,213,1.5249811013539631,0.05639810149345757,0.09860754013061523,0.007587501867849796,0.5403180157252576,0.7687299229309394,"OrderedDict([('colsample_bytree', 0.5403180157252576), ('subsample', 0.7687299229309394)])",BO for 3 group,3
0.9004024938836713,0.895746192092179,0.8962115232833465,0.897453403086399,0.0020939572866203755,221,1.5862282911936443,0.06749240976108895,0.09521015485127766,0.0009411754994623383,0.683267465393321,0.7935345752558898,"OrderedDict([('colsample_bytree', 0.683267465393321), ('subsample', 0.7935345752558898)])",BO for 3 group,3
0.8992976087128087,0.8969299976323889,0.8974743488555643,0.8979006517335874,0.0010124874204616749,181,1.4176586469014485,0.02240423675671615,0.09743078549702962,0.007434685488934806,0.622865492306453,0.5948327237255902,"OrderedDict([('colsample_bytree', 0.622865492306453), ('subsample', 0.5948327237255902)])",BO for 3 group,3
0.9005603346223661,0.8964564754163049,0.8972375690607735,0.898084793033148,0.0017792800866863704,167,1.6293477217356365,0.07296736300070641,0.0960858662923177,0.0031696149943789705,0.8507749987005295,0.6963810562021316,"OrderedDict([('colsample_bytree', 0.8507749987005295), ('subsample', 0.6963810562021316)])",BO for 3 group,3
0.8999289716675875,0.895272669876095,0.8962115232833465,0.8971377216090097,0.002010583513512078,236,1.514510949452718,0.08773771270430525,0.1421337127685547,0.043329953695398445,0.5000344370656211,0.643803455448861,"OrderedDict([('colsample_bytree', 0.5000344370656211), ('subsample', 0.643803455448861)])",BO for 3 group,3
0.90103385683845,0.8984294846499882,0.8988950276243094,0.8994527897042492,0.0011340230824730504,15,1.6946495374043782,0.035677554130308965,0.09828424453735352,0.006072983267376158,0.6519765848299536,0.8930074812405824,"OrderedDict([('colsample_bytree', 0.6519765848299536), ('subsample', 0.8930074812405824)])",BO for 3 group,3
0.8994554494515035,0.8977192013258622,0.896527229676401,0.8979006268179223,0.0012023045010041413,182,1.4907002449035645,0.04681790088825147,0.11613225936889648,0.039369267418821914,0.6588759053817861,0.565756439254252,"OrderedDict([('colsample_bytree', 0.6588759053817861), ('subsample', 0.565756439254252)])",BO for 3 group,3
0.9004024938836713,0.8961407939389157,0.8985003946329914,0.8983478941518594,0.0017431702732553544,125,1.6959014733632405,0.1389522545896223,0.11248127619425456,0.004278158528210379,0.7472756864839665,0.748639931657754,"OrderedDict([('colsample_bytree', 0.7472756864839665), ('subsample', 0.748639931657754)])",BO for 3 group,3
0.901270617946492,0.8961407939389157,0.8970797158642463,0.8981637092498845,0.0022301053536036386,157,1.5352639357248943,0.023270349878373956,0.10312501589457194,0.012312244082093301,0.7255614874412245,0.7837248996394958,"OrderedDict([('colsample_bytree', 0.7255614874412245), ('subsample', 0.7837248996394958)])",BO for 3 group,3
